element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
246,9,6,6,True,2019-08-11T15:30:00Z,4,0,1,73,0,1,1,0,0,0,0,0,0,0,0,22,22.0,20.1,4.0,4.6,50,0,9129,0,0
246,20,20,1,False,2019-08-19T19:00:00Z,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.3,0.0,0.0,50,44368,71134,55938,11570
246,25,7,0,True,2019-08-24T14:00:00Z,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-9698,59930,8917,18615
246,39,16,2,False,2019-08-31T11:30:00Z,1,1,4,67,0,0,0,1,0,0,0,0,0,0,0,5,6.4,3.2,23.0,3.3,50,-16548,44652,2412,18960
246,45,9,3,True,2019-09-14T14:00:00Z,1,0,5,90,0,0,1,0,0,0,0,0,0,0,0,0,14.6,13.3,19.0,4.7,50,-6677,39490,2168,8845
246,60,19,2,False,2019-09-22T13:00:00Z,2,0,6,90,0,0,0,2,0,0,0,0,0,0,0,11,14.4,17.8,16.0,4.8,50,-2186,38109,2100,4286
246,67,1,1,True,2019-09-30T19:00:00Z,1,1,7,73,0,0,0,1,0,0,0,1,0,0,0,2,1.6,22.3,48.0,7.2,50,-3946,34482,1137,5083
246,76,13,2,False,2019-10-06T15:30:00Z,1,0,8,90,0,0,0,1,0,0,0,0,0,0,0,8,9.0,5.0,17.0,3.1,50,-2090,32745,1420,3510
246,87,10,2,True,2019-10-20T15:30:00Z,1,1,9,90,0,0,0,1,0,0,0,0,0,0,0,2,11.6,31.9,17.0,6.1,50,-2721,30308,632,3353
246,97,14,3,False,2019-10-27T16:30:00Z,1,3,10,81,0,0,1,0,0,0,0,0,0,0,0,7,4.4,45.5,6.0,5.6,50,839,31607,2391,1552
246,103,3,2,False,2019-11-02T12:30:00Z,1,0,11,67,0,0,0,1,0,0,0,0,0,0,0,5,4.0,11.7,21.0,3.7,50,870,32903,3309,2439
246,115,4,8,True,2019-11-10T14:00:00Z,3,1,12,69,1,0,0,1,0,0,0,0,0,0,1,28,48.4,36.1,35.0,12.0,50,340,33499,2586,2246
246,128,15,2,False,2019-11-24T16:30:00Z,3,3,13,72,0,0,0,2,0,0,0,0,0,0,0,9,8.2,3.3,0.0,1.2,50,15051,50775,18456,3405
246,135,2,2,True,2019-12-01T16:30:00Z,2,2,14,90,0,0,0,2,0,0,0,0,0,0,0,14,9.0,34.1,3.0,4.6,50,-1735,48090,3690,5425
246,144,17,1,True,2019-12-04T19:30:00Z,2,1,15,10,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.4,0.0,0.0,50,-3359,44842,983,4342
246,155,11,0,False,2019-12-07T17:30:00Z,1,2,16,16,0,0,0,1,0,0,0,1,0,0,0,2,4.6,14.5,20.0,3.9,50,-4424,40568,640,5064
246,167,8,0,True,2019-12-15T14:00:00Z,1,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-3866,36936,889,4755
246,179,18,0,False,2019-12-22T14:00:00Z,2,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-2944,33797,485,3429
246,187,13,4,True,2019-12-26T17:30:00Z,4,1,19,90,0,1,0,1,0,0,0,1,0,0,0,17,20.2,27.1,11.0,5.8,49,-2228,32119,224,2452
246,193,5,6,False,2019-12-28T19:45:00Z,0,2,20,72,0,1,1,0,0,0,0,0,0,0,0,22,25.0,47.7,10.0,8.3,49,1088,33489,2124,1036
246,201,1,1,False,2020-01-01T20:00:00Z,2,0,21,32,0,0,0,0,0,0,0,0,0,0,0,1,1.0,12.8,6.0,2.0,49,3613,37400,5702,2089
246,217,14,3,True,2020-01-11T15:00:00Z,4,0,22,70,0,0,1,0,0,0,0,0,0,0,0,15,15.6,38.5,17.0,7.1,49,-1497,35975,1816,3313
246,224,10,2,False,2020-01-19T16:30:00Z,2,0,23,73,0,0,0,1,0,0,0,0,0,0,0,6,9.6,12.2,20.0,4.2,49,-1078,35156,1718,2796
246,235,5,1,True,2020-01-22T20:15:00Z,0,2,24,45,0,0,0,1,0,0,0,0,0,0,0,4,3.0,13.8,26.0,4.3,49,1137,36851,3212,2075
246,246,20,3,True,2020-02-01T17:30:00Z,0,0,25,71,0,0,1,0,0,0,0,0,0,0,0,3,6.4,6.3,24.0,3.7,49,-1807,34865,1009,2816
246,254,6,1,False,2020-02-17T20:00:00Z,0,2,26,10,0,0,0,0,0,0,0,0,0,0,0,3,0.2,0.8,0.0,0.1,49,-963,34103,900,1863
246,267,18,0,True,2020-02-23T14:00:00Z,None,None,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-1209,33092,736,1945
