element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
256,10,1,2,True,2019-08-11T13:00:00Z,0,1,1,90,0,0,0,1,0,0,0,0,0,0,0,10,8.4,11.1,2.0,2.2,45,0,9344,0,0
256,17,14,0,False,2019-08-17T14:00:00Z,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-19,11062,930,949
256,28,17,0,False,2019-08-25T15:30:00Z,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-1350,10030,120,1470
256,38,18,1,True,2019-08-31T14:00:00Z,1,1,4,12,0,0,0,0,0,0,0,0,0,0,0,7,4.2,0.3,2.0,0.7,45,-658,9793,314,972
256,44,10,1,False,2019-09-14T11:30:00Z,3,1,5,23,0,0,0,1,0,0,0,0,0,0,0,4,2.2,0.2,0.0,0.2,44,-389,9810,423,812
256,58,4,6,True,2019-09-21T16:30:00Z,0,0,6,90,0,0,1,0,0,0,0,1,0,0,1,26,20.0,2.0,2.0,2.4,44,-135,9872,318,453
256,66,9,0,False,2019-09-29T15:30:00Z,5,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,258,10375,804,546
256,76,12,0,True,2019-10-06T15:30:00Z,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-382,10044,159,541
256,83,6,0,False,2019-10-19T14:00:00Z,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-376,9770,79,455
256,96,20,0,True,2019-10-27T14:00:00Z,1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-276,9560,40,316
256,110,19,0,False,2019-11-02T15:00:00Z,2,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-326,9300,57,383
256,116,3,0,True,2019-11-09T15:00:00Z,2,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-264,9111,72,336
256,122,2,0,False,2019-11-25T20:00:00Z,2,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-189,8997,156,345
256,136,11,0,True,2019-11-30T12:30:00Z,2,2,14,90,0,0,0,2,0,0,0,1,0,0,0,5,8.8,0.7,0.0,1.0,43,-154,8882,66,220
256,145,15,12,False,2019-12-05T19:30:00Z,0,2,15,90,0,1,1,0,0,0,0,0,0,0,3,35,31.6,15.2,0.0,4.7,43,-51,8877,111,162
256,156,16,2,True,2019-12-08T14:00:00Z,2,1,16,90,0,0,0,1,0,0,0,0,0,0,0,8,4.8,2.4,18.0,2.5,43,3255,12529,3506,251
256,162,5,2,False,2019-12-14T15:00:00Z,1,0,17,90,0,0,0,1,0,0,0,0,0,0,0,9,8.0,6.5,0.0,1.5,43,3415,16345,4370,955
256,176,7,6,True,2019-12-21T15:00:00Z,1,0,18,90,0,0,1,0,0,0,0,0,0,0,0,17,14.4,1.8,0.0,1.6,43,3524,21446,4562,1038
256,187,12,0,False,2019-12-26T17:30:00Z,4,1,19,90,0,0,0,4,0,0,0,0,0,0,0,11,15.0,1.3,2.0,1.8,43,3896,24163,5061,1165
256,196,8,0,True,2019-12-28T15:00:00Z,1,2,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-1436,22533,940,2376
256,206,9,0,True,2020-01-01T15:00:00Z,0,3,21,45,0,0,0,2,0,0,0,0,0,0,0,5,6.0,0.1,0.0,0.6,43,-892,21845,1462,2354
256,220,20,0,False,2020-01-11T15:00:00Z,1,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-3798,17995,237,4035
