element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
260,10,1,0,True,2019-08-11T13:00:00Z,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,0,9455,0,0
260,17,14,1,False,2019-08-17T14:00:00Z,3,1,2,23,0,0,0,1,0,0,0,0,0,0,0,2,0.0,1.5,2.0,0.3,55,-1187,9724,911,2098
260,28,17,1,False,2019-08-25T15:30:00Z,0,1,3,2,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,54,-1111,8975,805,1916
260,38,18,1,True,2019-08-31T14:00:00Z,1,1,4,8,0,0,0,0,0,0,0,0,0,0,0,2,0.0,1.0,10.0,0.9,54,-405,8999,1177,1582
260,44,10,1,False,2019-09-14T11:30:00Z,3,1,5,23,0,0,0,1,0,0,0,0,0,0,0,2,2.0,0.5,0.0,0.3,54,-765,8459,591,1356
260,58,4,0,True,2019-09-21T16:30:00Z,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-336,8253,534,870
260,66,9,1,False,2019-09-29T15:30:00Z,5,0,7,45,0,0,0,1,0,0,0,0,0,0,0,1,0.0,0.3,0.0,0.0,53,-423,7957,418,841
260,76,12,0,True,2019-10-06T15:30:00Z,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,53,-206,7811,334,540
260,83,6,0,False,2019-10-19T14:00:00Z,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,53,-289,7605,200,489
260,96,20,0,True,2019-10-27T14:00:00Z,1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,53,-163,7487,120,283
260,110,19,0,False,2019-11-02T15:00:00Z,2,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,53,-249,7282,167,416
260,116,3,0,True,2019-11-09T15:00:00Z,2,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,52,-220,7081,97,317
260,122,2,0,False,2019-11-25T20:00:00Z,2,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,52,-208,6935,162,370
260,136,11,0,True,2019-11-30T12:30:00Z,2,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,52,-136,6820,92,228
260,145,15,0,False,2019-12-05T19:30:00Z,0,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,52,-79,6762,73,152
260,156,16,0,True,2019-12-08T14:00:00Z,2,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,52,-138,6645,48,186
260,162,5,1,False,2019-12-14T15:00:00Z,1,0,17,10,0,0,0,0,0,0,0,0,0,0,0,3,4.2,0.8,0.0,0.5,52,-129,6539,88,217
260,176,7,0,True,2019-12-21T15:00:00Z,1,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,52,-94,6469,48,142
260,187,12,0,False,2019-12-26T17:30:00Z,4,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,51,-58,6442,52,110
260,196,8,0,True,2019-12-28T15:00:00Z,1,2,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,51,-41,6419,66,107
260,206,9,2,True,2020-01-01T15:00:00Z,0,3,21,90,0,0,0,3,0,0,0,0,0,0,0,10,6.4,11.0,0.0,1.7,51,-52,6400,88,140
260,220,20,0,False,2020-01-11T15:00:00Z,1,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,51,-106,6312,105,211
260,226,6,0,True,2020-01-18T17:30:00Z,1,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,51,-202,6118,23,225
260,233,8,0,False,2020-01-21T19:30:00Z,2,2,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,51,-99,6029,12,111
260,247,14,0,True,2020-02-01T15:00:00Z,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,51,-139,5888,21,160
260,251,1,0,False,2020-02-16T16:30:00Z,None,None,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,51,-59,5845,11,70
