element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
262,10,1,2,True,2019-08-11T13:00:00Z,0,1,1,90,0,0,0,1,0,0,0,0,0,1,0,9,11.0,0.0,0.0,1.1,50,0,56134,0,0
262,17,14,2,False,2019-08-17T14:00:00Z,3,1,2,90,0,0,0,3,0,0,0,0,0,5,0,18,38.6,0.0,0.0,3.9,50,-1234,61288,3381,4615
262,28,17,6,False,2019-08-25T15:30:00Z,0,1,3,90,0,0,1,0,0,0,0,0,0,2,0,25,14.2,0.0,0.0,1.4,50,-5481,57057,735,6216
262,38,18,3,True,2019-08-31T14:00:00Z,1,1,4,90,0,0,0,1,0,0,0,0,0,3,0,13,14.0,0.0,0.0,1.4,50,4567,66281,8846,4279
262,44,10,2,False,2019-09-14T11:30:00Z,3,1,5,90,0,0,0,3,0,0,0,0,0,5,0,15,32.6,0.0,0.0,3.3,50,-4818,61743,1092,5910
262,58,4,6,True,2019-09-21T16:30:00Z,0,0,6,90,0,0,1,0,0,0,0,0,0,2,0,24,13.8,0.0,0.0,1.4,50,1555,65614,4410,2855
262,66,9,0,False,2019-09-29T15:30:00Z,5,0,7,90,0,0,0,5,0,0,0,0,0,1,0,9,10.8,0.0,0.0,1.1,50,-1636,64362,2618,4254
262,76,12,8,True,2019-10-06T15:30:00Z,1,0,8,90,0,0,1,0,0,0,0,0,0,3,1,26,22.6,0.0,0.0,2.3,50,-1915,63141,1629,3544
262,83,6,4,False,2019-10-19T14:00:00Z,1,0,9,90,0,0,0,1,0,0,0,0,0,6,0,21,50.4,0.0,0.0,5.0,50,-377,63790,2302,2679
262,96,20,3,True,2019-10-27T14:00:00Z,1,1,10,90,0,0,0,1,0,0,0,0,0,4,0,16,25.0,0.0,0.0,2.5,50,3850,68601,5304,1454
262,110,19,2,False,2019-11-02T15:00:00Z,2,3,11,90,0,0,0,2,0,0,0,0,0,4,0,18,30.8,0.0,0.0,3.1,50,295,69494,2824,2529
262,116,3,2,True,2019-11-09T15:00:00Z,2,1,12,90,0,0,0,1,0,0,0,0,0,2,0,14,19.6,0.0,0.0,2.0,50,1873,72684,3967,2094
262,122,2,3,False,2019-11-25T20:00:00Z,2,0,13,90,0,0,0,2,0,0,0,0,0,6,0,23,44.8,0.0,0.0,4.5,50,-761,72018,2607,3368
262,136,11,4,True,2019-11-30T12:30:00Z,2,2,14,90,0,0,0,2,0,0,0,0,0,7,1,24,50.8,0.0,0.0,5.1,50,-2906,69271,536,3442
262,145,15,10,False,2019-12-05T19:30:00Z,0,2,15,90,0,0,1,0,0,0,0,0,0,6,2,34,47.4,0.0,0.0,4.7,50,798,70608,1858,1060
262,156,16,3,True,2019-12-08T14:00:00Z,2,1,16,90,0,0,0,1,0,0,0,0,0,3,0,14,18.4,0.0,0.0,1.8,50,10453,83028,11793,1340
262,162,5,3,False,2019-12-14T15:00:00Z,1,0,17,90,0,0,0,1,0,0,0,0,0,3,0,14,23.8,0.0,0.0,2.4,50,3733,88028,8128,4395
262,176,7,8,True,2019-12-21T15:00:00Z,1,0,18,90,0,0,1,0,0,0,0,0,0,4,1,27,34.4,0.0,0.0,3.4,50,2865,97541,6510,3645
262,187,12,2,False,2019-12-26T17:30:00Z,4,1,19,90,0,0,0,4,0,0,0,0,0,6,0,17,29.6,0.0,0.0,3.0,50,283,94629,4830,4547
262,196,8,3,True,2019-12-28T15:00:00Z,1,2,20,90,0,0,0,2,0,0,0,0,0,7,0,23,55.2,0.0,0.0,5.5,50,1968,97973,4517,2549
262,206,9,3,True,2020-01-01T15:00:00Z,0,3,21,90,0,0,0,3,0,0,0,0,0,6,0,21,53.4,0.0,0.0,5.3,50,-1308,97951,5138,6446
262,220,20,2,False,2020-01-11T15:00:00Z,1,1,22,90,0,0,0,1,0,0,0,0,0,2,0,12,19.8,0.0,0.0,2.0,50,118,100302,5577,5459
262,226,6,8,True,2020-01-18T17:30:00Z,1,0,23,90,0,0,1,0,0,0,0,0,0,3,1,28,21.0,0.0,0.0,2.1,50,-395,100698,4422,4817
262,233,8,3,False,2020-01-21T19:30:00Z,2,2,24,90,0,0,0,2,0,0,0,0,0,6,0,21,30.6,0.0,0.0,3.1,50,5894,107633,8816,2922
262,247,14,7,True,2020-02-01T15:00:00Z,0,0,25,90,0,0,1,0,0,0,0,0,0,4,0,28,30.6,0.0,0.0,3.1,50,13923,124192,19139,5216
262,251,1,1,False,2020-02-16T16:30:00Z,4,0,26,90,0,0,0,4,0,0,0,0,0,3,0,12,18.4,0.0,0.0,1.8,50,436,123884,6952,6516
262,264,7,4,False,2020-02-22T15:00:00Z,1,0,27,90,0,0,0,1,0,0,0,0,0,8,0,24,55.4,0.0,0.0,5.5,50,4193,129037,8817,4624
