element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
266,10,1,1,True,2019-08-11T13:00:00Z,0,1,1,90,0,0,0,1,0,0,0,1,0,0,0,2,1.4,13.5,21.0,3.6,60,0,46041,0,0
266,17,14,2,False,2019-08-17T14:00:00Z,3,1,2,90,0,0,0,3,0,0,0,0,0,0,0,7,2.0,2.9,6.0,1.1,60,3728,57146,9163,5435
266,28,17,3,False,2019-08-25T15:30:00Z,0,1,3,90,0,0,1,0,0,0,0,0,0,0,0,3,8.0,1.4,36.0,4.5,60,-12107,45244,1383,13490
266,38,18,2,True,2019-08-31T14:00:00Z,1,1,4,90,0,0,0,1,0,0,0,0,0,0,0,5,13.4,14.0,24.0,5.1,60,-5789,40722,3213,9002
266,44,10,2,False,2019-09-14T11:30:00Z,3,1,5,66,0,0,0,2,0,0,0,0,0,0,0,8,5.2,1.3,2.0,0.9,59,-4980,36417,1018,5998
266,58,4,3,True,2019-09-21T16:30:00Z,0,0,6,72,0,0,1,0,0,0,0,0,0,0,0,11,13.0,0.5,36.0,5.0,59,-11,37268,2760,2771
266,66,9,2,False,2019-09-29T15:30:00Z,5,0,7,73,0,0,0,4,0,0,0,0,0,0,0,8,7.8,13.1,0.0,2.1,59,-3396,33890,786,4182
266,76,12,2,True,2019-10-06T15:30:00Z,1,0,8,89,0,0,1,0,0,0,0,1,0,0,0,-1,0.0,0.9,29.0,2.5,58,-2584,31627,551,3135
266,83,6,3,False,2019-10-19T14:00:00Z,1,0,9,69,0,0,1,0,0,0,0,0,0,0,0,6,5.8,3.3,8.0,1.7,58,-1521,30409,580,2101
266,96,20,2,True,2019-10-27T14:00:00Z,1,1,10,90,0,0,0,1,0,0,0,0,0,0,0,12,8.2,26.8,17.0,5.2,58,-225,30412,826,1051
266,110,19,2,False,2019-11-02T15:00:00Z,2,3,11,90,0,0,0,2,0,0,0,0,0,0,0,2,17.0,2.7,51.0,7.1,58,-851,29719,874,1725
266,116,3,2,True,2019-11-09T15:00:00Z,2,1,12,90,0,0,0,1,0,0,0,0,0,0,0,7,3.0,25.7,30.0,5.9,58,417,30500,1563,1146
266,122,2,2,False,2019-11-25T20:00:00Z,2,0,13,78,0,0,0,2,0,0,0,0,0,0,0,7,3.6,22.5,3.0,2.9,58,-133,30511,1430,1563
266,136,11,5,True,2019-11-30T12:30:00Z,2,2,14,90,0,1,0,2,0,0,0,0,0,0,0,17,29.2,12.9,5.0,4.7,58,-1280,29297,361,1641
266,145,15,3,False,2019-12-05T19:30:00Z,0,2,15,87,0,0,1,0,0,0,0,0,0,0,0,7,9.2,1.8,9.0,2.0,58,333,29823,912,579
266,156,16,2,True,2019-12-08T14:00:00Z,2,1,16,84,0,0,0,1,0,0,0,0,0,0,0,9,8.8,17.2,28.0,5.4,58,1032,31057,1843,811
266,162,5,0,False,2019-12-14T15:00:00Z,1,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,58,-1619,29461,631,2250
266,176,7,10,True,2019-12-21T15:00:00Z,1,0,18,90,1,0,1,0,0,0,0,1,0,0,3,35,55.0,7.9,36.0,9.9,58,-1993,27346,107,2100
266,187,12,2,False,2019-12-26T17:30:00Z,4,1,19,62,0,0,0,4,0,0,0,0,0,0,0,10,10.6,10.3,4.0,2.5,58,5271,33324,5851,580
266,196,8,2,True,2019-12-28T15:00:00Z,1,2,20,90,0,0,0,2,0,0,0,0,0,0,0,1,1.8,1.8,32.0,3.6,58,1611,34990,2700,1089
266,206,9,2,True,2020-01-01T15:00:00Z,0,3,21,90,0,0,0,3,0,0,0,0,0,0,0,6,5.4,1.5,8.0,1.5,58,-643,34420,1840,2483
266,220,20,8,False,2020-01-11T15:00:00Z,1,1,22,90,1,0,0,1,0,0,0,1,0,0,2,33,47.4,4.6,28.0,8.0,58,-2147,32395,906,3053
266,226,6,3,True,2020-01-18T17:30:00Z,1,0,23,90,0,0,1,0,0,0,0,0,0,0,0,11,11.4,6.3,2.0,2.0,58,12061,45320,14038,1977
266,233,8,2,False,2020-01-21T19:30:00Z,2,2,24,90,0,0,0,2,0,0,0,0,0,0,0,6,4.4,2.3,2.0,0.9,58,4447,49724,7406,2959
266,247,14,3,True,2020-02-01T15:00:00Z,0,0,25,90,0,0,1,0,0,0,0,0,0,0,0,4,14.4,12.4,12.0,3.9,58,12666,63484,17505,4839
266,251,1,0,False,2020-02-16T16:30:00Z,None,None,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,58,-4621,58157,2711,7332
