element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
267,10,1,0,True,2019-08-11T13:00:00Z,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,0,7932,0,0
267,17,14,0,False,2019-08-17T14:00:00Z,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,-1403,7986,578,1981
267,28,17,6,False,2019-08-25T15:30:00Z,0,1,3,73,0,1,1,0,0,0,0,0,0,0,0,18,25.4,31.3,2.0,5.9,54,-2420,5572,24,2444
267,38,18,2,True,2019-08-31T14:00:00Z,1,1,4,81,0,0,0,1,0,0,0,0,0,0,0,13,14.8,48.2,19.0,8.2,54,1335,7620,2265,930
267,44,10,5,False,2019-09-14T11:30:00Z,3,1,5,90,0,1,0,3,0,0,0,0,0,0,0,15,30.6,40.9,2.0,7.4,54,-2,7859,1087,1089
267,58,4,2,True,2019-09-21T16:30:00Z,0,0,6,90,0,0,1,0,0,0,0,1,0,0,0,5,2.2,4.5,6.0,1.3,54,9869,19434,11551,1682
267,66,9,2,False,2019-09-29T15:30:00Z,5,0,7,90,0,0,0,5,0,0,0,0,0,0,0,4,10.2,7.1,4.0,2.1,54,-1621,17182,2432,4053
267,76,12,1,True,2019-10-06T15:30:00Z,1,0,8,7,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,54,-2030,15430,1112,3142
267,83,6,1,False,2019-10-19T14:00:00Z,1,0,9,7,0,0,0,0,0,0,0,0,0,0,0,3,4.2,14.5,0.0,1.9,54,-1928,13713,470,2398
267,96,20,1,True,2019-10-27T14:00:00Z,1,1,10,1,0,0,0,0,0,0,0,0,0,0,0,4,1.0,0.2,0.0,0.1,54,-973,12890,360,1333
267,110,19,1,False,2019-11-02T15:00:00Z,2,3,11,13,0,0,0,1,0,0,0,0,0,0,0,7,3.6,1.6,0.0,0.5,54,-1285,11684,331,1616
267,116,3,1,True,2019-11-09T15:00:00Z,2,1,12,1,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,54,-606,11168,350,956
267,122,2,1,False,2019-11-25T20:00:00Z,2,0,13,11,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.6,10.0,1.0,54,-725,10559,314,1039
267,136,11,4,True,2019-11-30T12:30:00Z,2,2,14,10,0,1,0,1,0,0,0,0,0,0,0,13,17.0,10.3,0.0,2.7,54,-551,10063,123,674
267,145,15,1,False,2019-12-05T19:30:00Z,0,2,15,9,0,0,0,0,0,0,0,0,0,0,0,2,1.0,0.3,4.0,0.5,54,-74,10051,246,320
267,156,16,0,True,2019-12-08T14:00:00Z,2,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-172,9947,263,435
267,162,5,2,False,2019-12-14T15:00:00Z,1,0,17,79,0,0,0,1,0,0,0,0,0,0,0,3,1.6,13.9,2.0,1.8,54,-346,9684,321,667
267,176,7,0,True,2019-12-21T15:00:00Z,1,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,39,9902,430,391
267,187,12,1,False,2019-12-26T17:30:00Z,4,1,19,31,0,0,0,0,0,0,0,0,0,0,0,4,4.2,11.5,2.0,1.8,54,-308,9562,168,476
267,196,8,1,True,2019-12-28T15:00:00Z,1,2,20,16,0,0,0,0,0,0,0,0,0,0,0,2,2.0,0.0,2.0,0.4,54,-141,9469,160,301
267,206,9,0,True,2020-01-01T15:00:00Z,0,3,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,53,-294,9221,144,438
267,220,20,2,False,2020-01-11T15:00:00Z,1,1,22,62,0,0,1,0,0,0,0,1,0,0,0,-6,0.0,1.0,0.0,0.1,53,-334,8940,104,438
267,226,6,0,True,2020-01-18T17:30:00Z,1,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,53,-181,8806,104,285
267,233,8,2,False,2020-01-21T19:30:00Z,2,2,24,61,0,0,0,2,0,0,0,0,0,0,0,7,3.2,0.8,2.0,0.6,53,-143,8681,77,220
267,247,14,0,True,2020-02-01T15:00:00Z,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,53,-65,8674,176,241
267,251,1,0,False,2020-02-16T16:30:00Z,4,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,53,-125,8568,72,197
267,264,7,0,False,2020-02-22T15:00:00Z,1,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,53,-184,8410,62,246
