element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
275,1,10,0,False,2019-08-09T19:00:00Z,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,1528,0,0
275,17,13,0,True,2019-08-17T14:00:00Z,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-241,1356,27,268
275,26,6,0,True,2019-08-24T11:30:00Z,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-139,1245,25,164
275,40,19,1,False,2019-08-31T14:00:00Z,2,0,4,35,0,0,0,1,0,0,0,0,0,0,0,3,6.6,0.0,2.0,0.9,45,-38,1311,88,126
275,46,11,0,True,2019-09-14T16:30:00Z,3,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-114,1253,66,180
275,52,5,0,False,2019-09-21T14:00:00Z,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-100,1155,23,123
275,64,7,0,False,2019-09-28T14:00:00Z,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-81,1082,13,94
275,77,2,0,True,2019-10-05T14:00:00Z,1,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-61,1023,7,68
275,82,3,0,False,2019-10-19T14:00:00Z,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-25,1001,16,41
275,97,12,0,True,2019-10-27T16:30:00Z,1,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-33,972,6,39
275,104,4,0,False,2019-11-02T15:00:00Z,2,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-18,952,7,25
275,117,18,0,True,2019-11-08T20:00:00Z,0,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-16,940,7,23
275,126,8,5,False,2019-11-23T15:00:00Z,0,2,13,90,0,0,1,0,0,0,0,1,0,0,0,21,14.0,0.3,2.0,1.6,44,17,967,38,21
275,137,1,1,True,2019-12-01T14:00:00Z,2,2,14,90,0,0,0,2,0,0,0,0,0,0,0,13,15.0,0.1,0.0,1.5,44,202,1237,236,34
275,150,16,1,False,2019-12-04T19:30:00Z,2,1,15,90,0,0,0,2,0,0,0,0,0,0,0,19,30.4,0.4,0.0,3.1,44,108,1383,148,40
275,157,15,4,True,2019-12-08T14:00:00Z,1,2,16,90,0,1,0,2,0,0,0,0,0,0,0,23,37.2,10.3,4.0,5.2,44,108,1535,166,58
275,165,9,2,False,2019-12-14T15:00:00Z,1,1,17,90,0,0,0,1,0,0,0,0,0,0,0,9,12.4,0.2,34.0,4.7,44,376,2039,502,126
275,177,20,1,True,2019-12-21T15:00:00Z,1,2,18,90,0,0,0,2,0,0,0,0,0,0,0,11,11.8,0.5,4.0,1.6,44,363,2602,490,127
275,181,2,2,False,2019-12-26T15:00:00Z,1,0,19,90,0,0,0,1,0,0,0,0,0,0,0,16,20.4,1.5,0.0,2.2,44,123,2701,292,169
275,197,17,1,True,2019-12-28T17:30:00Z,2,2,20,90,0,0,0,2,0,0,0,0,0,0,0,11,28.6,0.3,0.0,2.9,44,-43,2646,99,142
275,207,7,1,True,2020-01-01T17:30:00Z,1,1,21,90,0,0,0,1,0,0,0,1,0,0,0,15,30.2,0.1,0.0,3.0,44,199,2937,432,233
275,217,12,0,False,2020-01-11T15:00:00Z,4,0,22,90,0,0,0,4,0,0,0,0,0,0,0,16,32.0,0.2,7.0,3.9,44,-88,2937,219,307
275,227,3,7,True,2020-01-18T15:00:00Z,1,0,23,90,0,0,1,0,0,0,0,0,0,0,1,24,11.6,0.1,0.0,1.2,44,47,3079,328,281
275,240,17,1,False,2020-01-22T19:30:00Z,2,1,24,90,0,0,0,2,0,0,0,0,0,0,0,13,23.8,0.3,4.0,2.8,44,-28,3073,171,199
275,247,13,6,False,2020-02-01T15:00:00Z,0,0,25,90,0,0,1,0,0,0,0,0,0,0,0,26,13.6,1.1,5.0,2.0,44,-46,3081,149,195
275,257,10,0,True,2020-02-15T17:30:00Z,None,None,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,29,3158,179,150
