element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
289,1,10,0,False,2019-08-09T19:00:00Z,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,10849,0,0
289,17,13,1,True,2019-08-17T14:00:00Z,3,1,2,3,0,0,0,1,0,0,0,0,0,0,0,3,2.2,0.1,0.0,0.2,45,-1034,10758,672,1706
289,26,6,0,True,2019-08-24T11:30:00Z,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,929,13427,2249,1320
289,40,19,0,False,2019-08-31T14:00:00Z,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-335,13655,1265,1600
289,46,11,2,True,2019-09-14T16:30:00Z,3,2,5,90,0,0,0,2,0,0,0,0,0,0,0,10,15.6,0.0,0.0,1.6,45,-572,13432,785,1357
289,52,5,1,False,2019-09-21T14:00:00Z,2,0,6,12,0,0,0,1,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,45,1228,15302,2115,887
289,64,7,0,False,2019-09-28T14:00:00Z,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-1581,13558,255,1836
289,77,2,0,True,2019-10-05T14:00:00Z,1,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-1221,12378,19,1240
289,82,3,3,False,2019-10-19T14:00:00Z,0,0,9,90,0,0,1,0,0,0,0,0,0,0,0,15,16.6,1.3,0.0,1.8,45,-681,11739,52,733
289,97,12,2,True,2019-10-27T16:30:00Z,1,3,10,90,0,0,0,3,0,0,0,0,0,0,0,18,23.4,2.4,0.0,2.6,45,27,11887,226,199
289,104,4,2,False,2019-11-02T15:00:00Z,2,0,11,83,0,0,0,1,0,0,0,0,0,0,0,14,15.2,0.0,0.0,1.5,45,-3,11992,371,374
289,117,18,2,True,2019-11-08T20:00:00Z,0,2,12,90,0,0,0,2,0,0,0,0,0,0,0,13,7.6,3.3,6.0,1.7,45,31,12087,316,285
289,126,8,2,False,2019-11-23T15:00:00Z,0,2,13,90,0,0,1,0,0,0,0,1,0,0,0,9,12.8,1.7,0.0,1.5,45,2392,15096,3207,815
289,137,1,0,True,2019-12-01T14:00:00Z,2,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-267,14515,860,1127
289,150,16,5,False,2019-12-04T19:30:00Z,2,1,15,45,0,1,0,0,0,0,0,0,0,0,1,27,25.6,15.8,0.0,4.1,45,-1016,13485,44,1060
289,157,15,9,True,2019-12-08T14:00:00Z,1,2,16,90,1,0,0,2,0,0,0,0,0,0,2,36,46.4,5.2,20.0,7.2,45,522,14201,937,415
289,165,9,1,False,2019-12-14T15:00:00Z,1,1,17,90,0,0,0,1,0,0,0,1,0,0,0,8,8.4,5.6,27.0,4.1,45,5671,20800,6628,957
289,177,20,2,True,2019-12-21T15:00:00Z,1,2,18,86,0,0,0,2,0,0,0,0,0,0,0,11,12.6,4.6,15.0,3.2,45,2473,23649,4132,1659
289,181,2,1,False,2019-12-26T15:00:00Z,1,0,19,74,0,0,0,1,0,0,0,1,0,0,0,9,4.4,3.7,18.0,2.6,45,1841,25261,3576,1735
289,197,17,2,True,2019-12-28T17:30:00Z,2,2,20,85,0,0,0,2,0,0,0,0,0,0,0,10,8.2,11.8,0.0,2.0,45,972,26323,2501,1529
289,207,7,1,True,2020-01-01T17:30:00Z,1,1,21,90,0,0,0,1,0,0,0,1,0,0,0,14,7.2,3.1,8.0,1.8,45,2600,29193,5758,3158
289,217,12,2,False,2020-01-11T15:00:00Z,4,0,22,90,0,0,0,4,0,0,0,0,0,0,0,13,6.8,13.4,1.0,2.1,45,-1064,28220,2948,4012
