element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
28,6,17,2,False,2019-08-10T16:30:00Z,3,1,1,81,0,0,0,1,0,0,0,0,0,0,0,12,16.4,10.8,0.0,2.7,60,0,15856,0,0
28,12,3,0,True,2019-08-17T14:00:00Z,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,60,-1000,16676,1208,2208
28,21,8,0,True,2019-08-23T19:00:00Z,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,59,-4461,12489,209,4670
28,34,7,1,False,2019-08-31T14:00:00Z,1,0,4,19,0,0,0,1,0,0,0,0,0,0,0,6,6.0,25.1,0.0,3.1,58,-3011,9819,206,3217
28,41,19,0,True,2019-09-16T19:00:00Z,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,58,-1276,8854,131,1407
28,51,1,1,False,2019-09-22T15:30:00Z,3,2,6,5,0,0,0,0,0,0,0,0,0,0,0,5,2.8,1.0,18.0,2.2,57,-673,8334,79,752
28,61,5,2,True,2019-09-28T14:00:00Z,2,2,7,90,0,0,0,2,0,0,0,0,0,0,0,11,3.2,14.6,45.0,6.3,57,-582,7913,115,697
28,77,14,11,False,2019-10-05T14:00:00Z,1,5,8,77,1,1,1,0,0,0,0,1,0,0,1,33,55.0,36.3,13.0,10.4,57,-329,7706,106,435
28,81,4,1,True,2019-10-19T14:00:00Z,2,1,9,62,0,0,0,1,0,0,0,1,0,0,0,4,13.8,30.4,35.0,7.9,57,1644,9870,2122,478
28,95,11,0,False,2019-10-26T11:30:00Z,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,57,-282,9531,369,651
28,102,10,1,True,2019-11-02T15:00:00Z,1,2,11,17,0,0,0,2,0,0,0,0,0,0,0,2,0.6,0.6,12.0,1.3,57,-540,9134,299,839
28,120,20,0,False,2019-11-10T14:00:00Z,2,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,57,-125,9121,306,431
28,122,13,14,True,2019-11-25T20:00:00Z,2,0,13,90,1,1,1,0,0,0,0,0,0,0,3,50,55.4,41.7,22.0,11.9,57,-394,8835,155,549
28,135,12,2,False,2019-12-01T16:30:00Z,2,2,14,80,0,0,0,2,0,0,0,0,0,0,0,8,6.2,2.7,4.0,1.3,57,2196,11412,2913,717
28,147,6,1,False,2019-12-04T19:30:00Z,2,1,15,57,0,0,0,2,0,0,0,0,0,0,0,4,1.2,0.9,0.0,0.2,57,203,11542,802,599
28,151,9,0,True,2019-12-08T14:00:00Z,1,4,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,57,112,11754,852,740
28,168,15,0,False,2019-12-14T15:00:00Z,2,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,57,-356,11529,655,1011
28,171,16,1,True,2019-12-21T15:00:00Z,1,3,18,55,0,0,0,3,0,0,0,0,0,0,0,3,2.4,2.8,5.0,1.0,57,-77,11731,994,1071
28,181,14,8,True,2019-12-26T15:00:00Z,1,0,19,34,1,0,0,0,0,0,0,0,0,0,2,29,37.8,11.2,17.0,6.6,57,1116,12860,1761,645
28,199,18,2,False,2019-12-28T15:00:00Z,3,0,20,90,0,0,0,3,0,0,0,0,0,0,0,20,30.6,47.5,7.0,8.5,57,2023,15093,2471,448
28,203,5,1,False,2020-01-01T12:30:00Z,1,2,21,12,0,0,0,1,0,0,0,0,0,0,0,3,0.2,0.1,0.0,0.0,57,-577,14491,851,1428
28,211,11,2,True,2020-01-12T16:30:00Z,1,6,22,70,0,0,0,5,0,0,0,0,0,0,0,8,8.2,12.0,0.0,2.0,57,-1329,13269,349,1678
28,222,4,0,False,2020-01-18T15:00:00Z,1,1,23,4,0,0,0,0,0,0,0,1,0,0,0,1,2.2,14.2,0.0,1.6,57,-768,12610,251,1019
28,231,18,0,True,2020-01-21T19:30:00Z,2,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,57,-650,11996,167,817
28,241,3,0,False,2020-02-01T15:00:00Z,2,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,57,-622,11501,110,732
28,252,17,0,True,2020-02-16T14:00:00Z,None,None,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,57,-411,11137,57,468
