element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
293,2,3,2,False,2019-08-10T14:00:00Z,1,1,1,90,0,0,0,1,0,0,0,0,0,0,0,12,15.6,4.6,0.0,2.0,45,0,20821,0,0
293,18,7,6,True,2019-08-18T13:00:00Z,1,0,2,90,0,0,1,0,0,0,0,0,0,0,0,23,22.6,1.2,55.0,7.9,45,-876,21582,644,1520
293,27,9,1,True,2019-08-24T14:00:00Z,1,2,3,90,0,0,0,2,0,0,0,0,0,0,0,13,16.0,15.9,11.0,4.3,45,1025,24381,3544,2519
293,33,6,1,False,2019-08-31T14:00:00Z,2,2,4,90,0,0,0,2,0,0,0,0,0,0,0,13,12.2,1.1,0.0,1.3,45,-1479,23331,882,2361
293,47,16,2,True,2019-09-14T14:00:00Z,0,1,5,90,0,0,0,1,0,0,0,0,0,0,0,13,12.4,1.6,6.0,2.0,45,-953,23083,1164,2117
293,55,8,6,False,2019-09-21T14:00:00Z,0,2,6,90,0,0,1,0,0,0,0,0,0,0,0,27,32.0,0.3,2.0,3.4,45,-1015,22287,386,1401
293,68,10,1,True,2019-09-28T11:30:00Z,0,1,7,90,0,0,0,1,0,0,0,1,0,0,0,7,17.6,1.3,18.0,3.7,45,-871,21726,555,1426
293,79,18,7,False,2019-10-05T14:00:00Z,0,0,8,90,0,0,1,0,0,0,0,0,0,0,1,28,20.4,3.0,2.0,2.5,45,-216,21828,687,903
293,88,1,11,True,2019-10-21T19:00:00Z,1,0,9,90,0,1,1,0,0,0,0,1,0,0,3,34,25.8,11.2,6.0,4.3,45,224,22459,1129,905
293,100,19,2,False,2019-10-26T14:00:00Z,1,1,10,90,0,0,0,1,0,0,0,0,0,0,0,19,15.4,24.3,4.0,4.4,45,38187,65069,40032,1845
293,108,5,6,True,2019-11-02T15:00:00Z,3,0,11,90,0,0,1,0,0,0,0,0,0,0,0,25,16.0,10.9,2.0,2.9,45,43165,111297,48940,5775
293,119,17,2,False,2019-11-09T15:00:00Z,1,1,12,90,0,0,0,1,0,0,0,0,0,0,0,9,11.4,12.3,4.0,2.8,46,24761,137154,32452,7691
293,128,12,1,True,2019-11-24T16:30:00Z,3,3,13,90,0,0,0,3,0,0,0,0,0,0,0,12,20.8,11.1,4.0,3.6,46,4808,142030,14607,9799
293,140,20,1,False,2019-12-01T14:00:00Z,1,1,14,90,0,0,0,1,0,0,0,1,0,0,0,7,21.2,1.4,6.0,2.9,46,-2064,140127,6039,8103
293,145,13,1,True,2019-12-05T19:30:00Z,0,2,15,90,0,0,0,2,0,0,0,0,0,0,0,15,17.4,4.9,37.0,5.9,46,-3345,137157,2629,5974
293,157,14,2,False,2019-12-08T14:00:00Z,1,2,16,90,0,0,0,1,0,0,0,0,0,0,0,15,24.0,1.7,0.0,2.6,46,-4975,132604,3088,8063
293,168,2,6,True,2019-12-14T15:00:00Z,2,0,17,90,0,0,1,0,0,0,0,0,0,0,0,23,19.6,2.3,6.0,2.8,46,-488,133138,8783,9271
293,173,4,7,False,2019-12-21T15:00:00Z,0,1,18,90,0,0,1,0,0,0,0,0,0,0,1,25,15.6,1.2,0.0,1.7,46,6724,141018,11259,4535
293,188,18,2,True,2019-12-26T15:00:00Z,1,1,19,90,0,0,0,1,0,0,0,0,0,0,0,14,23.2,22.2,8.0,5.3,46,22639,165175,26648,4009
293,195,11,1,False,2019-12-29T18:00:00Z,2,0,20,90,0,0,0,2,0,0,0,0,0,0,0,14,13.6,5.9,0.0,2.0,46,-1473,162863,10601,12074
293,204,10,1,False,2020-01-02T20:00:00Z,2,0,21,90,0,0,0,2,0,0,0,0,0,0,0,18,23.8,15.2,2.0,4.1,46,-2471,161484,12709,15180
293,218,19,6,True,2020-01-10T20:00:00Z,1,0,22,90,0,0,1,0,0,0,0,0,0,0,0,21,7.4,1.2,0.0,0.9,46,4127,166985,16810,12683
293,221,1,2,False,2020-01-18T15:00:00Z,1,1,23,90,0,0,0,1,0,0,0,0,0,0,0,11,13.4,11.3,9.0,3.4,46,11533,179871,22504,10971
293,236,11,2,True,2020-01-21T19:30:00Z,0,1,24,90,0,0,0,1,0,0,0,0,0,0,0,12,25.0,1.4,4.0,3.0,46,1020,179422,14537,13517
293,243,7,7,False,2020-02-01T15:00:00Z,0,1,25,90,0,0,1,0,0,0,0,0,0,0,1,23,13.4,5.8,0.0,1.9,46,17465,200442,31392,13927
293,258,3,0,True,2020-02-09T14:00:00Z,None,None,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,47,62916,265413,70560,7644
