element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
295,2,3,2,False,2019-08-10T14:00:00Z,1,1,1,90,0,0,0,1,0,0,0,0,0,0,0,16,19.6,0.3,2.0,2.2,45,0,10565,0,0
295,18,7,6,True,2019-08-18T13:00:00Z,1,0,2,90,0,0,1,0,0,0,0,0,0,0,0,18,11.8,0.0,0.0,1.2,45,-458,11355,333,791
295,27,9,1,True,2019-08-24T14:00:00Z,1,2,3,90,0,0,0,2,0,0,0,0,0,0,0,14,16.8,0.7,4.0,2.2,45,624,13043,1652,1028
295,33,6,1,False,2019-08-31T14:00:00Z,2,2,4,90,0,0,0,2,0,0,0,0,0,0,0,12,15.2,0.3,0.0,1.6,45,-577,12788,409,986
295,47,16,2,True,2019-09-14T14:00:00Z,0,1,5,90,0,0,0,1,0,0,0,0,0,0,0,15,18.0,0.7,2.0,2.1,45,-199,13101,738,937
295,55,8,7,False,2019-09-21T14:00:00Z,0,2,6,90,0,0,1,0,0,0,0,0,0,0,1,29,30.0,0.1,0.0,3.0,45,-347,12872,243,590
295,68,10,2,True,2019-09-28T11:30:00Z,0,1,7,90,0,0,0,1,0,0,0,0,0,0,0,9,18.0,0.3,2.0,2.0,45,231,13469,834,603
295,79,18,6,False,2019-10-05T14:00:00Z,0,0,8,90,0,0,1,0,0,0,0,0,0,0,0,27,19.0,0.4,8.0,2.7,45,1017,14961,1498,481
295,88,1,8,True,2019-10-21T19:00:00Z,1,0,9,90,0,0,1,0,0,0,0,0,0,0,2,26,17.8,0.2,18.0,3.6,45,645,15850,1276,631
295,100,19,2,False,2019-10-26T14:00:00Z,1,1,10,90,0,0,0,1,0,0,0,0,0,0,0,11,15.8,0.0,0.0,1.6,45,3856,20700,4399,543
295,108,5,6,True,2019-11-02T15:00:00Z,3,0,11,78,0,0,1,0,0,0,0,0,0,0,0,24,14.4,0.0,2.0,1.6,45,4180,25461,5280,1100
295,119,17,2,False,2019-11-09T15:00:00Z,1,1,12,90,0,0,0,1,0,0,0,0,0,0,0,15,17.6,0.2,0.0,1.8,45,-1587,23480,743,2330
295,128,12,0,True,2019-11-24T16:30:00Z,3,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,2232,26541,4351,2119
295,140,20,1,False,2019-12-01T14:00:00Z,1,1,14,90,0,0,0,1,0,0,0,1,0,0,0,4,10.4,0.3,0.0,1.1,45,-63,26449,2188,2251
295,145,13,1,True,2019-12-05T19:30:00Z,0,2,15,90,0,0,0,2,0,0,0,0,0,0,0,11,16.0,2.9,23.0,4.2,45,3177,30097,4133,956
295,157,14,1,False,2019-12-08T14:00:00Z,1,2,16,90,0,0,0,1,0,0,0,1,0,0,0,10,28.4,0.2,0.0,2.9,45,3457,33833,4739,1282
295,168,2,6,True,2019-12-14T15:00:00Z,2,0,17,90,0,0,1,0,0,0,0,0,0,0,0,23,2.2,0.8,2.0,0.5,45,3541,37884,5631,2090
295,173,4,6,False,2019-12-21T15:00:00Z,0,1,18,90,0,0,1,0,0,0,0,0,0,0,0,19,19.6,0.2,21.0,4.1,45,6278,45400,7457,1179
295,188,18,2,True,2019-12-26T15:00:00Z,1,1,19,90,0,0,0,1,0,0,0,0,0,0,0,13,16.6,0.7,152.0,16.9,45,10661,55952,12111,1450
295,195,11,1,False,2019-12-29T18:00:00Z,2,0,20,90,0,0,0,2,0,0,0,0,0,0,0,13,26.0,0.3,8.0,3.4,45,1311,57068,4880,3569
295,204,10,1,False,2020-01-02T20:00:00Z,2,0,21,90,0,0,0,2,0,0,0,0,0,0,0,15,18.4,0.2,0.0,1.9,45,4274,61957,9990,5716
295,218,19,6,True,2020-01-10T20:00:00Z,1,0,22,90,0,0,1,0,0,0,0,0,0,0,0,14,0.0,0.3,7.0,0.6,45,6916,69784,12289,5373
295,221,1,2,False,2020-01-18T15:00:00Z,1,1,23,90,0,0,0,1,0,0,0,0,0,0,0,16,12.0,0.6,2.0,1.5,45,9646,80281,15119,5473
295,236,11,2,True,2020-01-21T19:30:00Z,0,1,24,90,0,0,0,1,0,0,0,0,0,0,0,11,13.2,0.1,18.0,3.1,45,2772,82698,8731,5959
295,243,7,6,False,2020-02-01T15:00:00Z,0,1,25,90,0,0,1,0,0,0,0,0,0,0,0,21,16.8,0.3,4.0,2.1,45,11449,95440,18649,7200
295,258,3,6,True,2020-02-09T14:00:00Z,2,1,26,90,0,1,0,1,0,0,0,0,0,0,1,21,13.0,0.8,54.0,6.8,45,38911,135290,43550,4639
295,268,4,2,True,2020-02-22T15:00:00Z,1,1,27,90,0,0,0,1,0,0,0,0,0,0,0,13,19.4,1.4,27.0,4.8,46,29929,166709,35357,5428
