element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
297,2,3,3,False,2019-08-10T14:00:00Z,1,1,1,77,0,0,0,1,0,0,0,0,0,0,1,20,4.8,27.2,3.0,3.5,40,0,410353,0,0
297,18,7,14,True,2019-08-18T13:00:00Z,1,0,2,90,1,0,1,0,0,0,0,1,0,0,3,41,53.4,18.5,22.0,9.4,40,48106,506872,68004,19898
297,27,9,0,True,2019-08-24T14:00:00Z,1,2,3,90,0,0,0,2,0,0,0,1,0,0,0,4,3.0,9.1,18.0,3.0,41,453880,1042906,474635,20755
297,33,6,1,False,2019-08-31T14:00:00Z,2,2,4,90,0,0,0,2,0,0,0,0,0,0,0,12,7.8,2.4,4.0,1.4,42,248087,1325677,292024,43937
297,47,16,2,True,2019-09-14T14:00:00Z,0,1,5,71,0,0,0,1,0,0,0,0,0,0,0,14,11.0,14.0,0.0,2.5,42,231497,1582730,281710,50213
297,55,8,12,False,2019-09-21T14:00:00Z,0,2,6,90,0,1,1,0,0,0,0,0,0,0,3,33,35.6,15.4,0.0,5.1,43,70188,1652765,110815,40627
297,68,10,2,True,2019-09-28T11:30:00Z,0,1,7,90,0,0,0,1,0,0,0,0,0,0,0,11,11.8,16.3,38.0,6.6,44,239489,1914259,261842,22353
297,79,18,5,False,2019-10-05T14:00:00Z,0,0,8,90,0,0,1,0,0,0,0,1,0,0,0,20,11.0,27.5,6.0,4.5,45,181636,2115148,194043,12407
297,88,1,6,True,2019-10-21T19:00:00Z,1,0,9,90,0,0,1,0,0,0,0,0,0,0,0,20,9.2,13.4,2.0,2.5,45,114522,2234062,135656,21134
297,100,19,2,False,2019-10-26T14:00:00Z,1,1,10,90,0,0,0,1,0,0,0,0,0,0,0,5,11.2,12.8,22.0,4.6,46,140829,2384142,149713,8884
297,108,5,21,True,2019-11-02T15:00:00Z,3,0,11,90,2,0,1,0,0,0,0,0,0,0,3,49,77.8,15.9,77.0,17.1,47,142132,2538506,159197,17065
297,119,17,2,False,2019-11-09T15:00:00Z,1,1,12,90,0,0,0,1,0,0,0,0,0,0,0,7,9.0,15.8,13.0,3.8,48,294784,2844665,304052,9268
297,128,12,3,True,2019-11-24T16:30:00Z,3,3,13,90,0,1,0,3,0,0,0,1,0,0,0,12,7.6,7.3,42.0,5.7,49,186887,3049292,201114,14227
297,140,20,2,False,2019-12-01T14:00:00Z,1,1,14,90,0,0,0,1,0,0,0,0,0,0,0,13,14.8,7.8,0.0,2.3,50,136355,3194604,146873,10518
297,145,13,1,True,2019-12-05T19:30:00Z,0,2,15,90,0,0,0,2,0,0,0,0,0,0,0,21,17.6,16.2,10.0,4.4,50,82194,3283764,89987,7793
297,157,14,2,False,2019-12-08T14:00:00Z,1,2,16,90,0,0,0,1,0,0,0,0,0,0,0,14,9.0,23.3,1.0,3.3,51,53212,3343500,71807,18595
297,168,2,11,True,2019-12-14T15:00:00Z,2,0,17,90,0,1,1,0,0,0,0,0,0,0,2,37,30.4,31.1,24.0,8.6,51,47274,3401366,78383,31109
297,173,4,6,False,2019-12-21T15:00:00Z,0,1,18,90,0,0,1,0,0,0,0,0,0,0,0,22,8.8,4.3,8.0,2.1,52,147613,3586554,153313,5700
297,188,18,2,True,2019-12-26T15:00:00Z,1,1,19,90,0,0,0,1,0,0,0,0,0,0,0,9,1.0,5.6,1.0,0.8,52,61084,3632653,67586,6502
297,195,11,0,False,2019-12-29T18:00:00Z,2,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,52,-34743,3592185,22240,56983
297,204,10,1,False,2020-01-02T20:00:00Z,2,0,21,90,0,0,0,2,0,0,0,0,0,0,0,12,9.8,5.1,6.0,2.1,52,-180032,3418301,19816,199848
297,218,19,6,True,2020-01-10T20:00:00Z,1,0,22,69,0,0,1,0,0,0,0,0,0,0,0,17,9.8,11.7,24.0,4.6,51,19570,3455076,78015,58445
297,221,1,2,False,2020-01-18T15:00:00Z,1,1,23,66,0,0,0,1,0,0,0,0,0,0,0,9,1.6,1.5,6.0,0.9,51,26455,3486595,62924,36469
297,236,11,1,True,2020-01-21T19:30:00Z,0,1,24,12,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.1,0.0,0.0,51,-41977,3405066,28832,70809
297,243,7,1,False,2020-02-01T15:00:00Z,0,1,25,22,0,0,0,0,0,0,0,0,0,0,0,4,4.2,12.5,1.0,1.8,51,-18400,3437167,54569,72969
297,258,3,0,True,2020-02-09T14:00:00Z,None,None,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-227501,3210874,27165,254666
