element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
298,2,3,8,False,2019-08-10T14:00:00Z,1,1,1,8,1,0,0,0,0,0,0,0,0,0,3,26,32.4,0.5,35.0,6.8,60,0,46529,0,0
298,18,7,0,True,2019-08-18T13:00:00Z,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,60,24468,89561,34382,9914
298,27,9,1,True,2019-08-24T14:00:00Z,1,2,3,36,0,0,0,1,0,0,0,0,0,0,0,7,4.4,13.8,4.0,2.2,60,-17866,71288,9230,27096
298,33,6,0,False,2019-08-31T14:00:00Z,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,59,-20364,51957,1740,22104
298,47,16,-2,True,2019-09-14T14:00:00Z,0,1,5,20,0,0,0,1,0,0,0,0,1,0,0,-1,0.4,30.8,4.0,3.5,58,-9495,43580,2334,11829
298,55,8,0,False,2019-09-21T14:00:00Z,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,58,-11162,32461,77,11239
298,68,10,0,True,2019-09-28T11:30:00Z,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,57,-5689,27036,42,5731
298,79,18,1,False,2019-10-05T14:00:00Z,0,0,8,19,0,0,0,0,0,0,0,0,0,0,0,3,0.2,0.3,2.0,0.3,57,-1199,26041,369,1568
298,88,1,1,True,2019-10-21T19:00:00Z,1,0,9,34,0,0,0,0,0,0,0,0,0,0,0,4,4.0,11.2,2.0,1.7,57,-1028,25091,191,1219
298,100,19,1,False,2019-10-26T14:00:00Z,1,1,10,36,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.9,0.0,0.0,57,-349,24830,332,681
298,108,5,1,True,2019-11-02T15:00:00Z,3,0,11,25,0,0,0,0,0,0,0,0,0,0,0,2,6.2,10.8,17.0,3.4,57,-567,24324,358,925
298,119,17,0,False,2019-11-09T15:00:00Z,1,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,57,-617,23733,184,801
298,128,12,1,True,2019-11-24T16:30:00Z,3,3,13,12,0,0,0,1,0,0,0,0,0,0,0,2,0.0,1.3,0.0,0.1,57,-443,23381,371,814
298,140,20,0,False,2019-12-01T14:00:00Z,1,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,57,-215,23251,410,625
298,145,13,1,True,2019-12-05T19:30:00Z,0,2,15,62,0,0,0,1,0,0,0,1,0,0,0,4,3.4,32.8,14.0,5.0,57,-268,23026,242,510
298,157,14,0,False,2019-12-08T14:00:00Z,1,2,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,56,-235,22817,216,451
298,168,2,0,True,2019-12-14T15:00:00Z,2,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,56,-456,22401,213,669
298,173,4,0,False,2019-12-21T15:00:00Z,0,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,56,-307,22109,172,479
298,188,18,0,True,2019-12-26T15:00:00Z,1,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,56,-187,21995,157,344
298,195,11,1,False,2019-12-29T18:00:00Z,2,0,20,7,0,0,0,0,0,0,0,0,0,0,0,-1,0.0,0.3,4.0,0.2,56,-190,21814,68,258
298,204,10,1,False,2020-01-02T20:00:00Z,2,0,21,24,0,0,0,0,0,0,0,0,0,0,0,3,3.0,0.5,4.0,0.8,56,-201,21659,124,325
298,218,19,1,True,2020-01-10T20:00:00Z,1,0,22,6,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.6,0.0,0.1,56,-20,21706,368,388
