element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
304,3,5,1,False,2019-08-10T14:00:00Z,3,0,1,90,0,0,0,3,0,0,0,0,0,0,0,13,16.4,1.3,33.0,5.1,50,0,10483,0,0
304,19,10,1,True,2019-08-17T14:00:00Z,1,2,2,90,0,0,0,2,0,0,0,0,0,0,0,13,20.0,14.2,4.0,3.8,50,-1184,10924,232,1416
304,23,4,9,False,2019-08-24T14:00:00Z,0,2,3,90,0,0,1,0,0,0,0,0,0,0,3,33,22.6,20.8,10.0,5.3,50,-510,11115,532,1042
304,39,12,11,True,2019-08-31T11:30:00Z,1,1,4,90,1,0,0,1,0,0,0,0,0,0,3,27,56.2,0.7,33.0,9.0,50,3484,16943,4862,1378
304,47,15,5,False,2019-09-14T14:00:00Z,0,1,5,90,0,0,1,0,0,0,0,1,0,0,0,23,18.8,0.8,34.0,5.4,51,199639,256666,220104,20465
304,59,3,1,True,2019-09-20T19:00:00Z,1,3,6,90,0,0,0,3,0,0,0,0,0,0,0,14,14.2,1.9,8.0,2.4,52,168483,440600,183787,15304
304,69,17,1,False,2019-09-28T14:00:00Z,2,1,7,78,0,0,0,2,0,0,0,0,0,0,0,13,14.2,23.1,0.0,3.7,52,32824,474044,79527,46703
304,78,6,0,True,2019-10-06T13:00:00Z,1,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,52,-37144,434343,9076,46220
304,90,20,2,False,2019-10-19T14:00:00Z,1,1,9,90,0,0,0,1,0,0,0,0,0,0,0,13,10.2,0.3,18.0,2.9,52,-31927,404850,4955,36882
304,98,9,-1,True,2019-10-25T19:00:00Z,0,9,10,45,0,0,0,5,0,0,0,0,0,0,0,4,5.4,0.0,0.0,0.5,52,-19083,388109,3128,22211
304,107,11,1,False,2019-11-02T15:00:00Z,2,1,11,90,0,0,0,2,0,0,0,0,0,0,0,21,47.2,0.5,0.0,4.8,51,-62009,324775,1303,63312
304,118,8,1,True,2019-11-09T15:00:00Z,1,2,12,90,0,0,0,2,0,0,0,0,0,0,0,13,20.6,0.3,0.0,2.1,51,-26646,299928,1982,28628
304,121,1,0,False,2019-11-23T15:00:00Z,2,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-27813,272319,1119,28932
304,138,18,0,True,2019-11-30T17:30:00Z,2,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-17706,255970,1955,19661
304,150,14,0,True,2019-12-04T19:30:00Z,2,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-14216,242542,689,14905
304,156,13,0,False,2019-12-08T14:00:00Z,2,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-16129,226619,521,16650
304,169,19,0,True,2019-12-14T17:30:00Z,0,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,-13940,212818,1049,14989
304,171,2,0,False,2019-12-21T15:00:00Z,1,3,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,-10798,201585,765,11563
304,183,6,0,False,2019-12-26T15:00:00Z,0,2,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,-8367,194502,345,8712
304,198,7,0,True,2019-12-28T15:00:00Z,1,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,47,-6174,188648,548,6722
304,208,17,0,True,2020-01-01T15:00:00Z,1,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,47,-9811,179041,355,10166
304,216,9,0,False,2020-01-11T15:00:00Z,1,2,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,47,-7587,171668,349,7936
304,228,20,0,True,2020-01-18T15:00:00Z,2,3,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,47,-5907,165882,426,6333
304,239,7,6,False,2020-01-21T19:30:00Z,0,2,24,90,0,0,1,0,0,0,0,0,0,0,0,21,11.2,1.4,7.0,2.0,46,-3725,162069,343,4068
304,245,10,0,False,2020-02-01T15:00:00Z,4,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,46,-4455,157886,720,5175
304,259,5,0,True,2020-02-15T12:30:00Z,1,2,26,90,0,0,0,2,0,0,0,1,0,0,0,6,9.0,1.1,0.0,1.0,46,-1703,156425,765,2468
304,269,2,0,True,2020-02-22T15:00:00Z,2,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,46,-1515,155089,923,2438
