element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
305,3,5,1,False,2019-08-10T14:00:00Z,3,0,1,90,0,0,0,3,0,0,0,0,0,0,0,8,5.4,6.7,7.0,1.9,50,0,65827,0,0
305,19,10,1,True,2019-08-17T14:00:00Z,1,2,2,76,0,0,0,2,0,0,0,0,0,0,0,6,0.6,1.1,2.0,0.4,50,-5951,65810,1462,7413
305,23,4,0,False,2019-08-24T14:00:00Z,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-3738,63868,2175,5913
305,39,12,0,True,2019-08-31T11:30:00Z,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-12577,51151,324,12901
305,47,15,0,False,2019-09-14T14:00:00Z,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-5810,46074,1046,6856
305,59,3,1,True,2019-09-20T19:00:00Z,1,3,6,45,0,0,0,1,0,0,0,0,0,0,0,6,8.2,26.7,4.0,3.9,49,-1818,44848,902,2720
305,69,17,1,False,2019-09-28T14:00:00Z,2,1,7,90,0,0,0,2,0,0,0,0,0,0,0,16,22.0,52.8,2.0,7.7,49,-2461,42685,554,3015
305,78,6,0,True,2019-10-06T13:00:00Z,1,4,8,90,0,0,0,4,0,0,0,0,0,0,0,5,10.6,10.9,0.0,2.2,49,-1253,41721,627,1880
305,90,20,1,False,2019-10-19T14:00:00Z,1,1,9,90,0,0,0,1,0,0,0,1,0,0,0,9,9.0,25.8,6.0,4.1,49,-1183,40886,575,1758
305,98,9,-6,True,2019-10-25T19:00:00Z,0,9,10,11,0,0,0,9,0,0,0,0,1,0,0,-8,0.0,0.0,0.0,0.0,48,-420,40653,586,1006
305,107,11,0,False,2019-11-02T15:00:00Z,2,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,-6280,34255,41,6321
305,118,8,0,True,2019-11-09T15:00:00Z,1,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,-2370,31976,25,2395
305,121,1,3,False,2019-11-23T15:00:00Z,2,2,13,90,0,1,0,2,0,0,0,1,0,0,0,22,33.0,22.2,4.0,5.9,48,-935,31295,231,1166
305,138,18,2,True,2019-11-30T17:30:00Z,2,1,14,90,0,0,0,1,0,0,0,0,0,0,0,9,10.4,8.8,4.0,2.3,48,1193,32794,1764,571
305,150,14,8,True,2019-12-04T19:30:00Z,2,1,15,90,1,0,0,1,0,0,0,0,0,0,0,22,36.6,6.4,37.0,8.0,48,321,33178,859,538
305,156,13,1,False,2019-12-08T14:00:00Z,2,1,16,90,0,0,0,2,0,0,0,0,0,0,0,6,13.4,5.9,33.0,5.2,48,2895,36431,3463,568
305,169,19,2,True,2019-12-14T17:30:00Z,0,1,17,90,0,0,0,1,0,0,0,0,0,0,0,14,9.8,9.4,2.0,2.1,48,2549,39265,3772,1223
305,171,2,2,False,2019-12-21T15:00:00Z,1,3,18,90,0,0,0,1,0,0,0,0,0,0,0,13,10.0,24.8,22.0,5.7,48,1296,41542,2563,1267
305,183,6,5,False,2019-12-26T15:00:00Z,0,2,19,90,0,0,1,0,0,0,0,1,0,0,0,21,6.4,0.8,2.0,0.9,48,-131,40694,1284,1415
305,198,7,2,True,2019-12-28T15:00:00Z,1,1,20,90,0,0,0,1,0,0,0,0,0,0,0,10,8.8,2.4,0.0,1.1,48,3043,44330,3783,740
305,208,17,6,True,2020-01-01T15:00:00Z,1,0,21,90,0,0,1,0,0,0,0,0,0,0,0,20,16.8,15.6,12.0,4.4,48,805,45098,3193,2388
305,216,9,2,False,2020-01-11T15:00:00Z,1,2,22,90,0,0,0,1,0,0,0,0,0,0,0,8,14.2,30.3,2.0,4.7,48,3180,48902,5714,2534
