element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
309,6,17,0,False,2019-08-10T16:30:00Z,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,75148,0,0
309,12,3,0,True,2019-08-17T14:00:00Z,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-9453,68064,627,10080
309,21,8,0,True,2019-08-23T19:00:00Z,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-13264,55336,615,13879
309,34,7,0,False,2019-08-31T14:00:00Z,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-11473,44100,341,11814
309,41,19,0,True,2019-09-16T19:00:00Z,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-9836,34408,52,9888
309,51,1,0,False,2019-09-22T15:30:00Z,3,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-3353,31314,38,3391
309,61,5,9,True,2019-09-28T14:00:00Z,2,2,7,61,0,0,1,0,0,0,0,0,0,0,3,31,11.2,17.2,2.0,3.0,44,-2535,28941,170,2705
309,77,14,5,False,2019-10-05T14:00:00Z,1,5,8,90,0,1,0,1,0,0,0,0,0,0,0,26,34.6,33.3,2.0,7.0,44,-1,29286,1065,1066
309,81,4,10,True,2019-10-19T14:00:00Z,2,1,9,90,1,0,0,1,0,0,0,0,0,0,2,41,63.8,44.7,20.0,12.9,44,2184,32027,3353,1169
309,95,11,1,False,2019-10-26T11:30:00Z,3,0,10,90,0,0,0,3,0,0,0,0,0,0,0,8,17.6,19.0,0.0,3.7,44,12247,46445,14234,1987
309,102,10,1,True,2019-11-02T15:00:00Z,1,2,11,90,0,0,0,2,0,0,0,0,0,0,0,17,24.0,14.6,0.0,3.9,44,9792,58752,13465,3673
309,120,20,1,False,2019-11-10T14:00:00Z,2,1,12,45,0,0,0,1,0,0,0,0,0,0,0,5,5.4,1.0,0.0,0.6,44,822,59245,4016,3194
309,122,13,7,True,2019-11-25T20:00:00Z,2,0,13,90,0,0,1,0,0,0,0,0,0,0,1,33,23.6,13.3,2.0,3.9,44,-3606,55600,2271,5877
309,135,12,7,False,2019-12-01T16:30:00Z,2,2,14,90,0,1,0,2,0,0,0,0,0,0,3,31,38.4,21.7,0.0,6.0,44,894,57031,3571,2677
309,147,6,0,False,2019-12-04T19:30:00Z,2,1,15,90,0,0,0,2,0,0,0,1,0,0,0,9,21.8,6.3,0.0,2.8,44,8374,66084,9752,1378
309,151,9,-1,True,2019-12-08T14:00:00Z,1,4,16,77,0,0,0,4,0,0,0,1,0,0,0,10,14.2,43.8,2.0,6.0,44,8116,74690,11168,3052
309,168,15,0,False,2019-12-14T15:00:00Z,2,0,17,90,0,0,0,2,0,0,0,1,0,0,0,6,12.4,15.4,2.0,3.0,44,5835,80670,12505,6670
309,171,16,1,True,2019-12-21T15:00:00Z,1,3,18,90,0,0,0,3,0,0,0,0,0,0,0,13,19.6,27.9,0.0,4.8,44,35517,123272,39977,4460
309,181,14,6,True,2019-12-26T15:00:00Z,1,0,19,90,0,0,1,0,0,0,0,0,0,0,0,22,12.8,16.4,0.0,2.9,44,3689,121272,10164,6475
309,199,18,2,False,2019-12-28T15:00:00Z,3,0,20,65,0,0,0,1,0,0,0,0,0,0,0,13,24.6,4.6,0.0,2.9,44,2647,124746,9244,6597
309,203,5,0,False,2020-01-01T12:30:00Z,1,2,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-25462,98596,1224,26686
309,211,11,0,True,2020-01-12T16:30:00Z,1,6,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-18324,80401,287,18611
309,222,4,2,False,2020-01-18T15:00:00Z,1,1,23,90,0,0,0,1,0,0,0,0,0,0,0,16,16.6,17.2,0.0,3.4,44,-11363,69146,292,11655
309,231,18,6,True,2020-01-21T19:30:00Z,2,1,24,90,0,1,0,1,0,0,0,0,0,0,1,18,18.2,27.7,59.0,10.5,44,-3074,66132,2378,5452
309,241,3,1,False,2020-02-01T15:00:00Z,2,1,25,90,0,0,0,2,0,0,0,0,0,0,0,13,9.2,21.9,22.0,5.3,44,3710,70949,8072,4362
309,252,17,1,True,2020-02-16T14:00:00Z,2,3,26,90,0,0,0,3,0,0,0,0,0,0,0,11,19.6,26.8,4.0,5.0,44,-2266,68489,2221,4487
309,269,16,1,False,2020-02-22T15:00:00Z,2,0,27,90,0,0,0,2,0,0,0,0,0,0,0,9,11.4,3.3,4.0,1.9,44,-747,68009,3093,3840
