element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
30,6,17,2,False,2019-08-10T16:30:00Z,3,1,1,90,0,0,0,3,0,0,0,0,0,0,0,0,1.4,5.3,8.0,1.5,55,0,19086,0,0
30,12,3,2,True,2019-08-17T14:00:00Z,1,2,2,74,0,0,0,2,0,0,0,0,0,0,0,3,0.4,11.1,43.0,5.5,55,2182,25533,5484,3302
30,21,8,6,True,2019-08-23T19:00:00Z,2,0,3,13,1,0,0,0,0,0,0,0,0,0,0,20,37.0,0.5,74.0,11.2,55,-3603,22463,1821,5424
30,34,7,0,False,2019-08-31T14:00:00Z,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,6034,31576,10398,4364
30,41,19,3,True,2019-09-16T19:00:00Z,0,0,5,90,0,0,1,0,0,0,0,0,0,0,0,10,16.6,37.2,11.0,6.5,55,-3493,28322,2874,6367
30,51,1,5,False,2019-09-22T15:30:00Z,3,2,6,85,0,1,0,3,0,0,0,0,0,0,0,21,35.6,30.1,9.0,7.5,55,-2494,26249,1044,3538
30,61,5,7,True,2019-09-28T14:00:00Z,2,2,7,69,1,0,0,1,0,0,0,0,0,0,0,21,36.2,2.0,30.0,6.8,55,1849,28923,4499,2650
30,77,14,9,False,2019-10-05T14:00:00Z,1,5,8,63,0,2,1,0,0,0,0,0,0,0,0,29,47.2,36.0,61.0,14.4,55,14210,44853,17035,2825
30,81,4,2,True,2019-10-19T14:00:00Z,2,1,9,75,0,0,0,1,0,0,0,0,0,0,0,1,0.0,3.3,36.0,3.7,55,76061,129566,85376,9315
30,95,11,1,False,2019-10-26T11:30:00Z,3,0,10,6,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.3,0.0,0.0,55,-2302,123243,13740,16042
30,102,10,1,True,2019-11-02T15:00:00Z,1,2,11,90,0,0,0,2,0,0,0,1,0,0,0,15,23.0,26.2,17.0,6.6,55,-15358,108827,9683,25041
30,120,20,2,False,2019-11-10T14:00:00Z,2,1,12,90,0,0,0,2,0,0,0,0,0,0,0,12,12.2,31.1,13.0,5.6,55,2648,113096,13985,11337
30,122,13,8,True,2019-11-25T20:00:00Z,2,0,13,90,1,0,1,0,0,0,0,0,0,0,0,23,41.0,24.5,37.0,10.3,55,-1953,112246,12544,14497
30,135,12,4,False,2019-12-01T16:30:00Z,2,2,14,17,0,1,0,0,0,0,0,0,0,0,0,15,19.0,14.0,0.0,3.3,55,-185,112641,9863,10048
30,147,6,0,False,2019-12-04T19:30:00Z,2,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,-12708,99633,2936,15644
30,151,9,2,True,2019-12-08T14:00:00Z,1,4,16,90,0,0,0,4,0,0,0,0,0,0,0,4,4.0,31.3,37.0,7.2,55,-19097,80695,737,19834
30,168,15,2,False,2019-12-14T15:00:00Z,2,0,17,79,0,0,0,2,0,0,0,0,0,0,0,8,7.4,30.8,8.0,4.6,55,1023,82856,8326,7303
30,171,16,1,True,2019-12-21T15:00:00Z,1,3,18,67,0,0,0,3,0,0,0,1,0,0,0,1,6.8,28.9,35.0,7.1,55,7436,91519,12716,5280
30,181,14,3,True,2019-12-26T15:00:00Z,1,0,19,90,0,0,1,0,0,0,0,0,0,0,0,8,7.4,5.2,6.0,1.9,55,1112,92363,9380,8268
30,199,18,1,False,2019-12-28T15:00:00Z,3,0,20,45,0,0,0,2,0,0,0,0,0,0,0,1,1.4,5.1,28.0,3.5,55,40,92769,6582,6542
30,203,5,0,False,2020-01-01T12:30:00Z,1,2,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,-11651,81297,2881,14532
30,211,11,6,True,2020-01-12T16:30:00Z,1,6,22,90,1,0,0,6,0,0,0,1,0,0,0,14,29.4,3.8,49.0,8.2,55,-11160,70448,1645,12805
30,222,4,2,False,2020-01-18T15:00:00Z,1,1,23,90,0,0,0,1,0,0,0,0,0,0,0,4,3.6,6.8,8.0,1.8,55,1693,72906,7523,5830
30,231,18,2,True,2020-01-21T19:30:00Z,2,1,24,90,0,0,0,1,0,0,0,0,0,0,0,5,3.8,42.8,8.0,5.5,55,-285,72780,5261,5546
30,241,3,1,False,2020-02-01T15:00:00Z,2,1,25,57,0,0,0,2,0,0,0,0,0,0,0,3,3.8,24.7,4.0,3.3,55,-2775,70268,3277,6052
30,252,17,0,True,2020-02-16T14:00:00Z,None,None,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,-3981,66412,1362,5343
