element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
310,3,5,0,False,2019-08-10T14:00:00Z,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,22021,0,0
310,19,10,1,True,2019-08-17T14:00:00Z,1,2,2,90,0,0,0,2,0,0,0,0,0,0,0,7,12.4,0.3,37.0,5.0,45,-2657,21568,320,2977
310,23,4,0,False,2019-08-24T14:00:00Z,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-414,22581,1477,1891
310,39,12,1,True,2019-08-31T11:30:00Z,1,1,4,13,0,0,0,0,0,0,0,0,0,0,0,6,7.0,0.4,0.0,0.7,45,-1597,21567,686,2283
310,47,15,7,False,2019-09-14T14:00:00Z,0,1,5,90,0,0,1,0,0,0,0,0,0,0,1,26,19.6,0.4,2.0,2.2,44,-473,21887,1254,1727
310,59,3,0,True,2019-09-20T19:00:00Z,1,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,5712,29253,7389,1677
310,69,17,0,False,2019-09-28T14:00:00Z,2,1,7,90,0,0,0,2,0,0,0,1,0,0,0,10,19.4,1.8,25.0,4.6,44,-2234,26677,837,3071
310,78,6,0,True,2019-10-06T13:00:00Z,1,4,8,90,0,0,0,4,0,0,0,0,0,0,0,10,13.8,0.4,9.0,2.3,44,-1076,25951,753,1829
310,90,20,2,False,2019-10-19T14:00:00Z,1,1,9,90,0,0,0,1,0,0,0,0,0,0,0,13,13.2,0.1,2.0,1.5,44,-843,25371,545,1388
310,98,9,-2,True,2019-10-25T19:00:00Z,0,9,10,90,0,0,0,9,0,0,0,0,0,0,0,10,11.4,0.3,2.0,1.4,44,-276,25242,397,673
310,107,11,0,False,2019-11-02T15:00:00Z,2,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-1623,23682,210,1833
310,118,8,0,True,2019-11-09T15:00:00Z,1,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-1045,22729,138,1183
310,121,1,0,False,2019-11-23T15:00:00Z,2,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-955,21919,207,1162
310,138,18,0,True,2019-11-30T17:30:00Z,2,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-486,21540,281,767
310,150,14,1,True,2019-12-04T19:30:00Z,2,1,15,5,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,43,-390,21185,150,540
310,156,13,0,False,2019-12-08T14:00:00Z,2,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-399,20845,193,592
310,169,19,0,True,2019-12-14T17:30:00Z,0,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-375,20581,309,684
310,171,2,0,False,2019-12-21T15:00:00Z,1,3,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-416,20206,220,636
310,183,6,0,False,2019-12-26T15:00:00Z,0,2,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-353,19966,148,501
310,198,7,0,True,2019-12-28T15:00:00Z,1,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-290,19736,132,422
310,208,17,0,True,2020-01-01T15:00:00Z,1,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,42,-479,19301,153,632
310,216,9,0,False,2020-01-11T15:00:00Z,1,2,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,42,-231,19172,323,554
310,228,20,0,True,2020-01-18T15:00:00Z,2,3,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,42,-205,19059,313,518
310,239,7,0,False,2020-01-21T19:30:00Z,0,2,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,42,-216,18855,158,374
310,245,10,0,False,2020-02-01T15:00:00Z,4,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,42,-492,18425,139,631
310,259,5,0,True,2020-02-15T12:30:00Z,1,2,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,42,-832,17583,9,841
310,269,2,0,True,2020-02-22T15:00:00Z,2,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,42,-686,16915,12,698
