element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
314,3,5,1,False,2019-08-10T14:00:00Z,3,0,1,24,0,0,0,2,0,0,0,0,0,0,0,0,0.0,0.4,4.0,0.4,50,0,14065,0,0
314,19,10,0,True,2019-08-17T14:00:00Z,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-1033,15954,1236,2269
314,23,4,0,False,2019-08-24T14:00:00Z,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-1561,15246,970,2531
314,39,12,0,True,2019-08-31T11:30:00Z,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-2046,13761,779,2825
314,47,15,0,False,2019-09-14T14:00:00Z,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-1552,12517,558,2110
314,59,3,0,True,2019-09-20T19:00:00Z,1,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-226,12733,799,1025
314,69,17,1,False,2019-09-28T14:00:00Z,2,1,7,7,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,50,-318,12890,845,1163
314,78,6,1,True,2019-10-06T13:00:00Z,1,4,8,17,0,0,0,1,0,0,0,0,0,0,0,1,1.0,1.3,0.0,0.2,50,-239,12957,577,816
314,90,20,0,False,2019-10-19T14:00:00Z,1,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-364,12874,381,745
314,98,9,0,True,2019-10-25T19:00:00Z,0,9,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-279,12757,167,446
314,107,11,0,False,2019-11-02T15:00:00Z,2,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-409,12529,172,581
314,118,8,1,True,2019-11-09T15:00:00Z,1,2,12,1,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,49,-361,12286,117,478
314,121,1,2,False,2019-11-23T15:00:00Z,2,2,13,75,0,0,0,1,0,0,0,0,0,0,0,7,3.6,23.0,26.0,5.3,49,-221,12223,312,533
314,138,18,1,True,2019-11-30T17:30:00Z,2,1,14,56,0,0,0,1,0,0,0,0,0,0,0,4,1.4,2.5,0.0,0.4,49,574,12975,923,349
314,150,14,0,True,2019-12-04T19:30:00Z,2,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,64,13074,407,343
314,156,13,0,False,2019-12-08T14:00:00Z,2,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-251,12936,253,504
314,169,19,0,True,2019-12-14T17:30:00Z,0,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-281,12791,337,618
314,171,2,1,False,2019-12-21T15:00:00Z,1,3,18,8,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,49,-278,12623,179,457
314,183,6,8,False,2019-12-26T15:00:00Z,0,2,19,68,1,0,1,0,0,0,0,0,0,0,2,27,36.0,1.8,39.0,7.7,49,-131,12616,162,293
314,198,7,0,True,2019-12-28T15:00:00Z,1,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,1263,14098,1517,254
314,208,17,1,True,2020-01-01T15:00:00Z,1,0,21,14,0,0,0,0,0,0,0,0,0,0,0,2,0.2,1.0,0.0,0.1,49,-426,13690,512,938
314,216,9,0,False,2020-01-11T15:00:00Z,1,2,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-187,13697,559,746
314,228,20,0,True,2020-01-18T15:00:00Z,2,3,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-208,13623,418,626
314,239,7,2,False,2020-01-21T19:30:00Z,0,2,24,83,0,0,1,0,0,0,0,0,0,0,0,13,14.6,38.4,24.0,7.7,49,-151,13529,246,397
314,245,10,1,False,2020-02-01T15:00:00Z,4,0,25,20,0,0,0,2,0,0,0,0,0,0,0,3,0.2,0.6,4.0,0.5,49,-65,13585,409,474
314,259,5,0,True,2020-02-15T12:30:00Z,None,None,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-41,13610,232,273
