element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
328,3,5,2,False,2019-08-10T14:00:00Z,3,0,1,90,0,0,0,3,0,0,0,0,0,0,0,8,8.8,12.6,11.0,3.2,45,0,71666,0,0
328,19,10,1,True,2019-08-17T14:00:00Z,1,2,2,63,0,0,0,1,0,0,0,1,0,0,0,12,16.4,14.4,0.0,3.1,45,1416,81446,7808,6392
328,23,4,3,False,2019-08-24T14:00:00Z,0,2,3,90,0,0,1,0,0,0,0,0,0,0,0,14,5.4,2.9,0.0,0.8,45,-4717,77994,4265,8982
328,39,12,2,True,2019-08-31T11:30:00Z,1,1,4,90,0,0,0,1,0,0,0,0,0,0,0,19,20.8,12.7,8.0,4.2,45,-3027,76790,5243,8270
328,47,15,3,False,2019-09-14T14:00:00Z,0,1,5,90,0,0,1,0,0,0,0,0,0,0,0,18,11.4,2.9,0.0,1.4,45,-70,78363,7289,7359
328,59,3,1,True,2019-09-20T19:00:00Z,1,3,6,90,0,0,0,3,0,0,0,1,0,0,0,23,31.6,34.1,0.0,6.6,45,3990,83714,9154,5164
328,69,17,2,False,2019-09-28T14:00:00Z,2,1,7,90,0,0,0,2,0,0,0,0,0,0,0,10,15.0,5.9,0.0,2.1,45,-2580,81194,4902,7482
328,78,6,2,True,2019-10-06T13:00:00Z,1,4,8,90,0,0,0,4,0,0,0,0,0,0,0,10,13.6,4.8,18.0,3.6,45,-829,80708,4234,5063
328,90,20,2,False,2019-10-19T14:00:00Z,1,1,9,81,0,0,0,1,0,0,0,0,0,0,0,10,10.4,12.3,2.0,2.5,45,-2142,78914,2730,4872
328,98,9,2,True,2019-10-25T19:00:00Z,0,9,10,90,0,0,0,9,0,0,0,0,0,0,0,12,19.0,3.4,0.0,2.2,45,-1675,77446,1322,2997
328,107,11,2,False,2019-11-02T15:00:00Z,2,1,11,90,0,0,0,2,0,0,0,0,0,0,0,10,26.6,2.5,0.0,2.9,45,-3484,74030,1477,4961
328,118,8,2,True,2019-11-09T15:00:00Z,1,2,12,90,0,0,0,2,0,0,0,0,0,0,0,9,11.0,1.5,2.0,1.5,45,-1562,72587,1276,2838
328,121,1,0,False,2019-11-23T15:00:00Z,2,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-1091,71865,2622,3713
328,138,18,0,True,2019-11-30T17:30:00Z,2,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-673,71722,3129,3802
328,150,14,1,True,2019-12-04T19:30:00Z,2,1,15,18,0,0,0,0,0,0,0,0,0,0,0,3,1.4,0.6,0.0,0.2,44,-1464,70275,1408,2872
328,156,13,0,False,2019-12-08T14:00:00Z,2,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-1935,68366,1009,2944
328,169,19,1,True,2019-12-14T17:30:00Z,0,1,17,45,0,0,0,0,0,0,0,0,0,0,0,11,11.4,4.9,0.0,1.6,44,-1968,66580,1204,3172
328,171,2,1,False,2019-12-21T15:00:00Z,1,3,18,14,0,0,0,0,0,0,0,0,0,0,0,2,4.2,0.1,0.0,0.4,44,-2179,63952,676,2855
328,183,6,1,False,2019-12-26T15:00:00Z,0,2,19,4,0,0,0,0,0,0,0,0,0,0,0,2,1.0,0.1,0.0,0.1,43,6829,73511,9628,2799
328,198,7,0,True,2019-12-28T15:00:00Z,1,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,19756,95927,23530,3774
328,208,17,1,True,2020-01-01T15:00:00Z,1,0,21,1,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,43,21142,117112,33425,12283
328,216,9,1,False,2020-01-11T15:00:00Z,1,2,22,1,0,0,0,0,0,0,0,0,0,0,0,3,0.2,0.1,0.0,0.0,43,1635,118696,14819,13184
328,228,20,0,True,2020-01-18T15:00:00Z,2,3,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-548,118845,8569,9117
328,239,7,2,False,2020-01-21T19:30:00Z,0,2,24,69,0,0,1,0,0,0,0,1,0,0,0,9,13.0,23.5,0.0,3.7,43,-2532,117105,4461,6993
328,245,10,2,False,2020-02-01T15:00:00Z,4,0,25,90,0,0,0,4,0,0,0,0,0,0,0,3,3.8,0.9,0.0,0.5,43,-2913,113692,4918,7831
328,259,5,0,True,2020-02-15T12:30:00Z,None,None,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,1224,115550,5731,4507
