element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
331,6,2,2,True,2019-08-10T16:30:00Z,3,1,1,90,0,0,0,1,0,0,0,0,0,0,0,17,17.6,26.5,8.0,5.2,55,0,436313,0,0
331,16,11,1,False,2019-08-17T16:30:00Z,2,2,2,90,0,0,0,2,0,0,0,0,0,0,0,16,31.0,0.1,0.0,3.1,55,-41914,436403,14015,55929
331,28,13,2,True,2019-08-25T15:30:00Z,0,1,3,90,0,0,0,1,0,0,0,0,0,0,0,14,16.2,5.8,0.0,2.2,55,-8544,445596,27173,35717
331,31,1,1,False,2019-09-01T15:30:00Z,2,2,4,90,0,0,0,2,0,0,0,0,0,0,0,13,18.4,0.1,2.0,2.1,55,-34858,415297,10926,45784
331,48,7,10,True,2019-09-14T14:00:00Z,4,0,5,90,0,1,1,0,0,0,0,0,0,0,1,38,39.6,12.8,0.0,5.2,55,-109,426649,31505,31614
331,56,9,1,False,2019-09-21T11:30:00Z,2,1,6,90,0,0,0,2,0,0,0,0,0,0,0,11,22.0,0.3,2.0,2.4,55,37709,474826,51411,13702
331,69,16,2,True,2019-09-28T14:00:00Z,2,1,7,90,0,0,0,1,0,0,0,0,0,0,0,13,23.6,0.3,0.0,2.4,55,14753,494796,39731,24978
331,72,4,1,False,2019-10-05T11:30:00Z,3,0,8,90,0,0,0,3,0,0,0,0,0,0,0,16,29.8,2.0,2.0,3.4,55,-6049,491057,18015,24064
331,89,18,2,True,2019-10-19T14:00:00Z,1,1,9,90,0,0,0,1,0,0,0,0,0,0,0,19,31.8,30.8,0.0,6.3,55,-27074,466316,10280,37354
331,94,10,1,False,2019-10-27T16:30:00Z,2,1,10,90,0,0,0,2,0,0,0,0,0,0,0,12,31.0,10.1,19.0,6.0,55,-36505,429960,1787,38292
331,106,8,2,False,2019-11-03T16:30:00Z,1,1,11,90,0,0,0,1,0,0,0,0,0,0,0,15,13.4,3.2,6.0,2.3,54,-20141,412209,6353,26494
331,119,15,0,True,2019-11-09T15:00:00Z,1,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-7243,410056,9677,16920
331,130,19,1,False,2019-11-23T12:30:00Z,2,3,13,90,0,0,0,2,0,0,0,0,0,0,0,12,14.0,0.1,54.0,6.8,54,-14726,394341,12838,27564
331,139,3,4,True,2019-11-30T15:00:00Z,3,2,14,90,0,1,0,2,0,0,0,0,0,0,0,26,34.0,13.3,0.0,4.7,54,-4004,391840,8765,12769
331,144,12,1,False,2019-12-04T19:30:00Z,2,1,15,90,0,0,0,2,0,0,0,0,0,0,0,15,19.8,17.3,0.0,3.7,54,-3139,389485,5175,8314
331,158,5,6,True,2019-12-07T15:00:00Z,5,0,16,90,0,0,1,0,0,0,0,0,0,0,0,25,13.8,3.1,0.0,1.7,54,45,391050,10311,10266
331,170,20,1,False,2019-12-15T14:00:00Z,1,2,17,90,0,0,0,1,0,0,0,1,0,0,0,12,28.6,0.2,2.0,3.1,54,9300,402604,18573,9273
331,178,6,0,True,2019-12-22T16:30:00Z,0,2,18,90,0,0,0,2,0,0,0,1,0,0,0,14,18.6,0.3,0.0,1.9,54,1824,406824,12385,10561
331,189,4,2,True,2019-12-26T12:30:00Z,2,1,19,90,0,0,0,1,0,0,0,0,0,0,0,15,14.0,14.2,0.0,2.8,54,-744,406903,8672,9416
331,197,14,0,False,2019-12-28T17:30:00Z,2,2,20,90,0,0,0,2,0,0,0,1,0,0,0,14,13.4,14.6,2.0,3.0,54,-5685,401753,4496,10181
331,208,16,2,False,2020-01-01T15:00:00Z,1,0,21,90,0,0,0,1,0,0,0,0,0,0,0,18,27.0,4.3,0.0,3.1,54,-15717,387123,4869,20586
331,219,10,2,True,2020-01-11T17:30:00Z,0,1,22,90,0,0,0,1,0,0,0,0,0,0,0,15,19.6,6.5,6.0,3.2,54,-18957,369319,2645,21602
331,229,18,7,False,2020-01-18T12:30:00Z,0,0,23,90,0,0,1,0,0,0,0,0,0,0,1,27,27.0,10.9,0.0,3.8,53,-7018,363829,4040,11058
331,240,14,2,True,2020-01-22T19:30:00Z,2,1,24,90,0,0,0,1,0,0,0,0,0,0,0,15,19.6,14.3,0.0,3.4,53,3265,369761,9012,5747
331,248,11,5,True,2020-02-02T16:30:00Z,2,0,25,90,0,0,1,0,0,0,0,1,0,0,0,19,23.0,0.1,0.0,2.3,53,-8114,360413,2692,10806
331,252,2,5,False,2020-02-16T14:00:00Z,2,3,26,90,1,0,0,2,1,0,0,0,0,0,0,20,58.8,2.1,17.0,7.8,53,304,361913,4395,4091
331,263,6,1,False,2020-02-22T12:30:00Z,2,1,27,77,0,0,0,2,0,0,0,0,0,0,0,14,18.2,0.1,17.0,3.5,53,-1781,361055,3990,5771
