element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
336,6,2,0,True,2019-08-10T16:30:00Z,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,0,16777,0,0
336,16,11,0,False,2019-08-17T16:30:00Z,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-1704,20218,1785,3489
336,28,13,0,True,2019-08-25T15:30:00Z,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-2590,19516,1556,4146
336,31,1,0,False,2019-09-01T15:30:00Z,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-1117,19855,1844,2961
336,48,7,14,True,2019-09-14T14:00:00Z,4,0,5,90,0,2,1,0,0,0,0,0,0,0,2,44,34.6,28.8,22.0,8.5,49,-107,21239,3090,3197
336,56,9,1,False,2019-09-21T11:30:00Z,2,1,6,90,0,0,0,2,0,0,0,0,0,0,0,7,10.0,26.2,10.0,4.6,49,91905,122511,103253,11348
336,69,16,-2,True,2019-09-28T14:00:00Z,2,1,7,30,0,0,0,1,0,0,0,0,1,0,0,-4,3.8,1.0,0.0,0.5,50,127530,256712,140767,13237
336,72,4,0,False,2019-10-05T11:30:00Z,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-115555,131430,1285,116840
336,89,18,2,True,2019-10-19T14:00:00Z,1,1,9,90,0,0,0,1,0,0,0,0,0,0,0,18,21.4,23.9,20.0,6.5,49,-7814,130134,6732,14546
336,94,10,1,False,2019-10-27T16:30:00Z,2,1,10,83,0,0,0,2,0,0,0,0,0,0,0,7,7.6,14.1,0.0,2.2,49,-14494,115454,1904,16398
336,106,8,9,False,2019-11-03T16:30:00Z,1,1,11,87,0,0,1,0,0,0,0,0,0,0,3,35,23.4,11.7,0.0,3.5,48,-4984,111775,6337,11321
336,119,15,4,True,2019-11-09T15:00:00Z,1,1,12,85,0,0,0,1,0,0,0,0,0,0,2,25,17.4,28.0,11.0,5.6,48,17275,134273,22524,5249
336,130,19,6,False,2019-11-23T12:30:00Z,2,3,13,90,0,1,0,2,0,0,0,0,0,0,2,36,41.4,26.3,0.0,6.8,48,24067,158569,33107,9040
336,139,3,1,True,2019-11-30T15:00:00Z,3,2,14,90,0,0,0,2,0,0,0,0,0,0,0,16,21.6,28.5,6.0,5.6,49,145650,313276,151072,5422
336,144,12,5,False,2019-12-04T19:30:00Z,2,1,15,90,0,1,0,2,0,0,0,0,0,0,1,28,29.8,6.7,34.0,7.1,49,9936,317079,26887,16951
336,158,5,6,True,2019-12-07T15:00:00Z,5,0,16,79,0,0,1,0,0,0,0,0,0,0,0,22,10.2,2.6,4.0,1.7,50,97299,422618,104441,7142
336,170,20,2,False,2019-12-15T14:00:00Z,1,2,17,90,0,0,0,1,0,0,0,0,0,0,0,16,19.6,1.4,2.0,2.3,50,87945,513703,104515,16570
336,178,6,1,True,2019-12-22T16:30:00Z,0,2,18,90,0,0,0,2,0,0,0,0,0,0,0,18,29.6,17.6,4.0,5.1,51,48638,561620,67046,18408
336,189,4,5,True,2019-12-26T12:30:00Z,2,1,19,90,0,1,0,1,0,0,0,0,0,0,0,23,31.2,12.8,8.0,5.2,51,40676,609703,60338,19662
336,197,14,-1,False,2019-12-28T17:30:00Z,2,2,20,90,0,0,0,2,1,0,0,0,0,0,0,13,16.4,3.2,2.0,2.2,51,29733,641210,47969,18236
336,208,16,1,False,2020-01-01T15:00:00Z,1,0,21,90,0,0,0,1,0,0,0,1,0,0,0,22,33.4,17.6,0.0,5.1,51,-57560,582835,24348,81908
336,219,10,2,True,2020-01-11T17:30:00Z,0,1,22,90,0,0,0,1,0,0,0,0,0,0,0,20,24.4,40.3,19.0,8.4,51,-124953,458503,7336,132289
