element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
33,6,17,0,False,2019-08-10T16:30:00Z,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,9062,0,0
33,12,3,0,True,2019-08-17T14:00:00Z,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-2228,6899,125,2353
33,21,8,0,True,2019-08-23T19:00:00Z,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-1245,5737,67,1312
33,34,7,0,False,2019-08-31T14:00:00Z,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-942,4839,56,998
33,41,19,0,True,2019-09-16T19:00:00Z,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-651,4212,48,699
33,51,1,0,False,2019-09-22T15:30:00Z,3,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-347,3895,23,370
33,61,5,0,True,2019-09-28T14:00:00Z,2,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-281,3627,53,334
33,77,14,0,False,2019-10-05T14:00:00Z,1,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-227,3406,15,242
33,81,4,0,True,2019-10-19T14:00:00Z,2,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-216,3198,21,237
33,95,11,0,False,2019-10-26T11:30:00Z,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-89,3112,11,100
33,102,10,0,True,2019-11-02T15:00:00Z,1,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-108,3001,23,131
33,120,20,0,False,2019-11-10T14:00:00Z,2,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-64,2944,19,83
33,122,13,0,True,2019-11-25T20:00:00Z,2,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-96,2853,19,115
33,135,12,0,False,2019-12-01T16:30:00Z,2,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-65,2792,14,79
33,147,6,0,False,2019-12-04T19:30:00Z,2,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-36,2757,17,53
33,151,9,0,True,2019-12-08T14:00:00Z,1,4,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-52,2703,2,54
33,168,15,0,False,2019-12-14T15:00:00Z,2,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-10,2698,61,71
33,171,16,0,True,2019-12-21T15:00:00Z,1,3,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-81,2613,18,99
33,181,14,0,True,2019-12-26T15:00:00Z,1,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-24,2600,35,59
33,199,18,0,False,2019-12-28T15:00:00Z,3,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-26,2572,7,33
33,203,5,0,False,2020-01-01T12:30:00Z,1,2,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-43,2528,15,58
33,211,11,0,True,2020-01-12T16:30:00Z,1,6,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-49,2484,15,64
33,222,4,0,False,2020-01-18T15:00:00Z,1,1,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-41,2442,15,56
33,231,18,0,True,2020-01-21T19:30:00Z,2,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-13,2424,11,24
33,241,3,0,False,2020-02-01T15:00:00Z,2,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-30,2404,12,42
33,252,17,0,True,2020-02-16T14:00:00Z,None,None,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-14,2391,4,18
