element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
344,6,2,0,True,2019-08-10T16:30:00Z,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,85,0,38989,0,0
344,16,11,0,False,2019-08-17T16:30:00Z,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,85,-13699,26235,382,14081
344,28,13,0,True,2019-08-25T15:30:00Z,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,84,-5067,22013,228,5295
344,31,1,1,False,2019-09-01T15:30:00Z,2,2,4,30,0,0,0,1,0,0,0,0,0,0,0,3,2.2,0.9,0.0,0.3,84,-1603,20998,696,2299
344,48,7,0,True,2019-09-14T14:00:00Z,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,84,2663,26689,4319,1656
344,56,9,0,False,2019-09-21T11:30:00Z,2,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,84,2,28478,2329,2327
344,69,16,0,True,2019-09-28T14:00:00Z,2,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,84,-1023,29279,2134,3157
344,72,4,0,False,2019-10-05T11:30:00Z,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,84,-1128,29512,1502,2630
344,89,18,7,True,2019-10-19T14:00:00Z,1,1,9,90,1,0,0,1,0,0,0,1,0,0,1,24,46.0,27.7,40.0,11.4,84,-441,30797,1748,2189
344,94,10,2,False,2019-10-27T16:30:00Z,2,1,10,90,0,0,0,2,0,0,0,0,0,0,0,4,10.4,2.3,13.0,2.6,84,1783,33781,2836,1053
344,106,8,9,False,2019-11-03T16:30:00Z,1,1,11,90,1,0,0,1,0,0,0,0,0,0,2,29,41.2,17.4,17.0,7.6,84,123,35270,2098,1975
344,119,15,3,True,2019-11-09T15:00:00Z,1,1,12,71,0,0,1,0,0,0,0,0,0,0,0,11,18.8,26.3,0.0,4.5,84,22951,63463,26149,3198
344,130,19,5,False,2019-11-23T12:30:00Z,2,3,13,78,0,1,0,1,0,0,0,0,0,0,0,20,23.8,24.3,4.0,5.2,84,8033,72561,17923,9890
344,139,3,15,True,2019-11-30T15:00:00Z,3,2,14,90,2,0,0,1,0,0,0,0,0,0,3,50,80.6,15.9,69.0,16.6,84,45083,121017,51188,6105
344,144,12,9,False,2019-12-04T19:30:00Z,2,1,15,90,1,0,0,2,0,0,0,0,0,0,2,29,44.2,23.6,56.0,12.4,85,200863,328786,205711,4848
344,158,5,9,True,2019-12-07T15:00:00Z,5,0,16,84,0,2,1,0,0,0,0,0,0,0,0,28,40.6,24.1,15.0,8.0,86,380016,720355,385853,5837
344,170,20,2,False,2019-12-15T14:00:00Z,1,2,17,90,0,0,0,1,0,0,0,0,0,0,0,10,13.6,14.8,22.0,5.0,87,178598,902353,207095,28497
344,178,6,1,True,2019-12-22T16:30:00Z,0,2,18,90,0,0,0,2,0,0,0,1,0,0,0,8,5.8,3.1,0.0,0.9,88,75457,999231,129261,53804
344,189,4,8,True,2019-12-26T12:30:00Z,2,1,19,90,1,0,0,1,0,0,0,0,0,0,1,28,43.4,14.3,38.0,9.6,89,185261,1172720,258315,73054
344,197,14,2,False,2019-12-28T17:30:00Z,2,2,20,90,0,0,0,2,0,0,0,0,0,0,0,6,7.4,28.6,49.0,8.5,89,-42864,1124433,86454,129318
344,208,16,2,False,2020-01-01T15:00:00Z,1,0,21,90,0,0,0,1,0,0,0,0,0,0,0,1,4.2,13.2,31.0,4.8,89,-60019,1071814,71855,131874
344,219,10,2,True,2020-01-11T17:30:00Z,0,1,22,90,0,0,0,1,0,0,0,0,0,0,0,8,7.6,12.1,10.0,3.0,87,-364058,708220,15633,379691
344,229,18,3,False,2020-01-18T12:30:00Z,0,0,23,72,0,0,1,0,0,0,0,0,0,0,0,10,13.2,26.7,11.0,5.1,86,-166177,545886,24267,190444
344,240,14,13,True,2020-01-22T19:30:00Z,2,1,24,90,1,1,0,1,0,0,0,0,0,0,3,34,38.6,5.8,74.0,11.8,85,-100614,439986,17376,117990
344,248,11,3,True,2020-02-02T16:30:00Z,2,0,25,69,0,0,1,0,0,0,0,0,0,0,0,5,3.4,0.6,4.0,0.8,85,-2987,448692,50985,53972
344,252,2,2,False,2020-02-16T14:00:00Z,2,3,26,82,0,0,0,2,0,0,0,0,0,0,0,-8,6.0,13.2,67.0,8.6,85,-37873,411217,22171,60044
344,263,6,1,False,2020-02-22T12:30:00Z,2,1,27,12,0,0,0,0,0,0,0,0,0,0,0,3,0.2,0.7,0.0,0.1,84,-29399,384701,35558,64957
