element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
345,6,2,5,True,2019-08-10T16:30:00Z,3,1,1,90,0,1,0,1,0,0,0,0,0,0,0,19,24.4,39.4,32.0,9.6,75,0,608669,0,0
345,16,11,6,False,2019-08-17T16:30:00Z,2,2,2,34,1,0,0,0,0,0,0,0,0,0,0,23,35.2,0.1,66.0,10.1,75,-54503,620126,53134,107637
345,28,13,2,True,2019-08-25T15:30:00Z,0,1,3,90,0,0,0,1,0,0,0,0,0,0,0,3,0.0,5.8,25.0,2.7,75,11230,663307,106083,94853
345,31,1,0,False,2019-09-01T15:30:00Z,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,75,-82722,587964,44577,127299
345,48,7,1,True,2019-09-14T14:00:00Z,4,0,5,5,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.1,0.0,0.0,74,-121631,473857,18379,140010
345,56,9,1,False,2019-09-21T11:30:00Z,2,1,6,4,0,0,0,0,0,0,0,0,0,0,0,2,2.2,1.7,2.0,0.6,73,-88926,390852,8944,97870
345,69,16,0,True,2019-09-28T14:00:00Z,2,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,72,-63015,331827,9597,72612
345,72,4,1,False,2019-10-05T11:30:00Z,3,0,8,17,0,0,0,0,0,0,0,0,0,0,0,5,10.4,11.4,26.0,4.8,72,-39874,294491,5513,45387
345,89,18,2,True,2019-10-19T14:00:00Z,1,1,9,62,0,0,0,1,0,0,0,0,0,0,0,7,3.8,14.6,24.0,4.2,71,-21166,275711,4236,25402
345,94,10,1,False,2019-10-27T16:30:00Z,2,1,10,6,0,0,0,0,0,0,0,0,0,0,0,3,2.0,0.3,0.0,0.2,71,-11951,264739,920,12871
345,106,8,2,False,2019-11-03T16:30:00Z,1,1,11,90,0,0,0,1,0,0,0,0,0,0,0,3,13.6,3.1,11.0,2.8,71,-15152,250421,1085,16237
345,119,15,1,True,2019-11-09T15:00:00Z,1,1,12,4,0,0,0,0,0,0,0,0,0,0,0,6,6.2,0.6,15.0,2.2,70,-14,252142,8169,8183
345,130,19,7,False,2019-11-23T12:30:00Z,2,3,13,81,1,0,0,1,0,0,0,0,0,0,0,17,39.4,14.3,41.0,9.5,70,-4151,248810,8251,12402
345,139,3,1,True,2019-11-30T15:00:00Z,3,2,14,16,0,0,0,1,0,0,0,0,0,0,0,4,9.4,0.1,0.0,1.0,70,61233,313702,66478,5245
345,144,12,2,False,2019-12-04T19:30:00Z,2,1,15,63,0,0,0,2,0,0,0,0,0,0,0,6,8.0,15.2,0.0,2.3,70,-19474,292078,6715,26189
345,158,5,8,True,2019-12-07T15:00:00Z,5,0,16,74,1,0,1,0,0,0,0,0,0,0,0,32,46.4,15.5,33.0,9.5,70,-10734,282484,10731,21465
345,170,20,8,False,2019-12-15T14:00:00Z,1,2,17,88,1,0,0,1,0,0,0,0,0,0,1,24,51.2,47.3,43.0,14.2,70,13953,298523,25269,11316
345,178,6,2,True,2019-12-22T16:30:00Z,0,2,18,73,0,0,0,2,0,0,0,0,0,0,0,2,6.0,1.1,2.0,0.9,71,56021,363375,64509,8488
345,189,4,1,True,2019-12-26T12:30:00Z,2,1,19,75,0,0,0,1,0,0,0,1,0,0,0,2,11.6,7.8,21.0,4.0,71,76842,437887,91821,14979
345,197,14,3,False,2019-12-28T17:30:00Z,2,2,20,45,0,1,0,1,0,0,0,1,0,0,0,7,4.4,14.3,10.0,2.9,71,15870,454098,45683,29813
345,208,16,2,False,2020-01-01T15:00:00Z,1,0,21,90,0,0,0,1,0,0,0,0,0,0,0,4,16.2,2.7,41.0,6.0,72,-39974,414068,15650,55624
345,219,10,2,True,2020-01-11T17:30:00Z,0,1,22,90,0,0,0,1,0,0,0,0,0,0,0,4,8.0,31.9,32.0,7.2,71,-59274,355868,10184,69458
345,229,18,3,False,2020-01-18T12:30:00Z,0,0,23,90,0,0,1,0,0,0,0,0,0,0,0,10,13.0,23.4,43.0,7.9,71,11688,370134,40705,29017
345,240,14,2,True,2020-01-22T19:30:00Z,2,1,24,90,0,0,0,1,0,0,0,0,0,0,0,3,3.0,26.8,20.0,5.0,71,7422,380314,30837,23415
345,248,11,6,True,2020-02-02T16:30:00Z,2,0,25,83,0,1,1,0,0,0,0,0,0,0,0,17,22.6,11.0,2.0,3.6,71,-29399,348722,8683,38082
345,252,2,2,False,2020-02-16T14:00:00Z,2,3,26,90,0,0,0,2,0,0,0,0,0,0,0,20,16.8,40.8,42.0,10.0,71,15706,366556,29029,13323
345,263,6,2,False,2020-02-22T12:30:00Z,2,1,27,90,0,0,0,2,0,0,0,0,0,0,0,4,6.8,5.4,29.0,4.1,71,3540,370763,27818,24278
