element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
349,6,2,5,True,2019-08-10T16:30:00Z,3,1,1,90,0,1,0,1,0,0,0,0,0,0,0,13,17.8,20.3,51.0,8.9,50,0,84388,0,0
349,16,11,2,False,2019-08-17T16:30:00Z,2,2,2,90,0,0,0,2,0,0,0,0,0,0,0,12,6.8,1.7,0.0,0.9,50,35917,166942,56870,20953
349,28,13,2,True,2019-08-25T15:30:00Z,0,1,3,90,0,0,0,1,0,0,0,0,0,0,0,25,22.8,50.0,6.0,7.9,50,420,172607,25575,25155
349,31,1,2,False,2019-09-01T15:30:00Z,2,2,4,90,0,0,0,2,0,0,0,0,0,0,0,7,3.8,3.8,10.0,1.8,50,-7071,171051,18570,25641
349,48,7,3,True,2019-09-14T14:00:00Z,4,0,5,90,0,0,1,0,0,0,0,0,0,0,0,9,0.0,5.9,0.0,0.4,50,-4230,171727,16831,21061
349,56,9,2,False,2019-09-21T11:30:00Z,2,1,6,66,0,0,1,0,0,0,0,1,0,0,0,10,1.2,1.5,0.0,0.3,50,-7768,165684,7372,15140
349,69,16,2,True,2019-09-28T14:00:00Z,2,1,7,90,0,0,0,1,0,0,0,0,0,0,0,10,15.0,3.3,0.0,1.8,50,-12543,154373,4718,17261
349,72,4,2,False,2019-10-05T11:30:00Z,3,0,8,90,0,0,0,3,0,0,0,0,0,0,0,12,11.0,4.5,4.0,2.0,50,-9683,145917,3545,13228
349,89,18,1,True,2019-10-19T14:00:00Z,1,1,9,90,0,0,0,1,0,0,0,1,0,0,0,14,7.8,18.0,1.0,2.7,50,-9361,137742,2258,11619
349,94,10,1,False,2019-10-27T16:30:00Z,2,1,10,90,0,0,0,2,0,0,0,1,0,0,0,9,6.2,4.4,0.0,1.1,49,-6622,131895,1407,8029
349,106,8,2,False,2019-11-03T16:30:00Z,1,1,11,90,0,0,0,1,0,0,0,0,0,0,0,14,6.0,1.4,0.0,0.7,49,-4736,128284,4257,8993
349,119,15,2,True,2019-11-09T15:00:00Z,1,1,12,90,0,0,0,1,0,0,0,0,0,0,0,14,12.8,13.9,4.0,3.1,49,-2218,126781,3363,5581
349,130,19,1,False,2019-11-23T12:30:00Z,2,3,13,8,0,0,0,1,0,0,0,0,0,0,0,2,3.0,0.0,0.0,0.3,49,-981,126925,5800,6781
349,139,3,7,True,2019-11-30T15:00:00Z,3,2,14,90,1,0,0,2,0,0,0,0,0,0,0,36,40.0,16.3,47.0,10.3,49,-5589,121436,1702,7291
349,144,12,2,False,2019-12-04T19:30:00Z,2,1,15,84,0,0,0,2,0,0,0,0,0,0,0,16,4.2,2.4,0.0,0.7,49,4383,126830,6608,2225
349,158,5,8,True,2019-12-07T15:00:00Z,5,0,16,90,1,0,1,0,0,0,0,0,0,0,0,24,35.2,1.6,21.0,5.8,49,72,127204,4267,4195
349,170,20,2,False,2019-12-15T14:00:00Z,1,2,17,90,0,0,0,1,0,0,0,0,0,0,0,20,17.8,12.4,0.0,3.0,49,25305,155202,29281,3976
349,178,6,1,True,2019-12-22T16:30:00Z,0,2,18,90,0,0,0,2,0,0,0,1,0,0,0,10,10.6,13.8,2.0,2.6,49,6967,161480,14174,7207
349,189,4,1,True,2019-12-26T12:30:00Z,2,1,19,90,0,0,0,1,0,0,0,1,0,0,0,10,15.4,25.0,21.0,6.1,49,2146,165237,10014,7868
349,197,14,0,False,2019-12-28T17:30:00Z,2,2,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-20984,143808,584,21568
349,208,16,1,False,2020-01-01T15:00:00Z,1,0,21,90,0,0,0,1,0,0,0,1,0,0,0,5,5.4,1.7,0.0,0.7,49,-6076,138862,4077,10153
349,219,10,0,True,2020-01-11T17:30:00Z,0,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-17183,121904,1042,18225
349,229,18,0,False,2020-01-18T12:30:00Z,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-14604,107367,44,14648
349,240,14,0,True,2020-01-22T19:30:00Z,2,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-5063,102474,30,5093
349,248,11,0,True,2020-02-02T16:30:00Z,2,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,-5049,97582,29,5078
349,252,2,0,False,2020-02-16T14:00:00Z,None,None,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,-2233,95504,21,2254
