element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
34,6,17,0,False,2019-08-10T16:30:00Z,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,18904,0,0
34,12,3,1,True,2019-08-17T14:00:00Z,1,2,2,3,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.3,0.0,0.0,45,9,23918,3071,3062
34,21,8,0,True,2019-08-23T19:00:00Z,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-1322,23596,1673,2995
34,34,7,1,False,2019-08-31T14:00:00Z,1,0,4,31,0,0,0,1,0,0,0,0,0,0,0,7,8.0,11.3,0.0,1.9,45,-1607,22783,1338,2945
34,41,19,1,True,2019-09-16T19:00:00Z,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.5,4.0,0.3,45,-596,23010,1588,2184
34,51,1,0,False,2019-09-22T15:30:00Z,3,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-507,22887,931,1438
34,61,5,1,True,2019-09-28T14:00:00Z,2,2,7,2,0,0,0,0,0,0,0,0,0,0,0,2,1.2,10.1,0.0,1.1,45,-865,22293,786,1651
34,77,14,0,False,2019-10-05T14:00:00Z,1,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-664,21844,569,1233
34,81,4,1,True,2019-10-19T14:00:00Z,2,1,9,14,0,0,0,0,0,0,0,0,0,0,0,4,4.2,0.5,17.0,2.2,44,-92,22235,1179,1271
34,95,11,1,False,2019-10-26T11:30:00Z,3,0,10,19,0,0,0,0,0,0,0,0,0,0,0,-1,1.0,0.6,25.0,2.7,44,115,22502,901,786
34,102,10,0,True,2019-11-02T15:00:00Z,1,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-848,21833,913,1761
34,120,20,0,False,2019-11-10T14:00:00Z,2,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-1694,20087,85,1779
34,122,13,0,True,2019-11-25T20:00:00Z,2,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-1410,18705,110,1520
34,135,12,0,False,2019-12-01T16:30:00Z,2,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-825,17920,72,897
34,147,6,0,False,2019-12-04T19:30:00Z,2,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-505,17441,60,565
34,151,9,0,True,2019-12-08T14:00:00Z,1,4,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-570,16882,26,596
34,168,15,0,False,2019-12-14T15:00:00Z,2,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,877,18150,1712,835
34,171,16,0,True,2019-12-21T15:00:00Z,1,3,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-16,18207,1312,1328
34,181,14,0,True,2019-12-26T15:00:00Z,1,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,351,18453,1030,679
34,199,18,0,False,2019-12-28T15:00:00Z,3,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-63,18392,433,496
34,203,5,0,False,2020-01-01T12:30:00Z,1,2,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-382,18027,507,889
34,211,11,0,True,2020-01-12T16:30:00Z,1,6,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-612,17436,326,938
34,222,4,0,False,2020-01-18T15:00:00Z,1,1,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-320,17143,393,713
34,231,18,0,True,2020-01-21T19:30:00Z,2,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-228,16928,282,510
34,241,3,4,False,2020-02-01T15:00:00Z,2,1,25,32,0,1,0,0,0,0,0,0,0,0,0,13,4.4,2.6,41.0,4.8,43,-293,16737,373,666
34,252,17,0,True,2020-02-16T14:00:00Z,None,None,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,177,17005,639,462
