element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
354,7,4,0,True,2019-08-10T14:00:00Z,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,13634,0,0
354,15,8,0,False,2019-08-17T14:00:00Z,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-1858,13492,227,2085
354,29,19,0,True,2019-08-24T14:00:00Z,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-1512,12470,225,1737
354,38,13,2,False,2019-08-31T14:00:00Z,1,1,4,90,0,0,0,1,0,0,0,0,0,0,0,14,19.8,0.0,0.0,2.0,44,-1002,11802,262,1264
354,49,1,1,True,2019-09-15T15:30:00Z,2,2,5,90,0,0,0,2,0,0,0,0,0,0,0,7,7.2,0.0,8.0,1.5,44,-244,11964,577,821
354,57,11,0,False,2019-09-21T14:00:00Z,8,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-116,12018,416,532
354,70,20,0,False,2019-09-28T14:00:00Z,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-606,11516,148,754
354,79,15,7,True,2019-10-05T14:00:00Z,0,0,8,90,0,0,1,0,0,0,0,0,0,0,1,28,30.2,0.3,2.0,3.3,43,-419,11224,200,619
354,89,17,2,False,2019-10-19T14:00:00Z,1,1,9,90,0,0,0,1,0,0,0,0,0,0,0,16,40.8,0.2,0.0,4.1,43,422,11921,830,408
354,99,3,6,True,2019-10-26T14:00:00Z,0,0,10,90,0,0,1,0,0,0,0,0,0,0,0,23,24.2,0.6,0.0,2.5,43,817,13004,1218,401
354,109,6,0,True,2019-11-02T17:30:00Z,1,2,11,90,0,0,0,2,0,0,0,1,0,0,0,10,14.0,0.8,0.0,1.5,43,919,14119,1549,630
354,117,14,3,False,2019-11-08T20:00:00Z,0,2,12,64,0,0,1,0,0,0,0,0,1,0,0,13,10.8,0.4,0.0,1.1,43,260,14579,990,730
354,129,5,0,True,2019-11-23T15:00:00Z,0,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-1802,12591,103,1905
354,138,16,0,False,2019-11-30T17:30:00Z,2,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-397,12307,321,718
354,143,9,0,False,2019-12-04T19:30:00Z,2,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-532,11795,21,553
354,159,7,6,True,2019-12-07T15:00:00Z,0,0,16,90,0,0,1,0,0,0,0,0,0,0,0,21,15.0,0.3,8.0,2.3,43,-237,11613,182,419
354,166,10,1,False,2019-12-14T12:30:00Z,2,0,17,90,0,0,0,2,0,0,0,0,0,0,0,20,28.8,0.0,0.0,2.9,43,252,12026,578,326
354,179,12,11,True,2019-12-22T14:00:00Z,2,0,18,90,0,1,1,0,0,0,0,0,0,0,2,30,22.2,10.3,2.0,3.5,43,814,13320,1142,328
354,188,15,2,False,2019-12-26T15:00:00Z,1,1,19,90,0,0,0,1,0,0,0,0,0,0,0,14,22.4,0.1,0.0,2.3,43,6884,20604,7504,620
354,199,2,6,True,2019-12-28T15:00:00Z,3,0,20,90,0,0,1,0,0,0,0,0,0,0,0,24,25.6,0.2,17.0,4.3,43,6540,27783,7584,1044
354,209,20,-1,True,2020-01-01T15:00:00Z,2,1,21,70,0,0,0,1,0,0,0,0,1,0,0,0,1.0,0.1,0.0,0.1,43,23386,51703,28935,5549
354,212,3,0,False,2020-01-12T14:00:00Z,0,3,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-11964,39007,2179,14143
354,229,17,0,True,2020-01-18T12:30:00Z,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-1141,38360,2816,3957
354,231,2,1,False,2020-01-21T19:30:00Z,2,1,24,1,0,0,0,1,0,0,0,0,0,0,0,3,1.0,0.0,0.0,0.1,43,-2030,36226,1816,3846
354,249,8,1,True,2020-02-01T15:00:00Z,2,3,25,90,0,0,0,3,0,0,0,0,0,0,0,9,12.0,0.1,7.0,1.9,43,-1840,34690,1545,3385
354,253,4,2,False,2020-02-08T17:30:00Z,1,1,26,90,0,0,0,1,0,0,0,0,0,0,0,9,11.6,0.1,0.0,1.2,43,-1043,33843,937,1980
