element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
356,7,4,0,True,2019-08-10T14:00:00Z,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,15852,0,0
356,15,8,0,False,2019-08-17T14:00:00Z,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-1993,15037,102,2095
356,29,19,0,True,2019-08-24T14:00:00Z,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-1752,13617,132,1884
356,38,13,0,False,2019-08-31T14:00:00Z,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-1158,12689,156,1314
356,49,1,0,True,2019-09-15T15:30:00Z,2,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-930,11976,181,1111
356,57,11,-2,False,2019-09-21T14:00:00Z,8,0,6,90,0,0,0,8,0,0,0,0,0,0,0,18,13.0,0.0,0.0,1.3,44,-497,11622,82,579
356,70,20,0,False,2019-09-28T14:00:00Z,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-459,11336,333,792
356,79,15,0,True,2019-10-05T14:00:00Z,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-411,11059,137,548
356,89,17,0,False,2019-10-19T14:00:00Z,1,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-416,10792,77,493
356,99,3,0,True,2019-10-26T14:00:00Z,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-262,10593,64,326
356,109,6,1,True,2019-11-02T17:30:00Z,1,2,11,70,0,0,0,1,0,0,0,1,0,0,0,5,8.2,0.4,4.0,1.3,43,-295,10416,118,413
356,117,14,1,False,2019-11-08T20:00:00Z,0,2,12,20,0,0,0,0,0,0,0,0,0,0,0,5,7.2,0.0,0.0,0.7,42,-173,10360,143,316
356,129,5,1,True,2019-11-23T15:00:00Z,0,3,13,90,0,0,0,3,0,0,0,0,0,0,0,12,16.0,0.9,18.0,3.5,42,68,10568,457,389
356,138,16,1,False,2019-11-30T17:30:00Z,2,1,14,90,0,0,0,2,0,0,0,0,0,0,0,11,13.4,0.0,2.0,1.5,42,5,10630,331,326
356,143,9,1,False,2019-12-04T19:30:00Z,2,0,15,90,0,0,0,2,0,0,0,0,0,0,0,11,13.2,0.0,2.0,1.5,42,27,10670,243,216
356,159,7,0,True,2019-12-07T15:00:00Z,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,42,31,10751,312,281
356,166,10,1,False,2019-12-14T12:30:00Z,2,0,17,90,0,0,0,2,0,0,0,0,0,0,0,8,10.0,0.3,0.0,1.0,42,-173,10609,232,405
356,179,12,6,True,2019-12-22T14:00:00Z,2,0,18,90,0,0,1,0,0,0,0,0,0,0,0,26,19.0,18.9,2.0,4.0,42,310,11206,585,275
356,188,15,2,False,2019-12-26T15:00:00Z,1,1,19,90,0,0,0,1,0,0,0,0,0,0,0,9,13.4,0.6,0.0,1.4,42,961,12191,1229,268
356,199,2,-2,True,2019-12-28T15:00:00Z,3,0,20,56,0,0,0,0,0,0,0,0,1,0,0,-9,0.0,2.5,4.0,0.1,42,819,13105,1103,284
356,209,20,0,True,2020-01-01T15:00:00Z,2,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,42,-1657,11316,141,1798
356,212,3,7,False,2020-01-12T14:00:00Z,0,3,22,90,0,0,1,0,0,0,0,0,0,0,1,30,25.0,28.9,0.0,5.4,42,933,12433,1591,658
356,229,17,6,True,2020-01-18T12:30:00Z,0,0,23,90,0,0,1,0,0,0,0,0,0,0,0,21,12.0,1.8,0.0,1.4,42,4263,17114,5857,1594
356,231,2,1,False,2020-01-21T19:30:00Z,2,1,24,90,0,0,0,2,0,0,0,0,0,0,0,15,33.6,14.7,0.0,4.8,42,7040,25754,8462,1422
356,249,8,1,True,2020-02-01T15:00:00Z,2,3,25,90,0,0,0,3,0,0,0,0,0,0,0,9,6.2,1.3,0.0,0.8,42,2836,27372,5251,2415
356,253,4,-1,False,2020-02-08T17:30:00Z,1,1,26,90,0,0,0,1,1,0,0,1,0,0,0,-3,0.0,1.4,0.0,0.0,42,911,28311,2584,1673
