element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
357,7,4,1,True,2019-08-10T14:00:00Z,0,3,1,90,0,0,0,3,0,0,0,0,0,0,0,16,17.2,34.9,7.0,5.9,45,0,49998,0,0
357,15,8,2,False,2019-08-17T14:00:00Z,1,0,2,90,0,0,0,1,0,0,0,0,0,0,0,7,19.4,1.9,8.0,2.9,45,-4565,47141,941,5506
357,29,19,1,True,2019-08-24T14:00:00Z,1,3,3,90,0,0,0,3,0,0,0,0,0,0,0,13,15.0,30.5,0.0,4.6,45,-4378,43787,2626,7004
357,38,13,2,False,2019-08-31T14:00:00Z,1,1,4,90,0,0,0,1,0,0,0,0,0,0,0,10,4.2,16.3,1.0,2.2,45,-4941,39302,1208,6149
357,49,1,0,True,2019-09-15T15:30:00Z,2,2,5,90,0,0,0,2,0,0,0,1,0,0,0,14,17.2,38.7,9.0,6.5,44,-1978,38264,4476,6454
357,57,11,-3,False,2019-09-21T14:00:00Z,8,0,6,90,0,0,0,8,0,0,0,1,0,0,0,5,6.0,1.7,0.0,0.8,44,-1745,36590,2048,3793
357,70,20,0,False,2019-09-28T14:00:00Z,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-4646,32007,505,5151
357,79,15,0,True,2019-10-05T14:00:00Z,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-2388,29864,645,3033
357,89,17,0,False,2019-10-19T14:00:00Z,1,1,9,19,0,0,0,1,0,0,0,1,0,0,0,-1,4.0,0.1,0.0,0.4,43,-2842,27046,126,2968
357,99,3,0,True,2019-10-26T14:00:00Z,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-1575,25590,111,1686
357,109,6,1,True,2019-11-02T17:30:00Z,1,2,11,15,0,0,0,0,0,0,0,0,0,0,0,7,7.8,14.8,0.0,2.3,42,-1482,24237,553,2035
357,117,14,0,False,2019-11-08T20:00:00Z,0,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,42,-576,23825,651,1227
357,129,5,1,True,2019-11-23T15:00:00Z,0,3,13,90,0,0,0,3,0,0,0,0,0,0,0,13,12.0,8.0,6.0,2.6,42,-1040,22831,481,1521
357,138,16,2,False,2019-11-30T17:30:00Z,2,1,14,81,0,0,0,1,0,0,0,0,0,0,0,16,19.2,5.3,0.0,2.5,42,-450,22459,476,926
357,143,9,1,False,2019-12-04T19:30:00Z,2,0,15,90,0,0,0,2,0,0,0,0,0,0,0,13,26.0,13.4,0.0,3.9,42,-778,21656,107,885
357,159,7,5,True,2019-12-07T15:00:00Z,0,0,16,90,0,0,1,0,0,0,0,1,0,0,0,25,12.8,19.5,0.0,3.2,42,45,21840,778,733
357,166,10,1,False,2019-12-14T12:30:00Z,2,0,17,90,0,0,0,2,0,0,0,0,0,0,0,22,22.8,1.7,0.0,2.5,42,4147,26615,5297,1150
357,179,12,6,True,2019-12-22T14:00:00Z,2,0,18,90,0,0,1,0,0,0,0,0,0,0,0,27,15.6,17.8,7.0,4.0,42,4156,31846,5487,1331
357,188,15,2,False,2019-12-26T15:00:00Z,1,1,19,90,0,0,0,1,0,0,0,0,0,0,0,14,12.8,1.8,0.0,1.5,42,9568,41218,10982,1414
357,199,2,6,True,2019-12-28T15:00:00Z,3,0,20,90,0,0,1,0,0,0,0,0,0,0,0,24,5.2,2.0,0.0,0.7,42,6996,48542,8920,1924
357,209,20,1,True,2020-01-01T15:00:00Z,2,1,21,59,0,0,0,0,0,0,0,0,0,0,0,6,5.4,5.9,2.0,1.3,42,18806,67853,25035,6229
357,212,3,0,False,2020-01-12T14:00:00Z,0,3,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,42,-9201,58110,4283,13484
357,229,17,0,True,2020-01-18T12:30:00Z,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,42,-12958,45150,190,13148
357,231,2,0,False,2020-01-21T19:30:00Z,2,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,42,-6321,38441,44,6365
357,249,8,0,True,2020-02-01T15:00:00Z,2,3,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,42,-4648,34390,51,4699
357,253,4,0,False,2020-02-08T17:30:00Z,1,1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,42,-2909,31577,20,2929
357,267,12,0,False,2020-02-23T14:00:00Z,None,None,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,42,-1922,29717,52,1974
