element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
368,7,4,0,True,2019-08-10T14:00:00Z,0,3,1,90,0,0,0,3,1,0,0,0,0,0,0,7,4.4,23.1,2.0,3.0,60,0,200815,0,0
368,15,8,2,False,2019-08-17T14:00:00Z,1,0,2,90,0,0,0,1,0,0,0,0,0,0,0,7,12.6,12.2,6.0,3.1,60,-36607,168267,2294,38901
368,29,19,2,True,2019-08-24T14:00:00Z,1,3,3,90,0,0,0,3,0,0,0,0,0,0,0,13,17.8,46.5,61.0,12.5,59,-41090,128926,1370,42460
368,38,13,1,False,2019-08-31T14:00:00Z,1,1,4,70,0,0,0,1,0,0,0,1,0,0,0,9,7.4,3.7,22.0,3.3,59,-25500,104908,1172,26672
368,49,1,2,True,2019-09-15T15:30:00Z,2,2,5,90,0,0,0,2,0,0,0,0,0,0,0,14,20.2,39.8,33.0,9.3,58,-17148,88756,701,17849
368,57,11,2,False,2019-09-21T14:00:00Z,8,0,6,90,0,0,0,8,0,0,0,0,0,0,0,8,4.8,1.0,0.0,0.6,58,-7846,81821,1080,8926
368,70,20,2,False,2019-09-28T14:00:00Z,2,0,7,90,0,0,0,2,0,0,0,0,0,0,0,16,16.6,5.3,9.0,3.1,57,-8077,74127,670,8747
368,79,15,3,True,2019-10-05T14:00:00Z,0,0,8,90,0,0,1,0,0,0,0,0,0,0,0,9,12.8,7.5,13.0,3.3,57,-4812,69647,796,5608
368,89,17,9,False,2019-10-19T14:00:00Z,1,1,9,90,1,0,0,1,0,0,0,0,0,0,2,33,50.0,11.7,20.0,8.2,57,-3742,66202,406,4148
368,99,3,2,True,2019-10-26T14:00:00Z,0,0,10,90,0,0,1,0,0,0,0,1,0,0,0,9,8.2,13.3,9.0,3.1,57,5075,72237,6506,1431
368,109,6,2,True,2019-11-02T17:30:00Z,1,2,11,90,0,0,0,2,0,0,0,0,0,0,0,19,19.0,29.2,24.0,7.2,57,-2456,69812,2193,4649
368,117,14,3,False,2019-11-08T20:00:00Z,0,2,12,90,0,0,1,0,0,0,0,0,0,0,0,18,16.0,2.8,32.0,5.1,57,2550,73521,5533,2983
368,129,5,2,True,2019-11-23T15:00:00Z,0,3,13,90,0,0,0,3,0,0,0,0,0,0,0,15,10.4,25.0,21.0,5.6,57,2192,76308,6464,4272
368,138,16,2,False,2019-11-30T17:30:00Z,2,1,14,90,0,0,0,2,0,0,0,0,0,0,0,8,8.8,12.8,10.0,3.2,57,-3694,72319,934,4628
368,143,9,1,False,2019-12-04T19:30:00Z,2,0,15,90,0,0,0,2,0,0,0,1,0,0,0,3,5.4,4.7,6.0,1.6,57,-3120,69332,311,3431
368,159,7,2,True,2019-12-07T15:00:00Z,0,0,16,77,0,0,1,0,0,0,0,1,0,0,0,7,7.8,2.6,19.0,2.9,57,-2556,66944,576,3132
368,166,10,2,False,2019-12-14T12:30:00Z,2,0,17,86,0,0,0,1,0,0,0,0,0,0,0,14,7.0,33.5,13.0,5.4,56,-3047,64054,422,3469
368,179,12,2,True,2019-12-22T14:00:00Z,2,0,18,68,0,0,1,0,0,0,0,1,0,0,0,2,2.2,2.5,8.0,1.3,56,-886,63367,1084,1970
368,188,15,0,False,2019-12-26T15:00:00Z,1,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,56,-3608,59852,352,3960
368,199,2,6,True,2019-12-28T15:00:00Z,3,0,20,90,0,1,1,0,0,0,0,0,0,0,0,23,12.4,4.9,20.0,3.7,56,1489,61763,2581,1092
368,209,20,9,True,2020-01-01T15:00:00Z,2,1,21,90,1,0,0,1,0,0,0,0,0,0,2,31,53.4,24.4,19.0,9.7,56,2740,64706,4527,1787
368,212,3,14,False,2020-01-12T14:00:00Z,0,3,22,85,1,1,1,0,0,0,0,0,0,0,3,48,61.8,38.4,53.0,15.3,56,8919,74365,11971,3052
