element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
369,7,4,1,True,2019-08-10T14:00:00Z,0,3,1,45,0,0,0,2,0,0,0,0,0,0,0,3,2.8,3.3,30.0,3.6,60,0,246209,0,0
369,15,8,1,False,2019-08-17T14:00:00Z,1,0,2,90,0,0,0,1,0,0,0,1,0,0,0,-1,3.0,7.3,28.0,3.8,60,-44700,206213,3937,48637
369,29,19,0,True,2019-08-24T14:00:00Z,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,59,-61919,145787,2549,64468
369,38,13,2,False,2019-08-31T14:00:00Z,1,1,4,90,0,0,0,1,0,0,0,0,0,0,0,16,14.6,35.4,11.0,6.1,59,-47758,99409,592,48350
369,49,1,6,True,2019-09-15T15:30:00Z,2,2,5,27,1,0,0,0,0,0,0,0,0,0,0,21,35.0,21.9,29.0,8.6,58,-16657,84352,1048,17705
369,57,11,1,False,2019-09-21T14:00:00Z,8,0,6,57,0,0,0,3,0,0,0,0,0,0,0,-3,3.6,1.4,6.0,1.1,58,-4027,81587,3292,7319
369,70,20,1,False,2019-09-28T14:00:00Z,2,0,7,45,0,0,0,1,0,0,0,0,0,0,0,8,9.4,37.5,8.0,5.5,58,-7264,74788,1965,9229
369,79,15,3,True,2019-10-05T14:00:00Z,0,0,8,90,0,0,1,0,0,0,0,0,0,0,0,9,8.6,13.0,12.0,3.4,57,-4468,70850,2208,6676
369,89,17,2,False,2019-10-19T14:00:00Z,1,1,9,83,0,0,1,0,0,0,0,1,0,0,0,2,2.2,12.3,20.0,3.5,57,-4454,66622,971,5425
369,99,3,2,True,2019-10-26T14:00:00Z,0,0,10,90,0,0,1,0,0,0,0,1,0,0,0,1,11.6,4.4,15.0,3.1,57,-4793,61950,304,5097
369,109,6,2,True,2019-11-02T17:30:00Z,1,2,11,90,0,0,0,2,0,0,0,0,0,0,0,11,7.6,14.6,19.0,4.1,56,-2668,59532,1098,3766
369,117,14,1,False,2019-11-08T20:00:00Z,0,2,12,30,0,0,0,0,0,0,0,0,0,0,0,3,2.8,12.4,0.0,1.5,56,1608,61864,3750,2142
369,129,5,0,True,2019-11-23T15:00:00Z,0,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,56,-7051,54292,244,7295
369,138,16,0,False,2019-11-30T17:30:00Z,2,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,56,-3672,50847,33,3705
369,143,9,0,False,2019-12-04T19:30:00Z,2,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,56,-848,50168,210,1058
369,159,7,3,True,2019-12-07T15:00:00Z,0,0,16,76,0,0,1,0,0,0,0,0,0,0,0,9,7.8,14.3,8.0,3.0,56,-952,49308,262,1214
369,166,10,0,False,2019-12-14T12:30:00Z,2,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,56,-1413,47973,185,1598
369,179,12,1,True,2019-12-22T14:00:00Z,2,0,18,13,0,0,0,0,0,0,0,0,0,0,0,4,4.2,10.8,4.0,1.9,56,-1484,46402,26,1510
369,188,15,1,False,2019-12-26T15:00:00Z,1,1,19,45,0,0,0,0,0,0,0,0,0,0,0,2,6.2,11.8,6.0,2.4,56,88,46743,680,592
369,199,2,0,True,2019-12-28T15:00:00Z,3,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,56,83,46937,619,536
369,209,20,1,True,2020-01-01T15:00:00Z,2,1,21,1,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,56,-910,46076,266,1176
369,212,3,6,False,2020-01-12T14:00:00Z,0,3,22,8,1,0,0,0,0,0,0,0,0,0,0,22,38.6,4.2,17.0,6.0,56,-745,45444,372,1117
369,229,17,1,True,2020-01-18T12:30:00Z,0,0,23,11,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.6,2.0,0.2,56,418,46056,1086,668
369,231,2,2,False,2020-01-21T19:30:00Z,2,1,24,80,0,0,0,1,0,0,0,0,0,0,0,11,11.6,15.4,22.0,4.9,56,227,46377,884,657
369,249,8,7,True,2020-02-01T15:00:00Z,2,3,25,74,1,0,0,2,0,0,0,0,0,0,0,17,29.8,2.3,17.0,4.9,56,7,46507,835,828
369,253,4,2,False,2020-02-08T17:30:00Z,1,1,26,81,0,0,0,1,0,0,0,0,0,0,0,7,5.8,1.5,6.0,1.3,56,3717,50863,4501,784
369,267,12,0,False,2020-02-23T14:00:00Z,None,None,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,56,-992,49536,901,1893
