element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
375,7,4,0,True,2019-08-10T14:00:00Z,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,6262,0,0
375,15,8,0,False,2019-08-17T14:00:00Z,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-602,6212,509,1111
375,29,19,1,True,2019-08-24T14:00:00Z,1,3,3,4,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.2,0.0,0.0,45,526,7760,1685,1159
375,38,13,0,False,2019-08-31T14:00:00Z,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-184,7917,788,972
375,49,1,0,True,2019-09-15T15:30:00Z,2,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-467,7655,328,795
375,57,11,0,False,2019-09-21T14:00:00Z,8,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-294,7504,182,476
375,70,20,0,False,2019-09-28T14:00:00Z,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-412,7156,116,528
375,79,15,0,True,2019-10-05T14:00:00Z,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-269,7004,118,387
375,89,17,0,False,2019-10-19T14:00:00Z,1,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,334,7695,845,511
375,99,3,0,True,2019-10-26T14:00:00Z,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,84,7912,459,375
375,109,6,0,True,2019-11-02T17:30:00Z,1,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-311,7691,392,703
375,117,14,0,False,2019-11-08T20:00:00Z,0,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-467,7209,40,507
375,129,5,0,True,2019-11-23T15:00:00Z,0,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-366,6857,67,433
375,138,16,0,False,2019-11-30T17:30:00Z,2,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-247,6612,34,281
375,143,9,1,False,2019-12-04T19:30:00Z,2,0,15,7,0,0,0,1,0,0,0,0,0,0,0,3,5.0,0.3,7.0,1.2,44,20,6696,143,123
375,159,7,0,True,2019-12-07T15:00:00Z,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-5,6718,135,140
375,166,10,1,False,2019-12-14T12:30:00Z,2,0,17,3,0,0,0,1,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,44,-61,6726,158,219
375,179,12,0,True,2019-12-22T14:00:00Z,2,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-65,6720,133,198
375,188,15,0,False,2019-12-26T15:00:00Z,1,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-61,6676,85,146
375,199,2,0,True,2019-12-28T15:00:00Z,3,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-51,6660,52,103
375,209,20,0,True,2020-01-01T15:00:00Z,2,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-132,6546,62,194
375,212,3,1,False,2020-01-12T14:00:00Z,0,3,22,4,0,0,0,0,0,0,0,0,0,0,0,2,2.4,0.3,0.0,0.3,44,-119,6452,64,183
375,229,17,0,True,2020-01-18T12:30:00Z,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-102,6375,71,173
375,231,2,0,False,2020-01-21T19:30:00Z,2,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-38,6349,63,101
375,249,8,0,True,2020-02-01T15:00:00Z,2,3,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-91,6280,49,140
375,253,4,0,False,2020-02-08T17:30:00Z,1,1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-22,6289,60,82
375,267,12,0,False,2020-02-23T14:00:00Z,None,None,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-45,6269,36,81
