element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
377,8,11,0,True,2019-08-10T11:30:00Z,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,19136,0,0
377,13,4,2,False,2019-08-17T14:00:00Z,1,1,2,90,0,0,0,1,0,0,0,0,0,0,0,17,31.2,0.5,0.0,3.2,45,-2064,19822,506,2570
377,29,18,1,False,2019-08-24T14:00:00Z,1,3,3,90,0,0,0,1,0,0,0,1,0,0,0,8,23.4,0.0,21.0,4.4,45,-593,20311,1053,1646
377,40,14,6,True,2019-08-31T14:00:00Z,2,0,4,90,0,0,1,0,0,0,0,0,0,0,0,19,9.8,0.4,2.0,1.2,45,-505,20596,919,1424
377,41,2,6,False,2019-09-16T19:00:00Z,0,0,5,90,0,0,1,0,0,0,0,0,0,0,0,21,11.8,0.6,0.0,1.2,45,1059,22789,2132,1073
377,60,12,5,True,2019-09-22T13:00:00Z,2,0,6,90,0,0,1,0,0,0,0,1,0,0,0,25,27.4,0.4,0.0,2.8,45,945,24323,2046,1101
377,62,3,1,False,2019-09-28T14:00:00Z,2,2,7,90,0,0,0,2,0,0,0,0,0,0,0,14,16.2,0.7,0.0,1.7,45,6326,32273,8338,2012
377,80,7,1,True,2019-10-05T16:30:00Z,1,2,8,90,0,0,0,2,0,0,0,0,0,0,0,16,21.0,1.1,4.0,2.6,45,1790,34574,3511,1721
377,85,8,1,False,2019-10-19T11:30:00Z,2,0,9,90,0,0,0,2,0,0,0,0,0,0,0,13,38.2,10.1,37.0,8.5,45,-725,33939,1012,1737
377,100,15,0,True,2019-10-26T14:00:00Z,1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,168,34451,1259,1091
377,110,13,0,True,2019-11-02T15:00:00Z,2,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-1918,32598,613,2531
377,111,5,0,False,2019-11-09T15:00:00Z,3,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-2698,29985,169,2867
377,130,17,7,True,2019-11-23T12:30:00Z,2,3,13,90,1,0,0,3,0,0,0,0,0,0,0,23,45.8,0.3,19.0,6.5,45,-2373,27873,174,2547
377,132,6,6,False,2019-11-30T15:00:00Z,0,1,14,90,0,0,1,0,0,0,0,0,0,0,0,26,30.2,0.2,0.0,3.0,45,963,29254,1797,834
377,146,20,1,False,2019-12-04T19:30:00Z,2,0,15,90,0,0,0,2,0,0,0,0,0,0,0,12,10.6,0.6,0.0,1.1,45,781,30183,1235,454
377,160,1,7,True,2019-12-09T20:00:00Z,1,3,16,90,1,0,0,3,0,0,0,0,0,0,0,18,39.2,0.3,19.0,5.9,45,483,30899,1287,804
377,169,16,6,False,2019-12-14T17:30:00Z,0,1,17,90,0,0,1,0,0,0,0,0,0,0,0,21,10.2,0.6,20.0,3.1,45,14030,47843,15877,1847
377,184,7,1,False,2019-12-26T15:00:00Z,2,1,19,90,0,0,0,2,0,0,0,0,0,0,0,16,12.2,0.4,0.0,1.3,45,23747,93288,27275,3528
377,200,9,0,True,2019-12-28T17:30:00Z,1,2,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,336,92601,5246,4910
377,210,3,6,True,2020-01-01T17:30:00Z,4,0,21,90,0,0,1,0,0,0,0,0,0,0,0,26,16.8,0.5,4.0,2.1,45,3996,97410,13533,9537
377,218,15,2,False,2020-01-10T20:00:00Z,1,0,22,90,0,0,0,1,0,0,0,0,0,0,0,9,8.0,0.5,4.0,1.3,45,11104,109366,20447,9343
377,230,8,2,True,2020-01-18T15:00:00Z,1,1,23,90,0,0,0,1,0,0,0,0,0,0,0,11,9.8,0.4,0.0,1.0,45,2462,112200,11088,8626
377,234,9,-1,False,2020-01-22T19:30:00Z,4,1,24,90,0,0,0,4,0,0,0,1,0,0,0,0,2.2,3.0,0.0,0.5,45,13870,135455,21912,8042
377,180,10,1,True,2020-01-29T19:45:00Z,0,2,24,90,0,0,0,2,0,0,0,0,0,0,0,6,16.8,0.0,7.0,2.4,45,13870,135455,21912,8042
377,250,4,-2,True,2020-02-01T15:00:00Z,3,3,25,90,0,0,0,3,1,0,0,1,0,0,0,2,1.8,0.3,2.0,0.4,45,-11326,114948,2911,14237
377,256,11,1,False,2020-02-19T19:30:00Z,2,0,26,90,0,0,0,2,0,0,0,0,0,0,0,15,27.8,0.4,2.0,3.0,45,-17049,98003,495,17544
377,266,10,0,False,2020-02-24T20:00:00Z,None,None,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-8484,89827,497,8981
