element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
378,8,11,0,True,2019-08-10T11:30:00Z,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,23599,0,0
378,13,4,1,False,2019-08-17T14:00:00Z,1,1,2,90,0,0,0,1,0,0,0,1,0,0,0,15,16.8,2.8,0.0,2.0,45,-2816,23018,498,3314
378,29,18,2,False,2019-08-24T14:00:00Z,1,3,3,90,0,0,0,1,0,0,0,0,0,0,0,20,28.4,15.7,1.0,4.5,45,-1380,22505,762,2142
378,40,14,12,True,2019-08-31T14:00:00Z,2,0,4,90,0,1,1,0,0,0,0,0,0,0,3,49,50.4,27.0,2.0,7.9,45,88,23450,1930,1842
378,41,2,3,False,2019-09-16T19:00:00Z,0,0,5,66,0,0,1,0,0,0,0,0,1,0,0,16,7.6,17.5,9.0,3.4,45,53996,87409,65621,11625
378,60,12,0,True,2019-09-22T13:00:00Z,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-9535,74037,10910,20445
378,62,3,0,False,2019-09-28T14:00:00Z,2,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-4593,70590,4403,8996
378,80,7,0,True,2019-10-05T16:30:00Z,1,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-7095,63675,1082,8177
378,85,8,1,False,2019-10-19T11:30:00Z,2,0,9,90,0,0,0,2,0,0,0,0,0,0,0,9,21.4,15.3,2.0,3.9,45,-6410,57793,502,6912
378,100,15,0,True,2019-10-26T14:00:00Z,1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-1490,56744,1100,2590
378,110,13,0,True,2019-11-02T15:00:00Z,2,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-4785,51985,488,5273
378,111,5,0,False,2019-11-09T15:00:00Z,3,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-5181,46857,123,5304
378,130,17,0,True,2019-11-23T12:30:00Z,2,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-4372,42698,181,4553
378,132,6,1,False,2019-11-30T15:00:00Z,0,1,14,7,0,0,0,0,0,0,0,0,0,0,0,2,0.2,0.3,0.0,0.1,44,-2583,40300,149,2732
378,146,20,0,False,2019-12-04T19:30:00Z,2,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-1205,39234,119,1324
378,160,1,0,True,2019-12-09T20:00:00Z,1,3,16,39,0,0,0,3,0,0,0,0,0,0,0,7,13.8,16.3,0.0,3.0,43,-1665,37659,182,1847
378,169,16,0,False,2019-12-14T17:30:00Z,0,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-1094,36688,575,1669
378,184,7,0,False,2019-12-26T15:00:00Z,2,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-744,34693,177,921
378,200,9,0,True,2019-12-28T17:30:00Z,1,2,20,90,0,0,0,2,0,0,0,1,0,0,0,8,29.6,12.3,9.0,5.1,43,-726,34040,146,872
378,210,3,1,True,2020-01-01T17:30:00Z,4,0,21,7,0,0,0,0,0,0,0,0,0,0,0,2,4.0,1.0,17.0,2.2,42,-504,33644,1014,1518
378,218,15,2,False,2020-01-10T20:00:00Z,1,0,22,68,0,0,0,1,0,0,0,0,0,0,0,12,10.4,9.1,3.0,2.3,42,245,34067,1923,1678
378,230,8,1,True,2020-01-18T15:00:00Z,1,1,23,30,0,0,0,0,0,0,0,0,0,0,0,3,6.4,2.1,0.0,0.9,42,790,34934,2983,2193
378,234,9,0,False,2020-01-22T19:30:00Z,4,1,24,45,0,0,0,2,0,0,0,0,0,0,0,2,10.6,0.4,2.0,1.3,42,272,35475,1388,1116
378,180,10,1,True,2020-01-29T19:45:00Z,0,2,24,90,0,0,0,2,0,0,0,0,0,0,0,8,21.0,4.1,6.0,3.1,42,272,35475,1388,1116
378,250,4,0,True,2020-02-01T15:00:00Z,3,3,25,16,0,0,0,2,0,0,0,0,0,0,0,3,0.8,0.5,2.0,0.3,42,-904,34420,755,1659
378,256,11,0,False,2020-02-19T19:30:00Z,2,0,26,90,0,0,0,2,0,0,0,1,0,0,0,4,12.0,1.8,0.0,1.4,42,-1022,33442,289,1311
378,266,10,0,False,2020-02-24T20:00:00Z,None,None,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,42,-401,33116,464,865
