element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
379,8,11,0,True,2019-08-10T11:30:00Z,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,45630,0,0
379,13,4,0,False,2019-08-17T14:00:00Z,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-4538,46843,1251,5789
379,29,18,0,False,2019-08-24T14:00:00Z,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-5025,43152,824,5849
379,40,14,0,True,2019-08-31T14:00:00Z,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-2673,41957,1533,4206
379,41,2,1,False,2019-09-16T19:00:00Z,0,0,5,21,0,0,0,0,0,0,0,0,0,0,0,2,1.2,0.4,0.0,0.2,44,-2124,41178,1821,3945
379,60,12,1,True,2019-09-22T13:00:00Z,2,0,6,10,0,0,0,0,0,0,0,0,0,0,0,5,2.6,0.1,0.0,0.3,44,-1186,40509,791,1977
379,62,3,0,False,2019-09-28T14:00:00Z,2,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-1411,39577,880,2291
379,80,7,1,True,2019-10-05T16:30:00Z,1,2,8,6,0,0,0,1,0,0,0,0,0,0,0,4,3.4,0.5,0.0,0.4,44,-1434,38416,540,1974
379,85,8,0,False,2019-10-19T11:30:00Z,2,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-871,37923,548,1419
379,100,15,2,True,2019-10-26T14:00:00Z,1,1,10,90,0,0,0,1,0,0,0,0,0,0,0,15,20.2,13.8,6.0,4.0,43,-549,37605,457,1006
379,110,13,1,True,2019-11-02T15:00:00Z,2,3,11,71,0,0,0,3,0,0,0,0,0,0,0,12,6.6,3.5,2.0,1.2,43,-19,37945,1055,1074
379,111,5,0,False,2019-11-09T15:00:00Z,3,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-674,37386,401,1075
379,130,17,0,True,2019-11-23T12:30:00Z,2,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-1079,36482,418,1497
379,132,6,0,False,2019-11-30T15:00:00Z,0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-715,35890,229,944
379,146,20,0,False,2019-12-04T19:30:00Z,2,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-478,35526,170,648
379,160,1,0,True,2019-12-09T20:00:00Z,1,3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-578,35007,166,744
379,169,16,0,False,2019-12-14T17:30:00Z,0,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-543,34625,267,810
379,184,7,0,False,2019-12-26T15:00:00Z,2,1,19,90,0,0,0,2,0,0,0,1,0,0,0,6,23.2,1.8,0.0,2.5,42,-248,33970,262,510
379,200,9,0,True,2019-12-28T17:30:00Z,1,2,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,42,-104,33964,310,414
379,210,3,0,True,2020-01-01T17:30:00Z,4,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,42,-352,33711,373,725
379,218,15,2,False,2020-01-10T20:00:00Z,1,0,22,90,0,0,0,1,0,0,0,0,0,0,0,20,19.6,2.3,2.0,2.4,42,158,34052,1044,886
379,230,8,1,True,2020-01-18T15:00:00Z,1,1,23,90,0,0,0,1,0,0,0,1,0,0,0,15,20.4,27.1,2.0,5.0,42,675,34915,1496,821
379,234,9,0,False,2020-01-22T19:30:00Z,4,1,24,90,0,0,0,4,0,0,0,0,0,0,0,8,9.0,0.4,0.0,0.9,42,1149,36463,1746,597
379,180,10,0,True,2020-01-29T19:45:00Z,0,2,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,42,1149,36463,1746,597
379,250,4,0,True,2020-02-01T15:00:00Z,3,3,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,42,-598,35625,445,1043
379,256,11,1,False,2020-02-19T19:30:00Z,2,0,26,30,0,0,0,1,0,0,0,0,0,0,0,3,4.2,0.6,0.0,0.5,42,-833,34873,211,1044
379,266,10,0,False,2020-02-24T20:00:00Z,None,None,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,42,-348,34615,290,638
