element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
38,7,18,6,False,2019-08-10T14:00:00Z,0,3,1,90,0,0,1,0,0,0,0,0,0,0,0,21,13.0,12.6,2.0,2.8,45,0,33714,0,0
38,13,19,2,True,2019-08-17T14:00:00Z,1,1,2,90,0,0,0,1,0,0,0,0,0,0,0,11,19.4,26.0,2.0,4.7,45,8345,50184,12095,3750
38,23,16,0,True,2019-08-24T14:00:00Z,0,2,3,90,0,0,0,2,0,0,0,1,0,0,0,8,8.0,1.8,10.0,2.0,45,11863,66000,23262,11399
38,37,11,0,False,2019-08-31T14:00:00Z,4,0,4,90,0,0,0,4,0,0,0,0,0,0,0,12,20.2,17.4,2.0,4.0,45,-6276,59252,3703,9979
38,43,5,0,True,2019-09-14T14:00:00Z,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-2304,58446,4926,7230
38,58,13,6,False,2019-09-21T16:30:00Z,0,0,6,90,0,0,1,0,0,0,0,0,0,0,0,20,15.2,4.1,2.0,2.1,45,-7281,50983,436,7717
38,63,6,1,False,2019-09-28T14:00:00Z,2,0,7,90,0,0,0,2,0,0,0,0,0,0,0,14,18.4,25.3,0.0,4.4,45,-4349,47122,861,5210
38,72,17,6,True,2019-10-05T11:30:00Z,3,0,8,90,0,0,1,0,0,0,0,0,0,0,0,15,8.4,4.1,10.0,2.3,45,-2819,44570,535,3354
38,81,2,1,False,2019-10-19T14:00:00Z,2,1,9,69,0,0,0,1,0,0,0,1,0,0,0,10,11.0,18.8,20.0,5.0,45,405,45708,2771,2366
38,92,8,2,True,2019-10-26T14:00:00Z,3,2,10,65,0,0,0,1,0,0,0,0,0,0,0,5,4.6,2.5,2.0,0.9,45,-681,45123,941,1622
38,104,14,12,True,2019-11-02T15:00:00Z,2,0,11,90,0,1,1,0,0,0,0,0,0,0,3,50,39.6,29.1,4.0,7.3,45,-343,45117,1665,2008
38,115,12,-1,False,2019-11-10T14:00:00Z,3,1,12,45,0,0,0,2,0,0,0,1,0,0,0,-2,4.8,0.5,0.0,0.5,45,3545,49477,5530,1985
38,124,9,2,True,2019-11-23T15:00:00Z,0,2,13,76,0,0,0,1,0,0,0,0,0,0,0,10,8.2,2.7,35.0,4.6,45,-341,49521,3709,4050
38,134,10,1,False,2019-11-30T15:00:00Z,2,1,14,68,0,0,0,2,0,0,0,0,0,0,0,9,15.4,16.7,0.0,3.2,45,90,49848,3175,3085
38,141,1,1,False,2019-12-05T20:15:00Z,1,2,15,14,0,0,0,0,0,0,0,0,0,0,0,3,1.4,0.2,0.0,0.2,45,-634,49344,1249,1883
38,153,20,0,True,2019-12-08T16:30:00Z,2,2,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-1289,48296,1168,2457
38,164,7,2,False,2019-12-16T19:45:00Z,1,1,17,90,0,0,0,1,0,0,0,0,0,0,0,9,21.4,19.1,62.0,10.3,45,-2170,46306,1126,3296
38,173,15,1,True,2019-12-21T15:00:00Z,0,1,18,55,0,0,0,1,0,0,0,0,0,0,0,9,7.2,26.7,2.0,3.6,45,452,47783,2368,1916
38,189,17,0,False,2019-12-26T12:30:00Z,2,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-1710,45496,815,2525
38,192,3,6,True,2019-12-28T12:30:00Z,2,0,20,90,0,0,1,0,0,0,0,0,0,0,0,26,20.8,3.3,0.0,2.4,44,-1431,44384,1144,2575
38,202,6,2,True,2020-01-01T12:30:00Z,1,1,21,90,0,0,0,1,0,0,0,0,0,0,0,9,17.8,12.6,10.0,4.0,44,2721,47418,5798,3077
38,215,8,2,False,2020-01-11T15:00:00Z,1,0,22,61,0,0,0,1,0,0,0,0,0,0,0,9,10.0,11.7,2.0,2.4,44,2373,50036,5822,3449
38,222,2,1,True,2020-01-18T15:00:00Z,1,1,23,22,0,0,0,1,0,0,0,0,0,0,0,3,2.6,0.3,2.0,0.5,44,4951,55527,8533,3582
38,232,3,0,False,2020-01-21T19:30:00Z,3,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-2830,52365,1845,4675
38,250,19,1,False,2020-02-01T15:00:00Z,3,3,25,71,0,0,0,3,0,0,0,0,0,0,0,12,21.4,30.6,2.0,5.4,44,-3579,48935,948,4527
38,253,18,0,True,2020-02-08T17:30:00Z,1,1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-1182,48020,1154,2336
38,268,15,0,False,2020-02-22T15:00:00Z,1,1,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-2910,45070,442,3352
