element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
390,8,11,1,True,2019-08-10T11:30:00Z,0,5,1,65,0,0,0,2,0,0,0,1,0,0,0,0,3.8,1.6,0.0,0.5,70,0,529492,0,0
390,13,4,0,False,2019-08-17T14:00:00Z,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,70,-135347,401671,5163,140510
390,29,18,5,False,2019-08-24T14:00:00Z,1,3,3,77,0,1,0,1,0,0,0,0,0,0,0,28,29.8,40.3,63.0,13.3,69,-98592,307978,3353,101945
390,40,14,3,True,2019-08-31T14:00:00Z,2,0,4,87,0,0,1,0,0,0,0,0,0,0,0,21,25.2,37.3,36.0,9.9,69,2474,319353,30175,27701
390,41,2,3,False,2019-09-16T19:00:00Z,0,0,5,68,0,0,1,0,0,0,0,0,0,0,0,18,17.6,33.9,18.0,7.0,69,-14873,306958,14447,29320
390,60,12,6,True,2019-09-22T13:00:00Z,2,0,6,69,0,1,1,0,0,0,0,0,0,0,0,25,33.6,27.0,21.0,8.2,69,-16042,292645,7835,23877
390,62,3,5,False,2019-09-28T14:00:00Z,2,2,7,90,0,1,0,2,0,0,0,0,0,0,0,24,37.2,27.8,60.0,12.5,69,2200,298419,19741,17541
390,80,7,2,True,2019-10-05T16:30:00Z,1,2,8,90,0,0,0,2,0,0,0,0,0,0,0,10,21.6,16.4,23.0,6.1,69,17524,319305,28997,11473
390,85,8,1,False,2019-10-19T11:30:00Z,2,0,9,45,0,0,0,1,0,0,0,0,0,0,0,2,5.0,4.3,0.0,0.9,69,-9594,309833,10200,19794
390,100,15,3,True,2019-10-26T14:00:00Z,1,1,10,65,0,0,1,0,0,0,0,0,0,0,0,8,8.8,8.3,22.0,3.9,69,-11373,299507,5558,16931
390,110,13,2,True,2019-11-02T15:00:00Z,2,3,11,90,0,0,0,3,0,0,0,0,0,0,0,22,25.4,53.8,32.0,11.1,69,-19905,280189,3355,23260
390,111,5,1,False,2019-11-09T15:00:00Z,3,0,12,55,0,0,0,3,0,0,0,0,0,0,0,3,5.2,9.6,2.0,1.7,68,-13793,267307,3055,16848
390,130,17,1,True,2019-11-23T12:30:00Z,2,3,13,45,0,0,0,2,0,0,0,0,0,0,0,3,9.4,1.1,2.0,1.3,68,-18911,248733,2311,21222
390,132,6,3,False,2019-11-30T15:00:00Z,0,1,14,70,0,0,1,0,0,0,0,0,0,0,0,9,9.8,6.6,4.0,2.0,67,-13603,235718,591,14194
390,146,20,2,False,2019-12-04T19:30:00Z,2,0,15,90,0,0,0,2,0,0,0,0,0,0,0,22,28.0,38.7,4.0,7.1,67,-5133,231192,608,5741
390,160,1,2,True,2019-12-09T20:00:00Z,1,3,16,69,0,0,0,3,0,0,0,0,0,0,0,12,6.0,15.1,16.0,3.7,67,-5537,225946,1084,6621
390,169,16,0,False,2019-12-14T17:30:00Z,0,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,67,-6292,219892,1019,7311
390,184,7,1,False,2019-12-26T15:00:00Z,2,1,19,15,0,0,0,1,0,0,0,0,0,0,0,6,7.0,3.4,0.0,1.0,66,-2950,206820,487,3437
390,200,9,6,True,2019-12-28T17:30:00Z,1,2,20,90,0,1,0,2,0,0,0,0,0,0,1,30,37.6,38.9,2.0,7.9,66,-1669,205384,599,2268
390,210,3,8,True,2020-01-01T17:30:00Z,4,0,21,67,1,0,1,0,0,0,0,0,0,0,0,25,41.2,2.9,35.0,7.9,66,4973,210965,7794,2821
390,218,15,2,False,2020-01-10T20:00:00Z,1,0,22,90,0,0,0,1,0,0,0,0,0,0,0,14,12.2,29.4,8.0,5.0,66,15902,227978,22059,6157
390,230,8,0,True,2020-01-18T15:00:00Z,1,1,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,66,-6682,221048,7673,14355
390,234,9,0,False,2020-01-22T19:30:00Z,4,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,66,-12936,207896,901,13837
390,180,10,0,True,2020-01-29T19:45:00Z,0,2,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,66,-12936,207896,901,13837
390,250,4,0,True,2020-02-01T15:00:00Z,3,3,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,66,-13055,195210,52,13107
