element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
391,8,11,2,True,2019-08-10T11:30:00Z,0,5,1,90,0,0,0,5,0,0,0,0,0,0,0,16,10.4,6.8,25.0,4.2,65,0,58508,0,0
391,13,4,8,False,2019-08-17T14:00:00Z,1,1,2,90,0,1,0,1,0,0,0,0,0,0,3,34,34.0,48.8,3.0,8.6,65,7085,77441,15863,8778
391,29,18,5,False,2019-08-24T14:00:00Z,1,3,3,87,0,1,0,1,0,0,0,0,0,0,0,23,18.2,82.1,6.0,10.6,65,26001,110260,41860,15859
391,40,14,3,True,2019-08-31T14:00:00Z,2,0,4,90,0,0,1,0,0,0,0,0,0,0,0,13,17.0,59.4,44.0,12.0,65,89164,215127,114037,24873
391,41,2,3,False,2019-09-16T19:00:00Z,0,0,5,90,0,0,1,0,0,0,0,0,0,0,0,15,11.6,16.8,5.0,3.3,66,12419,229615,51525,39106
391,60,12,0,True,2019-09-22T13:00:00Z,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,66,-33151,196301,13106,46257
391,62,3,1,False,2019-09-28T14:00:00Z,2,2,7,23,0,0,0,0,0,0,0,0,0,0,0,6,6.2,22.0,20.0,4.8,65,-61966,134431,2314,64280
391,80,7,2,True,2019-10-05T16:30:00Z,1,2,8,67,0,0,0,1,0,0,0,0,0,0,0,11,0.4,7.3,4.0,1.2,65,-14528,122299,4662,19190
391,85,8,2,False,2019-10-19T11:30:00Z,2,0,9,90,0,0,0,2,0,0,0,0,0,0,0,12,9.8,9.3,1.0,2.0,64,-11607,111784,4313,15920
391,100,15,1,True,2019-10-26T14:00:00Z,1,1,10,24,0,0,0,1,0,0,0,0,0,0,0,4,3.8,15.2,0.0,1.9,64,-6752,105426,2636,9388
391,110,13,4,True,2019-11-02T15:00:00Z,2,3,11,45,0,1,0,1,0,0,0,0,0,0,0,17,29.0,27.0,21.0,7.7,63,-14391,91130,1297,15688
391,111,5,1,False,2019-11-09T15:00:00Z,3,0,12,34,0,0,0,0,0,0,0,0,0,0,0,9,9.6,11.1,8.0,2.9,63,-4725,86917,1903,6628
391,130,17,0,True,2019-11-23T12:30:00Z,2,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,62,-19239,67330,168,19407
391,132,6,0,False,2019-11-30T15:00:00Z,0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,62,-6441,61411,13,6454
391,146,20,0,False,2019-12-04T19:30:00Z,2,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,62,-2897,58655,8,2905
391,160,1,0,True,2019-12-09T20:00:00Z,1,3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,62,-2464,56199,11,2475
391,169,16,0,False,2019-12-14T17:30:00Z,0,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,62,-2382,53813,36,2418
391,184,7,1,False,2019-12-26T15:00:00Z,2,1,19,32,0,0,0,2,0,0,0,0,0,0,0,8,10.2,40.8,2.0,5.3,62,-656,51865,28,684
391,200,9,2,True,2019-12-28T17:30:00Z,1,2,20,69,0,0,0,2,0,0,0,0,0,0,0,10,4.6,32.9,18.0,5.6,62,-158,51791,193,351
391,210,3,1,True,2020-01-01T17:30:00Z,4,0,21,22,0,0,0,0,0,0,0,0,0,0,0,0,5.8,12.0,33.0,5.1,62,423,52309,952,529
391,218,15,2,False,2020-01-10T20:00:00Z,1,0,22,83,0,0,0,1,0,0,0,0,0,0,0,16,14.4,4.2,24.0,4.3,62,-278,52149,641,919
391,230,8,2,True,2020-01-18T15:00:00Z,1,1,23,83,0,0,0,1,0,0,0,0,0,0,0,10,5.2,5.9,2.0,1.3,62,1134,53433,2034,900
391,234,9,2,False,2020-01-22T19:30:00Z,4,1,24,90,0,0,0,4,0,0,0,0,0,0,0,5,3.6,2.3,2.0,0.8,62,7352,64365,8420,1068
391,180,10,2,True,2020-01-29T19:45:00Z,0,2,24,68,0,0,0,2,0,0,0,0,0,0,0,11,9.6,18.8,17.0,4.5,62,7352,64365,8420,1068
391,250,4,1,True,2020-02-01T15:00:00Z,3,3,25,5,0,0,0,0,0,0,0,0,0,0,0,1,0.2,0.1,0.0,0.0,62,-1923,59128,1451,3374
391,256,11,0,False,2020-02-19T19:30:00Z,2,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,62,-3830,55307,192,4022
391,266,10,0,False,2020-02-24T20:00:00Z,None,None,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,62,-1761,53659,189,1950
