element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
394,8,11,1,True,2019-08-10T11:30:00Z,0,5,1,55,0,0,0,2,0,0,0,0,0,0,0,3,2.6,2.1,0.0,0.5,50,0,32147,0,0
394,13,4,1,False,2019-08-17T14:00:00Z,1,1,2,45,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1.8,0.0,0.1,50,-2772,33564,2521,5293
394,29,18,0,False,2019-08-24T14:00:00Z,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-4217,30125,929,5146
394,40,14,0,True,2019-08-31T14:00:00Z,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-3413,27576,1501,4914
394,41,2,0,False,2019-09-16T19:00:00Z,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-2901,25222,943,3844
394,60,12,1,True,2019-09-22T13:00:00Z,2,0,6,20,0,0,0,0,0,0,0,0,0,0,0,2,0.4,0.8,0.0,0.1,48,-1904,23578,343,2247
394,62,3,1,False,2019-09-28T14:00:00Z,2,2,7,15,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.3,0.0,0.0,48,-1134,22762,825,1959
394,80,7,1,True,2019-10-05T16:30:00Z,1,2,8,12,0,0,0,1,0,0,0,0,0,0,0,3,1.8,0.6,2.0,0.4,48,-991,21960,478,1469
394,85,8,1,False,2019-10-19T11:30:00Z,2,0,9,27,0,0,0,1,0,0,0,0,0,0,0,2,0.2,0.9,2.0,0.3,48,-960,21231,327,1287
394,100,15,0,True,2019-10-26T14:00:00Z,1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,47,-428,20937,314,742
394,110,13,0,True,2019-11-02T15:00:00Z,2,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,47,-1615,19345,133,1748
394,111,5,0,False,2019-11-09T15:00:00Z,3,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,47,-1025,18348,26,1051
394,130,17,0,True,2019-11-23T12:30:00Z,2,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,47,-838,17559,81,919
394,132,6,0,False,2019-11-30T15:00:00Z,0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,47,-586,17001,22,608
394,146,20,0,False,2019-12-04T19:30:00Z,2,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,47,-451,16571,16,467
394,160,1,0,True,2019-12-09T20:00:00Z,1,3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,47,-360,16230,11,371
394,169,16,0,False,2019-12-14T17:30:00Z,0,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,47,-395,15842,31,426
394,184,7,0,False,2019-12-26T15:00:00Z,2,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,47,-179,15374,20,199
394,200,9,0,True,2019-12-28T17:30:00Z,1,2,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,47,-157,15236,10,167
394,210,3,0,True,2020-01-01T17:30:00Z,4,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,47,-214,15025,19,233
394,218,15,0,False,2020-01-10T20:00:00Z,1,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,47,-318,14712,22,340
394,230,8,0,True,2020-01-18T15:00:00Z,1,1,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,47,-253,14464,25,278
394,234,9,0,False,2020-01-22T19:30:00Z,4,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,47,-149,14325,14,163
394,180,10,0,True,2020-01-29T19:45:00Z,0,2,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,47,-149,14325,14,163
394,250,4,0,True,2020-02-01T15:00:00Z,3,3,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,47,-194,14142,15,209
