element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
396,8,11,0,True,2019-08-10T11:30:00Z,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,0,26530,0,0
396,13,4,0,False,2019-08-17T14:00:00Z,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-5041,21507,123,5164
396,29,18,9,False,2019-08-24T14:00:00Z,1,3,3,90,1,0,0,1,0,0,0,0,0,0,2,33,44.6,12.5,21.0,7.8,50,-3280,18538,354,3634
396,40,14,3,True,2019-08-31T14:00:00Z,2,0,4,84,0,0,1,0,0,0,0,0,0,0,0,20,16.2,18.7,4.0,3.9,50,19235,41461,24423,5188
396,41,2,2,False,2019-09-16T19:00:00Z,0,0,5,90,0,0,1,0,0,0,0,1,0,0,0,2,4.2,4.5,31.0,4.0,50,7909,49705,14073,6164
396,60,12,5,True,2019-09-22T13:00:00Z,2,0,6,90,0,1,1,0,0,0,0,1,0,0,0,16,4.4,14.8,7.0,2.6,50,1237,51285,7582,6345
396,62,3,2,False,2019-09-28T14:00:00Z,2,2,7,74,0,0,0,2,0,0,0,0,0,0,0,7,0.0,2.8,6.0,0.8,50,14924,68175,21129,6205
396,80,7,2,True,2019-10-05T16:30:00Z,1,2,8,90,0,0,0,2,0,0,0,0,0,0,0,10,7.0,14.8,5.0,2.7,50,178,68017,6563,6385
396,85,8,2,False,2019-10-19T11:30:00Z,2,0,9,73,0,0,0,1,0,0,0,0,0,0,0,12,6.6,15.2,0.0,2.2,50,-4211,63922,2920,7131
396,100,15,2,True,2019-10-26T14:00:00Z,1,1,10,77,0,0,0,1,0,0,0,0,0,0,0,10,3.8,4.1,4.0,1.2,50,-1886,62431,2645,4531
396,110,13,1,True,2019-11-02T15:00:00Z,2,3,11,45,0,0,0,2,0,0,0,0,0,0,0,2,3.0,1.6,2.0,0.7,50,-4104,58529,2702,6806
396,111,5,1,False,2019-11-09T15:00:00Z,3,0,12,19,0,0,0,1,0,0,0,0,0,0,0,1,0.0,0.1,0.0,0.0,50,-4734,53777,1097,5831
396,130,17,5,True,2019-11-23T12:30:00Z,2,3,13,90,0,1,0,3,0,0,0,0,0,0,0,23,33.6,22.9,0.0,5.7,50,-8170,45699,566,8736
396,132,6,3,False,2019-11-30T15:00:00Z,0,1,14,90,0,0,1,0,0,0,0,0,0,0,0,8,14.0,1.4,0.0,1.5,50,-1966,44196,1218,3184
396,146,20,2,False,2019-12-04T19:30:00Z,2,0,15,70,0,0,0,1,0,0,0,0,0,0,0,11,1.0,6.1,0.0,0.7,50,-1477,42886,474,1951
396,160,1,2,True,2019-12-09T20:00:00Z,1,3,16,90,0,0,0,3,0,0,0,0,0,0,0,12,9.0,14.8,9.0,3.3,50,-1940,41035,568,2508
396,169,16,3,False,2019-12-14T17:30:00Z,0,1,17,87,0,0,1,0,0,0,0,0,0,0,0,10,9.0,3.3,3.0,1.5,50,-1689,39477,889,2578
396,184,7,2,False,2019-12-26T15:00:00Z,2,1,19,90,0,0,0,2,0,0,0,0,0,0,0,18,20.4,14.2,0.0,3.5,50,-804,36377,679,1483
396,200,9,0,True,2019-12-28T17:30:00Z,1,2,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-481,35986,810,1291
396,210,3,16,True,2020-01-01T17:30:00Z,4,0,21,90,2,0,1,0,0,0,0,0,0,0,3,58,80.6,14.4,26.0,12.1,50,-833,35269,1492,2325
396,218,15,2,False,2020-01-10T20:00:00Z,1,0,22,90,0,0,0,1,0,0,0,0,0,0,0,13,6.2,2.3,0.0,0.9,50,15252,51233,21534,6282
396,230,8,3,True,2020-01-18T15:00:00Z,1,1,23,90,0,0,0,1,0,0,0,0,0,0,1,24,24.6,27.1,3.0,5.5,50,25273,77373,32139,6866
396,234,9,7,False,2020-01-22T19:30:00Z,4,1,24,90,1,0,0,4,0,0,0,0,0,0,0,29,44.4,1.7,17.0,6.3,50,77604,182393,84695,7091
396,180,10,1,True,2020-01-29T19:45:00Z,0,2,24,90,0,0,0,2,0,0,0,1,0,0,0,9,4.0,2.2,1.0,0.7,50,77604,182393,84695,7091
396,250,4,2,True,2020-02-01T15:00:00Z,3,3,25,90,0,0,0,3,0,0,0,0,0,0,0,15,15.6,22.7,2.0,4.0,50,-3766,152349,15562,19328
396,256,11,2,False,2020-02-19T19:30:00Z,2,0,26,90,0,0,0,2,0,0,0,0,0,0,0,15,21.2,15.7,1.0,3.8,50,-23520,128178,2878,26398
396,266,10,0,False,2020-02-24T20:00:00Z,None,None,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-16883,111610,1970,18853
