element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
401,5,9,6,False,2019-08-11T13:00:00Z,0,0,1,90,0,0,1,0,0,0,0,0,0,0,0,16,0.0,1.8,0.0,0.2,60,0,199907,0,0
401,20,12,1,True,2019-08-19T19:00:00Z,1,1,2,45,0,0,0,1,0,0,0,0,0,0,0,3,0.0,0.8,0.0,0.1,60,-7294,224750,8662,15956
401,30,5,2,True,2019-08-25T15:30:00Z,1,1,3,75,0,0,0,1,0,0,0,0,0,0,0,12,6.6,3.6,10.0,2.0,60,-7217,226075,14199,21416
401,35,8,0,False,2019-09-01T13:00:00Z,3,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,60,-15149,215151,6512,21661
401,50,6,4,True,2019-09-14T14:00:00Z,2,5,5,34,0,1,0,1,0,0,0,0,0,0,0,12,7.8,1.7,36.0,4.6,60,-45740,169920,2781,48521
401,54,7,1,False,2019-09-22T13:00:00Z,1,1,6,56,0,0,0,1,0,0,0,0,0,0,0,1,6.8,2.1,33.0,4.2,60,-3848,170658,4925,8773
401,70,18,15,True,2019-09-28T14:00:00Z,2,0,7,90,1,0,1,0,0,0,0,0,0,0,3,36,46.2,12.8,33.0,9.2,60,-6964,165544,5076,12040
401,75,11,1,False,2019-10-06T13:00:00Z,0,2,8,22,0,0,0,0,0,0,0,0,0,0,0,4,11.6,0.3,0.0,1.2,60,14153,183861,20805,6652
401,90,16,4,True,2019-10-19T14:00:00Z,1,1,9,45,0,1,0,1,0,0,0,0,0,0,0,13,3.6,1.4,4.0,0.9,60,24406,217522,32959,8553
401,96,13,2,False,2019-10-27T14:00:00Z,1,1,10,90,0,0,0,1,0,0,0,0,0,0,0,11,10.0,14.0,35.0,5.9,60,12501,230434,19640,7139
401,101,1,2,False,2019-11-02T15:00:00Z,1,1,11,70,0,0,0,1,0,0,0,0,0,0,0,11,12.8,16.3,39.0,6.8,60,-2416,229575,13481,15897
401,120,2,2,True,2019-11-10T14:00:00Z,2,1,12,90,0,0,0,1,0,0,0,0,0,0,0,13,11.4,13.8,48.0,7.3,60,-4860,231490,14561,19421
401,123,3,2,False,2019-11-23T15:00:00Z,1,2,13,90,0,0,0,1,0,0,0,0,0,0,0,9,10.0,4.7,21.0,3.6,60,-63,228803,13373,13436
401,140,15,10,True,2019-12-01T14:00:00Z,1,1,14,90,1,0,0,1,0,0,0,0,0,0,2,25,51.0,13.8,37.0,10.2,60,281,230115,10795,10514
401,146,19,6,True,2019-12-04T19:30:00Z,2,0,15,90,0,0,1,0,0,0,0,0,0,0,0,22,10.4,2.2,2.0,1.5,60,15650,248328,19566,3916
401,153,4,1,False,2019-12-08T16:30:00Z,2,2,16,90,0,0,0,2,0,0,0,0,0,0,0,8,7.8,4.7,23.0,3.6,60,30539,282669,36794,6255
401,170,17,1,True,2019-12-15T14:00:00Z,1,2,17,90,0,0,0,2,0,0,0,0,0,0,0,10,14.2,14.5,10.0,3.9,60,-2728,280560,18006,20734
401,177,14,4,False,2019-12-21T15:00:00Z,1,2,18,90,0,1,0,1,0,0,0,1,0,0,0,14,18.4,26.6,41.0,8.6,61,48948,381648,60396,11448
401,190,11,8,True,2019-12-27T19:45:00Z,3,2,19,90,1,0,0,2,0,0,0,0,0,0,1,30,41.2,8.6,23.0,7.3,61,-22068,310269,6110,28178
401,194,10,0,False,2019-12-29T16:30:00Z,1,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,61,-6314,306511,10198,16512
401,209,18,1,False,2020-01-01T15:00:00Z,2,1,21,90,0,0,0,2,0,0,0,0,0,0,0,5,21.8,3.5,52.0,7.7,61,40931,353623,59485,18554
401,220,13,2,True,2020-01-11T15:00:00Z,1,1,22,90,0,0,0,1,0,0,0,0,0,0,0,3,0.6,3.3,18.0,2.2,61,10611,367650,33703,23092
401,228,16,1,False,2020-01-18T15:00:00Z,2,3,23,90,0,0,0,2,0,0,0,0,0,0,0,8,8.2,0.8,4.0,1.3,61,-25015,343344,8959,33974
401,237,10,1,True,2020-01-23T20:00:00Z,1,2,24,90,0,0,0,2,0,0,0,0,0,0,0,8,12.2,2.2,6.0,2.0,61,-33630,307266,5071,38701
401,246,12,6,False,2020-02-01T17:30:00Z,0,0,25,90,0,0,1,0,0,0,0,0,0,0,0,22,14.6,2.4,53.0,7.0,61,-10993,301475,7224,18217
401,260,9,0,True,2020-02-14T20:00:00Z,None,None,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,61,-166,302871,8759,8925
