element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
402,5,9,5,False,2019-08-11T13:00:00Z,0,0,1,90,0,0,1,0,0,0,0,1,0,0,0,18,18.0,12.3,0.0,3.0,55,0,70548,0,0
402,20,12,2,True,2019-08-19T19:00:00Z,1,1,2,90,0,0,0,1,0,0,0,0,0,0,0,11,13.6,2.8,23.0,3.9,55,-3909,72395,1801,5710
402,30,5,2,True,2019-08-25T15:30:00Z,1,1,3,90,0,0,0,1,0,0,0,0,0,0,0,10,8.0,5.3,9.0,2.2,55,-924,74046,4913,5837
402,35,8,0,False,2019-09-01T13:00:00Z,3,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,-2941,72510,3347,6288
402,50,6,0,True,2019-09-14T14:00:00Z,2,5,5,90,0,0,0,5,0,0,0,0,0,0,0,8,11.8,4.3,7.0,2.3,55,-5242,68433,2525,7767
402,54,7,2,False,2019-09-22T13:00:00Z,1,1,6,90,0,0,0,1,0,0,0,0,0,0,0,15,37.0,16.7,12.0,6.6,54,-5355,63631,734,6089
402,70,18,6,True,2019-09-28T14:00:00Z,2,0,7,90,0,0,1,0,0,0,0,0,0,0,0,25,12.4,3.3,7.0,2.3,54,-3363,60781,1341,4704
402,75,11,1,False,2019-10-06T13:00:00Z,0,2,8,16,0,0,0,0,0,0,0,0,0,0,0,2,0.2,0.0,0.0,0.0,54,-2258,58676,841,3099
402,90,16,2,True,2019-10-19T14:00:00Z,1,1,9,90,0,0,0,1,0,0,0,0,0,0,0,15,13.2,2.9,2.0,1.8,54,59,59496,2392,2333
402,96,13,8,False,2019-10-27T14:00:00Z,1,1,10,83,1,0,0,1,0,0,0,0,0,0,0,16,42.0,22.9,25.0,9.0,54,-369,59346,1292,1661
402,101,1,2,False,2019-11-02T15:00:00Z,1,1,11,90,0,0,0,1,0,0,0,0,0,0,0,16,26.4,35.9,37.0,9.9,54,3908,64182,6190,2282
402,120,2,1,True,2019-11-10T14:00:00Z,2,1,12,90,0,0,0,1,0,0,0,1,0,0,0,2,4.0,2.1,4.0,1.0,54,6511,73259,9394,2883
402,123,3,2,False,2019-11-23T15:00:00Z,1,2,13,90,0,0,0,1,0,0,0,0,0,0,0,11,9.4,24.4,5.0,3.9,54,-703,70973,3850,4553
402,140,15,2,True,2019-12-01T14:00:00Z,1,1,14,90,0,0,0,1,0,0,0,0,0,0,0,16,8.8,13.3,12.0,3.4,54,813,72224,3909,3096
402,146,19,6,True,2019-12-04T19:30:00Z,2,0,15,90,0,0,1,0,0,0,0,0,0,0,0,23,20.6,19.8,23.0,6.3,54,-804,71483,1525,2329
402,153,4,4,False,2019-12-08T16:30:00Z,2,2,16,90,0,1,0,2,0,0,0,0,0,0,0,24,31.8,22.7,2.0,5.7,54,4151,76326,6283,2132
402,170,17,0,True,2019-12-15T14:00:00Z,1,2,17,90,0,0,0,2,0,0,0,1,0,0,0,10,14.4,4.8,30.0,4.9,54,1553,78443,5475,3922
402,177,14,1,False,2019-12-21T15:00:00Z,1,2,18,90,0,0,0,1,0,0,0,1,0,0,0,7,4.6,3.3,2.0,1.0,54,5118,89664,8707,3589
402,190,11,1,True,2019-12-27T19:45:00Z,3,2,19,72,0,0,0,2,0,0,0,0,0,0,0,9,11.4,32.6,28.0,7.2,54,-4562,79618,1185,5747
402,194,10,2,False,2019-12-29T16:30:00Z,1,0,20,90,0,0,0,1,0,0,0,0,0,0,0,13,14.8,11.9,2.0,2.9,54,-2881,77109,853,3734
402,209,18,0,False,2020-01-01T15:00:00Z,2,1,21,53,0,0,0,2,0,0,0,0,0,0,0,7,11.4,2.3,8.0,2.2,54,3895,81794,7868,3973
402,220,13,2,True,2020-01-11T15:00:00Z,1,1,22,90,0,0,0,1,0,0,0,0,0,0,0,17,8.6,3.9,2.0,1.5,54,-1934,80298,3812,5746
402,228,16,4,False,2020-01-18T15:00:00Z,2,3,23,90,0,1,0,2,0,0,0,0,0,0,0,15,12.0,11.0,4.0,2.7,54,-3559,77042,1298,4857
402,237,10,1,True,2020-01-23T20:00:00Z,1,2,24,90,0,0,0,2,0,0,0,0,0,0,0,11,7.4,2.3,6.0,1.6,54,-2292,74747,1465,3757
402,246,12,6,False,2020-02-01T17:30:00Z,0,0,25,90,0,0,1,0,0,0,0,0,0,0,0,17,22.4,1.8,0.0,2.4,54,-1352,74046,1675,3027
402,260,9,6,True,2020-02-14T20:00:00Z,0,0,26,90,0,0,1,0,0,0,0,0,0,0,0,27,33.2,19.3,12.0,6.5,54,345,74779,1878,1533
402,270,14,0,True,2020-02-23T14:00:00Z,None,None,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,4823,80224,6493,1670
