element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
406,5,9,0,False,2019-08-11T13:00:00Z,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,17215,0,0
406,20,12,0,True,2019-08-19T19:00:00Z,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-1812,17474,454,2266
406,30,5,0,True,2019-08-25T15:30:00Z,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-1694,16430,471,2165
406,35,8,0,False,2019-09-01T13:00:00Z,3,2,4,90,0,0,0,3,0,0,0,1,0,0,0,6,15.4,0.9,4.0,2.0,44,-1126,15870,451,1577
406,50,6,0,True,2019-09-14T14:00:00Z,2,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-263,16223,1138,1401
406,54,7,0,False,2019-09-22T13:00:00Z,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-682,15724,257,939
406,70,18,0,True,2019-09-28T14:00:00Z,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-894,14968,172,1066
406,75,11,6,False,2019-10-06T13:00:00Z,0,2,8,73,0,0,1,0,0,0,0,0,0,0,0,19,9.0,0.3,6.0,1.5,44,-792,14291,83,875
406,90,16,0,True,2019-10-19T14:00:00Z,1,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,1177,15960,1786,609
406,96,13,1,False,2019-10-27T14:00:00Z,1,1,10,6,0,0,0,0,0,0,0,0,0,0,0,5,4.4,14.8,0.0,1.9,43,-274,15655,416,690
406,101,1,1,False,2019-11-02T15:00:00Z,1,1,11,19,0,0,0,0,0,0,0,0,0,0,0,10,8.2,0.3,2.0,1.1,43,-212,15615,526,738
406,120,2,0,True,2019-11-10T14:00:00Z,2,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-194,15531,374,568
406,123,3,1,False,2019-11-23T15:00:00Z,1,2,13,1,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.3,0.0,0.0,43,-877,14629,146,1023
406,140,15,0,True,2019-12-01T14:00:00Z,1,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-181,14579,217,398
406,146,19,0,True,2019-12-04T19:30:00Z,2,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-189,14409,88,277
406,153,4,1,False,2019-12-08T16:30:00Z,2,2,16,1,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,43,-239,14231,130,369
406,170,17,0,True,2019-12-15T14:00:00Z,1,2,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,42,328,14773,759,431
406,177,14,0,False,2019-12-21T15:00:00Z,1,2,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,42,208,15225,638,430
406,190,11,1,True,2019-12-27T19:45:00Z,3,2,19,17,0,0,0,0,0,0,0,0,0,0,0,3,1.6,5.3,0.0,0.7,42,-88,15034,297,385
406,194,10,2,False,2019-12-29T16:30:00Z,1,0,20,90,0,0,0,1,0,0,0,0,0,0,0,12,19.2,10.8,4.0,3.4,42,-29,15075,253,282
406,209,18,1,False,2020-01-01T15:00:00Z,2,1,21,36,0,0,0,0,0,0,0,0,0,0,0,13,13.8,34.5,6.0,5.4,42,2375,17708,3112,737
406,220,13,1,True,2020-01-11T15:00:00Z,1,1,22,5,0,0,0,0,0,0,0,0,0,0,0,3,1.2,1.8,0.0,0.3,42,864,18766,1991,1127
406,228,16,0,False,2020-01-18T15:00:00Z,2,3,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,42,-1149,17617,546,1695
406,237,10,0,True,2020-01-23T20:00:00Z,1,2,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,42,-1401,16172,22,1423
406,246,12,0,False,2020-02-01T17:30:00Z,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,42,-1236,14981,28,1264
406,260,9,0,True,2020-02-14T20:00:00Z,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,42,-597,14430,14,611
406,270,14,0,True,2020-02-23T14:00:00Z,None,None,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,42,-522,13933,19,541
