element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
408,5,9,0,False,2019-08-11T13:00:00Z,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,0,94477,0,0
408,20,12,0,True,2019-08-19T19:00:00Z,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,-557,114213,9449,10006
408,30,5,0,True,2019-08-25T15:30:00Z,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,-232,121124,10173,10405
408,35,8,0,False,2019-09-01T13:00:00Z,3,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,4820,134646,14004,9184
408,50,6,0,True,2019-09-14T14:00:00Z,2,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,11062,154328,20819,9757
408,54,7,0,False,2019-09-22T13:00:00Z,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,3954,160618,10262,6308
408,70,18,0,True,2019-09-28T14:00:00Z,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,718,163833,8785,8067
408,75,11,0,False,2019-10-06T13:00:00Z,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,-1361,164079,5599,6960
408,90,16,0,True,2019-10-19T14:00:00Z,1,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,-1087,164446,5405,6492
408,96,13,0,False,2019-10-27T14:00:00Z,1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,-1235,163910,3143,4378
408,101,1,0,False,2019-11-02T15:00:00Z,1,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,-763,164678,4836,5599
408,120,2,0,True,2019-11-10T14:00:00Z,2,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,-2538,163055,2963,5501
408,123,3,0,False,2019-11-23T15:00:00Z,1,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,-2359,161678,3390,5749
408,140,15,2,True,2019-12-01T14:00:00Z,1,1,14,90,0,0,0,1,0,0,0,0,0,0,0,9,8.8,1.1,0.0,1.0,40,-3206,158801,1156,4362
408,146,19,0,True,2019-12-04T19:30:00Z,2,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,1585,161339,4202,2617
408,153,4,0,False,2019-12-08T16:30:00Z,2,2,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,389,162170,4319,3930
408,170,17,0,True,2019-12-15T14:00:00Z,1,2,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,1657,164970,6608,4951
408,177,14,0,False,2019-12-21T15:00:00Z,1,2,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,-941,165102,4159,5100
408,190,11,0,True,2019-12-27T19:45:00Z,3,2,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,-423,164800,3537,3960
408,194,10,2,False,2019-12-29T16:30:00Z,1,0,20,90,0,0,0,1,0,0,0,0,0,0,0,12,24.4,0.1,0.0,2.5,40,-1830,163004,1537,3367
408,209,18,0,False,2020-01-01T15:00:00Z,2,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,-676,163015,4857,5533
408,220,13,0,True,2020-01-11T15:00:00Z,1,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,-3017,160381,2701,5718
408,228,16,1,False,2020-01-18T15:00:00Z,2,3,23,4,0,0,0,0,0,0,0,0,0,0,0,3,2.0,0.0,0.0,0.2,40,-2307,158543,2572,4879
408,237,10,0,True,2020-01-23T20:00:00Z,1,2,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,-1797,157200,1935,3732
408,246,12,0,False,2020-02-01T17:30:00Z,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,-2761,154524,1739,4500
408,260,9,0,True,2020-02-14T20:00:00Z,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,-1377,153507,1263,2640
408,270,14,0,True,2020-02-23T14:00:00Z,None,None,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,-1357,152520,1491,2848
