element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
410,5,9,2,False,2019-08-11T13:00:00Z,0,0,1,75,0,0,1,0,0,0,0,0,0,0,0,4,1.6,12.3,25.0,3.9,65,0,760902,0,0
410,20,12,2,True,2019-08-19T19:00:00Z,1,1,2,85,0,0,0,1,0,0,0,0,0,0,0,-2,3.0,13.3,12.0,2.8,65,-67433,730131,28482,95915
410,30,5,2,True,2019-08-25T15:30:00Z,1,1,3,90,0,0,0,1,0,0,0,0,0,0,0,10,8.4,14.5,60.0,8.3,65,-78175,664219,53570,131745
410,35,8,1,False,2019-09-01T13:00:00Z,3,2,4,22,0,0,0,1,0,0,0,0,0,0,0,2,0.6,0.8,0.0,0.1,64,-157003,511093,16669,173672
410,50,6,2,True,2019-09-14T14:00:00Z,2,5,5,90,0,0,0,5,0,0,0,0,0,0,0,7,7.4,4.8,24.0,3.6,63,-112765,405106,12587,125352
410,54,7,9,False,2019-09-22T13:00:00Z,1,1,6,90,1,0,0,1,0,0,0,0,0,0,3,25,45.2,18.0,74.0,13.7,62,-74221,334585,4443,78664
410,70,18,0,True,2019-09-28T14:00:00Z,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,62,-14517,324244,16108,30625
410,75,11,0,False,2019-10-06T13:00:00Z,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,62,-63421,259164,746,64167
410,90,16,1,True,2019-10-19T14:00:00Z,1,1,9,28,0,0,0,0,0,0,0,0,0,0,0,4,4.4,11.2,8.0,2.4,61,-33020,228038,656,33676
410,96,13,2,False,2019-10-27T14:00:00Z,1,1,10,69,0,0,0,1,0,0,0,0,0,0,0,5,14.0,5.5,40.0,6.0,61,-2865,226875,4411,7276
410,101,1,1,False,2019-11-02T15:00:00Z,1,1,11,90,0,0,0,1,0,0,0,1,0,0,0,6,10.2,48.3,75.0,13.4,61,-4672,223003,5559,10231
410,120,2,1,True,2019-11-10T14:00:00Z,2,1,12,82,0,0,1,0,0,0,0,1,0,0,0,-9,11.6,8.0,95.0,11.5,61,-3021,220566,4933,7954
410,123,3,5,False,2019-11-23T15:00:00Z,1,2,13,88,0,1,0,1,0,0,0,0,0,0,0,21,18.8,41.6,27.0,8.7,61,-2857,218734,7180,10037
410,140,15,2,True,2019-12-01T14:00:00Z,1,1,14,90,0,0,0,1,0,0,0,0,0,0,0,5,1.6,10.0,22.0,3.4,61,2902,222450,8447,5545
410,146,19,1,True,2019-12-04T19:30:00Z,2,0,15,71,0,0,1,0,0,0,0,1,0,0,0,7,13.4,18.5,38.0,7.0,61,-1239,221481,4043,5282
410,153,4,13,False,2019-12-08T16:30:00Z,2,2,16,76,2,0,0,2,0,0,0,0,0,0,3,48,68.0,5.8,95.0,16.9,61,-5376,216385,3043,8419
410,170,17,2,True,2019-12-15T14:00:00Z,1,2,17,90,0,0,0,2,0,0,0,0,0,0,0,12,5.0,25.7,53.0,8.4,61,15958,234257,21767,5809
410,177,14,2,False,2019-12-21T15:00:00Z,1,2,18,76,0,0,0,1,0,0,0,0,0,0,0,8,3.2,5.7,18.0,2.7,61,13721,251929,20143,6422
410,190,11,2,True,2019-12-27T19:45:00Z,3,2,19,78,0,0,0,2,0,0,0,0,0,0,0,2,4.4,14.5,34.0,5.3,61,-9988,238937,3543,13531
410,194,10,2,False,2019-12-29T16:30:00Z,1,0,20,71,0,0,0,1,0,0,0,0,0,0,0,6,7.2,0.9,17.0,2.5,61,-6759,232837,2518,9277
410,209,18,1,False,2020-01-01T15:00:00Z,2,1,21,24,0,0,0,0,0,0,0,0,0,0,0,5,2.2,11.8,6.0,2.0,61,-2340,231512,8108,10448
410,220,13,0,True,2020-01-11T15:00:00Z,1,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,61,-17333,214335,2822,20155
410,228,16,0,False,2020-01-18T15:00:00Z,2,3,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,61,-17803,196606,129,17932
410,237,10,1,True,2020-01-23T20:00:00Z,1,2,24,13,0,0,0,1,0,0,0,0,0,0,0,-1,0.0,0.3,19.0,1.8,61,-5881,190995,70,5951
410,246,12,2,False,2020-02-01T17:30:00Z,0,0,25,69,0,0,1,0,0,0,0,0,0,0,0,8,16.6,33.0,55.0,10.5,61,-1471,190227,2015,3486
410,260,9,2,True,2020-02-14T20:00:00Z,0,0,26,77,0,0,1,0,0,0,0,0,0,0,0,3,6.4,1.4,21.0,2.9,61,848,191514,2555,1707
410,270,14,0,True,2020-02-23T14:00:00Z,None,None,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,61,23574,216418,26088,2514
