element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
412,5,9,0,False,2019-08-11T13:00:00Z,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,29942,0,0
412,20,12,0,True,2019-08-19T19:00:00Z,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-1796,33242,981,2777
412,30,5,0,True,2019-08-25T15:30:00Z,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-1494,33351,826,2320
412,35,8,0,False,2019-09-01T13:00:00Z,3,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-1365,32955,555,1920
412,50,6,0,True,2019-09-14T14:00:00Z,2,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-1176,32616,487,1663
412,54,7,0,False,2019-09-22T13:00:00Z,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-775,32307,189,964
412,70,18,0,True,2019-09-28T14:00:00Z,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-663,32124,447,1110
412,75,11,0,False,2019-10-06T13:00:00Z,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-606,31777,289,895
412,90,16,0,True,2019-10-19T14:00:00Z,1,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-594,31509,372,966
412,96,13,0,False,2019-10-27T14:00:00Z,1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-374,31256,148,522
412,101,1,0,False,2019-11-02T15:00:00Z,1,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-399,31050,210,609
412,120,2,0,True,2019-11-10T14:00:00Z,2,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-562,30601,104,666
412,123,3,0,False,2019-11-23T15:00:00Z,1,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-600,30192,220,820
412,140,15,0,True,2019-12-01T14:00:00Z,1,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-328,29982,139,467
412,146,19,0,True,2019-12-04T19:30:00Z,2,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-244,29794,91,335
412,153,4,0,False,2019-12-08T16:30:00Z,2,2,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-219,29684,128,347
412,170,17,0,True,2019-12-15T14:00:00Z,1,2,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-339,29462,133,472
412,177,14,0,False,2019-12-21T15:00:00Z,1,2,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-317,29255,125,442
412,190,11,0,True,2019-12-27T19:45:00Z,3,2,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-241,29135,84,325
412,194,10,0,False,2019-12-29T16:30:00Z,1,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-200,29022,87,287
412,209,18,0,False,2020-01-01T15:00:00Z,2,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-302,28853,153,455
412,220,13,0,True,2020-01-11T15:00:00Z,1,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-273,28760,205,478
412,228,16,0,False,2020-01-18T15:00:00Z,2,3,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-245,28658,164,409
412,237,10,0,True,2020-01-23T20:00:00Z,1,2,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-185,28521,128,313
412,246,12,0,False,2020-02-01T17:30:00Z,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-286,28362,135,421
412,260,9,0,True,2020-02-14T20:00:00Z,None,None,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-146,28296,94,240
