element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
415,5,9,3,False,2019-08-11T13:00:00Z,0,0,1,90,0,0,1,0,0,0,0,0,0,0,0,11,21.8,29.8,0.0,5.2,55,0,397333,0,0
415,20,12,8,True,2019-08-19T19:00:00Z,1,1,2,90,0,1,0,1,0,0,0,0,0,0,3,27,36.0,38.8,0.0,7.5,55,-19074,399959,18534,37608
415,30,5,1,True,2019-08-25T15:30:00Z,1,1,3,58,0,0,0,1,0,0,0,0,0,0,0,11,12.4,36.2,0.0,4.9,55,22620,437728,61634,39014
415,35,8,1,False,2019-09-01T13:00:00Z,3,2,4,31,0,0,0,1,0,0,0,0,0,0,0,7,14.4,0.9,0.0,1.5,55,-18792,424609,33246,52038
415,50,6,2,True,2019-09-14T14:00:00Z,2,5,5,90,0,0,0,5,0,0,0,0,0,0,0,24,29.8,58.0,0.0,8.8,55,-45474,381568,11532,57006
415,54,7,2,False,2019-09-22T13:00:00Z,1,1,6,90,0,0,0,1,0,0,0,0,0,0,0,8,19.2,17.3,0.0,3.7,55,-32066,352443,6025,38091
415,70,18,3,True,2019-09-28T14:00:00Z,2,0,7,90,0,0,1,0,0,0,0,0,0,0,0,15,8.0,7.3,0.0,1.5,54,-31914,322132,7126,39040
415,75,11,2,False,2019-10-06T13:00:00Z,0,2,8,90,0,0,1,0,0,0,0,1,0,0,0,12,15.6,16.0,0.0,3.2,54,-29983,292599,3273,33256
415,90,16,2,True,2019-10-19T14:00:00Z,1,1,9,90,0,0,0,1,0,0,0,0,0,0,0,9,9.0,4.6,1.0,1.5,53,-14180,280780,5334,19514
415,96,13,2,False,2019-10-27T14:00:00Z,1,1,10,90,0,0,0,1,0,0,0,0,0,0,0,11,23.8,31.4,7.0,6.2,53,-9534,272107,3243,12777
415,101,1,6,False,2019-11-02T15:00:00Z,1,1,11,90,0,1,0,1,0,0,0,0,0,0,1,26,40.2,56.1,27.0,12.3,53,-18467,253799,3031,21498
415,120,2,4,True,2019-11-10T14:00:00Z,2,1,12,90,0,1,0,1,0,0,0,1,0,0,0,19,35.2,30.3,4.0,7.0,53,10119,266497,17254,7135
415,123,3,10,False,2019-11-23T15:00:00Z,1,2,13,90,1,0,0,1,0,0,0,0,0,0,3,35,48.6,43.8,8.0,10.0,53,6242,273335,17823,11581
415,140,15,2,True,2019-12-01T14:00:00Z,1,1,14,90,0,0,0,1,0,0,0,0,0,0,0,18,20.4,48.4,1.0,7.0,53,52377,331368,59931,7554
415,146,19,8,True,2019-12-04T19:30:00Z,2,0,15,90,0,1,1,0,0,0,0,0,0,0,2,31,27.2,54.6,1.0,8.3,53,8292,337947,19655,11363
415,153,4,2,False,2019-12-08T16:30:00Z,2,2,16,90,0,0,0,2,0,0,0,0,0,0,0,15,10.4,22.8,0.0,3.3,54,52834,395451,61517,8683
415,170,17,1,True,2019-12-15T14:00:00Z,1,2,17,90,0,0,0,2,0,0,0,1,0,0,0,23,23.0,68.8,8.0,10.0,54,7256,404575,33591,26335
415,177,14,4,False,2019-12-21T15:00:00Z,1,2,18,90,0,1,0,1,0,0,0,1,0,0,0,22,22.6,30.0,18.0,7.1,54,8770,416178,30993,22223
415,190,11,2,True,2019-12-27T19:45:00Z,3,2,19,90,0,0,0,2,0,0,0,0,0,0,0,24,22.4,76.2,7.0,10.6,54,-1219,414502,21458,22677
415,194,10,2,False,2019-12-29T16:30:00Z,1,0,20,90,0,0,0,1,0,0,0,0,0,0,0,7,20.2,20.9,8.0,4.9,54,-13043,402206,9986,23029
415,209,18,6,False,2020-01-01T15:00:00Z,2,1,21,90,0,1,0,2,0,0,0,0,0,0,1,26,35.8,36.6,17.0,8.9,54,-9723,394632,21391,31114
415,220,13,6,True,2020-01-11T15:00:00Z,1,1,22,90,0,1,0,1,0,0,0,0,0,0,1,24,27.4,26.4,0.0,5.4,54,10429,407903,32832,22403
415,228,16,2,False,2020-01-18T15:00:00Z,2,3,23,90,0,0,0,2,0,0,0,0,0,0,0,13,4.8,17.8,0.0,2.3,54,11508,421043,30825,19317
415,237,10,2,True,2020-01-23T20:00:00Z,1,2,24,86,0,0,0,2,0,0,0,0,0,0,0,9,2.4,17.3,0.0,2.0,54,-21889,396091,10144,32033
415,246,12,2,False,2020-02-01T17:30:00Z,0,0,25,90,0,0,1,0,0,0,0,1,0,0,0,23,27.0,57.7,1.0,8.6,54,-13483,387018,13333,26816
415,260,9,0,True,2020-02-14T20:00:00Z,None,None,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-4275,384077,13154,17429
