element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
417,5,9,0,False,2019-08-11T13:00:00Z,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,0,17995,0,0
417,20,12,1,True,2019-08-19T19:00:00Z,1,1,2,45,0,0,0,0,0,0,0,0,0,0,0,4,5.8,15.9,6.0,2.8,50,-2103,18781,1140,3243
417,30,5,1,True,2019-08-25T15:30:00Z,1,1,3,14,0,0,0,0,0,0,0,0,0,0,0,1,0.6,0.8,8.0,0.9,50,474,20573,3360,2886
417,35,8,2,False,2019-09-01T13:00:00Z,3,2,4,90,0,0,0,3,0,0,0,0,0,0,0,6,13.4,1.3,2.0,1.7,50,-457,20863,2396,2853
417,50,6,1,True,2019-09-14T14:00:00Z,2,5,5,55,0,0,0,4,0,0,0,0,0,0,0,7,12.6,15.8,0.0,2.8,50,1265,23192,3918,2653
417,54,7,8,False,2019-09-22T13:00:00Z,1,1,6,90,0,1,0,1,0,0,0,0,0,0,3,25,35.6,49.8,29.0,11.4,50,-801,22650,1385,2186
417,70,18,3,True,2019-09-28T14:00:00Z,2,0,7,86,0,0,1,0,0,0,0,0,0,0,0,9,14.8,20.5,8.0,4.3,50,3405,27065,5359,1954
417,75,11,16,False,2019-10-06T13:00:00Z,0,2,8,90,2,0,1,0,0,0,0,0,0,0,3,59,84.4,14.3,26.0,12.5,50,-461,26625,2170,2631
417,90,16,2,True,2019-10-19T14:00:00Z,1,1,9,90,0,0,0,1,0,0,0,0,0,0,0,15,14.4,3.7,1.0,1.9,51,169903,214506,181393,11490
417,96,13,2,False,2019-10-27T14:00:00Z,1,1,10,90,0,0,0,1,0,0,0,0,0,0,0,15,16.6,33.6,30.0,8.0,51,49246,259814,65330,16084
417,101,1,2,False,2019-11-02T15:00:00Z,1,1,11,90,0,0,0,1,0,0,0,0,0,0,0,3,9.8,27.3,6.0,4.3,51,144,260912,38894,38750
417,120,2,5,True,2019-11-10T14:00:00Z,2,1,12,90,0,1,0,1,0,0,0,0,0,0,0,26,30.2,18.8,12.0,6.1,51,37799,305096,60034,22235
417,123,3,5,False,2019-11-23T15:00:00Z,1,2,13,90,0,1,0,1,0,0,0,0,0,0,0,26,32.2,34.3,14.0,8.1,52,-19087,281240,30448,49535
417,140,15,2,True,2019-12-01T14:00:00Z,1,1,14,90,0,0,0,1,0,0,0,0,0,0,0,9,13.8,16.7,6.0,3.7,52,57474,346016,71647,14173
417,146,19,3,True,2019-12-04T19:30:00Z,2,0,15,88,0,0,1,0,0,0,0,0,0,0,0,8,17.2,27.3,8.0,5.3,52,8379,353223,26513,18134
417,153,4,2,False,2019-12-08T16:30:00Z,2,2,16,90,0,0,0,2,0,0,0,0,0,0,0,18,14.0,3.4,50.0,6.7,52,-10788,342825,17359,28147
417,170,17,10,True,2019-12-15T14:00:00Z,1,2,17,90,1,0,0,2,0,0,0,0,0,0,3,31,51.2,18.8,57.0,12.7,52,-21012,322659,15449,36461
417,177,14,2,False,2019-12-21T15:00:00Z,1,2,18,90,0,0,0,1,0,0,0,0,0,0,0,15,23.2,49.9,46.0,11.9,53,138976,491547,150649,11673
417,190,11,13,True,2019-12-27T19:45:00Z,3,2,19,90,1,1,0,2,0,0,0,0,0,0,3,53,70.4,46.1,57.0,17.4,53,18100,484896,56529,38429
417,194,10,1,False,2019-12-29T16:30:00Z,1,0,20,32,0,0,0,0,0,0,0,0,0,0,0,7,10.8,1.3,8.0,2.0,54,176506,669995,191442,14936
417,209,18,2,False,2020-01-01T15:00:00Z,2,1,21,90,0,0,0,2,0,0,0,0,0,0,0,16,21.4,32.5,8.0,6.2,56,470452,1152382,502389,31937
417,220,13,2,True,2020-01-11T15:00:00Z,1,1,22,90,0,0,0,1,0,0,0,0,0,0,0,11,14.6,26.4,6.0,4.7,57,115389,1275191,202086,86697
417,228,16,10,False,2020-01-18T15:00:00Z,2,3,23,90,0,2,0,2,0,0,0,0,0,0,2,35,44.0,26.5,20.0,9.1,57,-72037,1205756,84167,156204
417,237,10,5,True,2020-01-23T20:00:00Z,1,2,24,90,0,1,0,2,0,0,0,0,0,0,0,30,27.6,40.3,22.0,9.0,57,78968,1277984,151804,72836
417,246,12,3,False,2020-02-01T17:30:00Z,0,0,25,75,0,0,1,0,0,0,0,0,0,0,0,8,9.4,30.4,24.0,6.4,58,236611,1543979,284618,48007
417,260,9,1,True,2020-02-14T20:00:00Z,0,0,26,26,0,0,0,0,0,0,0,0,0,0,0,6,12.0,24.9,27.0,6.4,58,-68408,1468100,74286,142694
417,270,14,0,True,2020-02-23T14:00:00Z,None,None,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,58,131680,1612794,197837,66157
