element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
420,5,9,3,False,2019-08-11T13:00:00Z,0,0,1,90,0,0,1,0,0,0,0,0,0,0,0,13,17.8,21.9,23.0,6.3,45,0,840922,0,0
420,20,12,2,True,2019-08-19T19:00:00Z,1,1,2,90,0,0,0,1,0,0,0,0,0,0,0,4,0.2,3.1,8.0,1.1,45,74728,995077,115925,41197
420,30,5,1,True,2019-08-25T15:30:00Z,1,1,3,31,0,0,0,0,0,0,0,0,0,0,0,3,2.0,1.3,0.0,0.3,45,-19461,983637,82979,102440
420,35,8,2,False,2019-09-01T13:00:00Z,3,2,4,90,0,0,0,3,0,0,0,0,0,0,0,10,7.6,1.7,4.0,1.3,45,-103608,881886,39222,142830
420,50,6,1,True,2019-09-14T14:00:00Z,2,5,5,45,0,0,0,3,0,0,0,0,0,0,0,2,2.4,4.3,2.0,0.9,45,-67474,822159,37517,104991
420,54,7,0,False,2019-09-22T13:00:00Z,1,1,6,64,0,0,0,1,1,0,0,0,0,0,0,7,5.2,2.9,38.0,4.6,45,-55201,769709,18819,74020
420,70,18,3,True,2019-09-28T14:00:00Z,2,0,7,90,0,0,1,0,0,0,0,0,0,0,0,9,23.2,4.0,2.0,2.9,45,-61778,708925,12653,74431
420,75,11,3,False,2019-10-06T13:00:00Z,0,2,8,90,0,0,1,0,0,0,0,0,0,0,0,5,7.8,0.9,0.0,0.9,44,-15499,699045,32342,47841
420,90,16,2,True,2019-10-19T14:00:00Z,1,1,9,90,0,0,0,1,0,0,0,0,0,0,0,8,8.0,2.8,2.0,1.3,44,-39571,658549,24897,64468
420,96,13,2,False,2019-10-27T14:00:00Z,1,1,10,90,0,0,0,1,0,0,0,0,0,0,0,12,5.8,1.6,2.0,0.9,44,4194,667616,26945,22751
420,101,1,2,False,2019-11-02T15:00:00Z,1,1,11,90,0,0,0,1,0,0,0,0,0,0,0,18,19.8,0.4,18.0,3.8,44,3215,673571,39107,35892
420,120,2,2,True,2019-11-10T14:00:00Z,2,1,12,90,0,0,0,1,0,0,0,0,0,0,0,18,31.4,4.6,0.0,3.6,44,267,673083,24022,23755
420,123,3,2,False,2019-11-23T15:00:00Z,1,2,13,90,0,0,0,1,0,0,0,0,0,0,0,14,17.2,1.1,0.0,1.8,44,5101,681993,36660,31559
420,140,15,1,True,2019-12-01T14:00:00Z,1,1,14,90,0,0,0,1,0,0,0,1,0,0,0,8,16.4,0.9,18.0,3.5,44,-6209,676697,25230,31439
420,146,19,11,True,2019-12-04T19:30:00Z,2,0,15,90,1,0,1,0,0,0,0,0,0,0,3,36,46.6,1.3,39.0,8.7,44,-17047,659447,9025,26072
420,153,4,2,False,2019-12-08T16:30:00Z,2,2,16,90,0,0,0,2,0,0,0,0,0,0,0,14,16.4,0.3,0.0,1.7,44,28955,692460,42465,13510
420,170,17,1,True,2019-12-15T14:00:00Z,1,2,17,90,0,0,0,2,0,0,0,1,0,0,0,7,13.0,1.3,4.0,1.8,44,29263,724358,50925,21662
420,177,14,2,False,2019-12-21T15:00:00Z,1,2,18,90,0,0,0,1,0,0,0,0,0,0,0,12,10.8,1.0,0.0,1.2,44,1384,719869,32491,31107
420,190,11,2,True,2019-12-27T19:45:00Z,3,2,19,90,0,0,0,2,0,0,0,0,0,0,0,11,22.0,2.0,7.0,3.1,44,-3562,722948,26390,29952
420,194,10,1,False,2019-12-29T16:30:00Z,1,0,20,57,0,0,0,1,0,0,0,0,0,0,0,3,4.8,0.3,4.0,0.9,44,-681,723416,23620,24301
420,209,18,2,False,2020-01-01T15:00:00Z,2,1,21,90,0,0,0,2,0,0,0,0,0,0,0,11,8.2,23.3,2.0,3.4,44,2348,727249,43123,40775
420,220,13,10,True,2020-01-11T15:00:00Z,1,1,22,90,1,0,0,1,0,0,0,0,0,0,3,36,48.8,11.3,17.0,7.7,44,-25600,702244,23777,49377
