element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
431,9,12,1,False,2019-08-11T15:30:00Z,4,0,1,32,0,0,0,3,0,0,0,0,0,0,0,4,5.0,11.8,8.0,2.5,75,0,498277,0,0
431,14,9,2,True,2019-08-18T15:30:00Z,1,1,2,70,0,0,0,1,0,0,0,0,0,0,0,3,6.2,3.5,4.0,1.4,75,-12103,546771,69834,81937
431,26,14,5,False,2019-08-24T11:30:00Z,2,3,3,83,0,1,0,2,0,0,0,0,0,0,0,23,22.8,36.4,38.0,9.7,75,-72901,485563,40337,113238
431,33,15,5,True,2019-08-31T14:00:00Z,2,2,4,90,0,1,0,2,0,0,0,0,0,0,0,14,11.0,4.1,41.0,5.6,75,-1818,500978,68185,70003
431,50,20,0,False,2019-09-14T14:00:00Z,2,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,75,-54358,452500,20415,74773
431,53,10,0,True,2019-09-22T15:30:00Z,1,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,74,-104528,350454,4618,109146
431,63,4,0,True,2019-09-28T14:00:00Z,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,73,-79576,275115,5288,84864
431,78,16,4,False,2019-10-06T13:00:00Z,1,4,8,10,0,1,0,0,0,0,0,0,0,0,0,16,17.4,13.5,2.0,3.3,72,-50537,226758,1964,52501
431,83,13,1,True,2019-10-19T14:00:00Z,1,0,9,26,0,0,0,0,0,0,0,0,0,0,0,2,6.0,14.3,25.0,4.5,72,-17215,211852,2389,19604
431,93,5,20,False,2019-10-26T16:30:00Z,2,4,10,90,3,0,0,2,0,0,0,0,0,0,3,70,117.2,40.8,110.0,26.8,71,-6574,206385,2007,8581
431,109,18,9,False,2019-11-02T17:30:00Z,1,2,11,82,1,0,0,1,0,0,0,0,0,0,2,36,45.6,10.3,71.0,12.7,72,126336,346604,134079,7743
431,112,7,8,True,2019-11-09T12:30:00Z,2,0,12,79,1,0,1,0,0,0,0,0,0,0,0,24,48.0,38.1,100.0,18.6,73,416566,801573,425067,8501
431,127,11,2,False,2019-11-23T17:30:00Z,2,1,13,90,0,0,0,2,0,0,0,0,0,0,0,10,6.0,16.6,6.0,2.9,74,85948,856189,173633,87685
431,132,19,2,True,2019-11-30T15:00:00Z,0,1,14,90,0,0,0,1,0,0,0,0,0,0,0,-1,2.6,29.3,45.0,7.7,75,213243,1089500,239963,26720
431,147,2,2,True,2019-12-04T19:30:00Z,2,1,15,85,0,0,0,1,0,0,0,0,0,0,0,12,13.8,24.6,94.0,13.2,75,31811,1115853,86774,54963
431,154,8,2,False,2019-12-07T12:30:00Z,3,1,16,90,0,0,0,3,0,0,0,0,0,0,0,-3,11.4,12.1,30.0,5.4,75,-75504,1041646,49623,125127
431,163,3,3,True,2019-12-14T15:00:00Z,0,1,17,64,0,0,1,0,0,0,0,0,0,0,0,5,3.6,2.0,72.0,7.8,74,-122891,922645,38871,161762
431,178,17,0,False,2019-12-22T16:30:00Z,0,2,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,73,-161133,748452,15621,176754
431,183,16,1,True,2019-12-26T15:00:00Z,0,2,19,23,0,0,0,1,0,0,0,0,0,0,0,1,5.8,1.3,19.0,2.6,72,-112676,654401,14169,126845
431,191,1,0,False,2019-12-29T14:00:00Z,1,2,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,71,-106979,549334,4426,111405
431,202,4,3,False,2020-01-01T12:30:00Z,1,1,21,65,0,0,1,0,0,0,0,0,0,0,0,1,13.2,13.2,54.0,8.0,70,-130692,420106,2112,132804
431,213,5,0,True,2020-01-11T15:00:00Z,3,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,70,-54208,367669,5083,59291
431,226,13,0,False,2020-01-18T17:30:00Z,1,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,69,-60637,306989,174,60811
431,238,1,0,True,2020-01-21T20:15:00Z,2,2,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,69,-17617,290068,122,17739
431,244,9,0,False,2020-02-01T12:30:00Z,2,2,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,69,-16552,273955,174,16726
431,254,12,0,True,2020-02-17T20:00:00Z,0,2,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,69,-5333,269046,456,5789
431,263,17,0,True,2020-02-22T12:30:00Z,2,1,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,69,-5625,263538,379,6004
