element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
432,9,12,2,False,2019-08-11T15:30:00Z,4,0,1,90,0,0,0,4,0,0,0,0,0,0,0,22,18.0,29.0,0.0,4.7,55,0,49783,0,0
432,14,9,1,True,2019-08-18T15:30:00Z,1,1,2,19,0,0,0,0,0,0,0,0,0,0,0,4,2.8,0.4,0.0,0.3,55,4088,73950,14603,10515
432,26,14,5,False,2019-08-24T11:30:00Z,2,3,3,90,0,1,0,2,0,0,0,0,0,0,0,31,37.4,26.5,20.0,8.4,55,-9271,68082,5894,15165
432,33,15,2,True,2019-08-31T14:00:00Z,2,2,4,82,0,0,0,1,0,0,0,0,0,0,0,15,4.4,4.8,8.0,1.7,55,9984,86316,18966,8982
432,50,20,2,False,2019-09-14T14:00:00Z,2,5,5,69,0,0,0,1,0,0,0,0,0,0,0,15,5.8,4.3,0.0,1.0,55,-12884,73876,5108,17992
432,53,10,1,True,2019-09-22T15:30:00Z,1,2,6,90,0,0,0,2,0,0,0,1,0,0,0,10,8.0,4.3,8.0,2.0,55,-3336,72713,3211,6547
432,63,4,1,True,2019-09-28T14:00:00Z,2,0,7,22,0,0,0,0,0,0,0,0,0,0,0,11,7.6,21.2,0.0,2.9,55,-2468,71749,4574,7042
432,78,16,1,False,2019-10-06T13:00:00Z,1,4,8,10,0,0,0,0,0,0,0,0,0,0,0,6,2.6,0.6,0.0,0.3,54,-5049,67407,1676,6725
432,83,13,1,True,2019-10-19T14:00:00Z,1,0,9,47,0,0,0,0,0,0,0,0,0,0,0,17,13.0,3.0,0.0,1.6,54,-6907,60874,604,7511
432,93,5,2,False,2019-10-26T16:30:00Z,2,4,10,90,0,0,0,2,0,0,0,0,0,0,0,14,23.6,16.3,8.0,4.8,53,-1205,60228,918,2123
432,109,18,2,False,2019-11-02T17:30:00Z,1,2,11,90,0,0,0,1,0,0,0,0,0,0,0,22,28.4,24.4,18.0,7.1,53,-532,60354,2210,2742
432,112,7,2,True,2019-11-09T12:30:00Z,2,0,12,90,0,0,1,0,0,0,0,1,0,0,0,17,17.4,16.6,10.0,4.4,53,2735,63997,4959,2224
432,127,11,7,False,2019-11-23T17:30:00Z,2,1,13,90,0,1,0,2,0,0,0,0,0,0,2,34,38.6,22.8,0.0,6.1,53,-393,64190,3211,3604
432,132,19,2,True,2019-11-30T15:00:00Z,0,1,14,90,0,0,0,1,0,0,0,0,0,0,0,17,21.8,18.5,7.0,4.7,53,6729,72285,8523,1794
432,147,2,1,True,2019-12-04T19:30:00Z,2,1,15,90,0,0,0,1,0,0,0,1,0,0,0,10,22.6,45.8,2.0,7.0,53,1202,73525,3876,2674
432,154,8,9,False,2019-12-07T12:30:00Z,3,1,16,90,1,0,0,3,0,0,0,0,0,0,2,34,57.0,32.4,8.0,9.7,53,-1419,72530,2545,3964
432,163,3,0,True,2019-12-14T15:00:00Z,0,1,17,25,0,0,0,1,0,0,0,1,0,0,0,4,5.4,5.8,7.0,1.8,53,16749,92239,20092,3343
432,178,17,5,False,2019-12-22T16:30:00Z,0,2,18,67,0,1,1,0,0,0,0,1,0,0,0,21,27.2,15.3,0.0,4.3,53,-3964,87440,4740,8704
432,183,16,0,True,2019-12-26T15:00:00Z,0,2,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,53,-10103,78079,1257,11360
432,191,1,2,False,2019-12-29T14:00:00Z,1,2,20,69,0,0,0,1,0,0,0,0,0,0,0,13,7.0,4.8,1.0,1.3,53,111,79087,3082,2971
432,202,4,0,False,2020-01-01T12:30:00Z,1,1,21,17,0,0,0,1,0,0,0,1,0,0,0,-1,3.8,11.3,0.0,1.5,53,-814,78855,3367,4181
432,213,5,0,True,2020-01-11T15:00:00Z,3,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,53,-3903,75526,2060,5963
432,226,13,0,False,2020-01-18T17:30:00Z,1,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,53,-3466,72506,1401,4867
432,238,1,2,True,2020-01-21T20:15:00Z,2,2,24,65,0,0,0,1,0,0,0,0,0,0,0,15,6.8,16.3,44.0,6.7,53,-2216,70484,757,2973
432,244,9,0,False,2020-02-01T12:30:00Z,2,2,25,16,0,0,0,0,0,0,0,1,0,0,0,1,1.4,1.6,0.0,0.3,53,-1425,69510,983,2408
432,254,12,0,True,2020-02-17T20:00:00Z,None,None,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,53,-1404,68315,548,1952
