element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
434,1,10,1,False,2019-08-09T19:00:00Z,4,1,1,7,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.3,2.0,0.2,55,0,11189,0,0
434,17,13,0,True,2019-08-17T14:00:00Z,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,-2031,10230,866,2897
434,26,6,0,True,2019-08-24T11:30:00Z,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-3495,6751,84,3579
434,40,19,1,False,2019-08-31T14:00:00Z,2,0,4,13,0,0,0,0,0,0,0,0,0,0,0,-2,0.2,2.1,7.0,0.9,54,-1663,5238,166,1829
434,46,11,1,True,2019-09-14T16:30:00Z,3,2,5,7,0,0,0,1,0,0,0,0,0,0,0,3,0.0,0.3,0.0,0.0,54,-246,5267,519,765
434,52,5,1,False,2019-09-21T14:00:00Z,2,0,6,15,0,0,0,0,0,0,0,0,0,0,0,2,0.0,3.1,2.0,0.5,54,168,5607,764,596
434,64,7,1,False,2019-09-28T14:00:00Z,2,0,7,24,0,0,0,1,0,0,0,0,0,0,0,-1,0.0,0.1,10.0,0.9,54,-83,5646,525,608
434,77,2,5,True,2019-10-05T14:00:00Z,1,5,8,6,1,0,0,0,0,0,0,0,0,0,0,25,33.0,0.3,19.0,5.2,54,-75,5667,350,425
434,82,3,0,False,2019-10-19T14:00:00Z,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,221,6074,626,405
434,97,12,0,True,2019-10-27T16:30:00Z,1,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-104,5988,197,301
434,104,4,1,False,2019-11-02T15:00:00Z,2,0,11,15,0,0,0,1,0,0,0,0,0,0,0,2,0.0,0.0,2.0,0.2,54,-202,5869,288,490
434,117,18,1,True,2019-11-08T20:00:00Z,0,2,12,28,0,0,0,0,0,0,0,0,0,0,0,3,0.2,1.5,0.0,0.2,54,-151,5741,167,318
434,126,8,0,False,2019-11-23T15:00:00Z,0,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-404,5345,102,506
434,137,1,0,True,2019-12-01T14:00:00Z,2,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-334,5022,13,347
434,150,16,0,False,2019-12-04T19:30:00Z,2,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-168,4880,19,187
434,157,15,0,True,2019-12-08T14:00:00Z,1,2,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-153,4731,7,160
434,165,9,0,False,2019-12-14T15:00:00Z,1,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-193,4536,8,201
434,177,20,0,True,2019-12-21T15:00:00Z,1,2,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-110,4429,28,138
434,181,2,0,False,2019-12-26T15:00:00Z,1,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-84,4354,7,91
434,197,17,0,True,2019-12-28T17:30:00Z,2,2,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-42,4317,7,49
434,207,7,0,True,2020-01-01T17:30:00Z,1,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,53,-59,4259,24,83
434,217,12,0,False,2020-01-11T15:00:00Z,4,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,53,-46,4216,51,97
