element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
441,2,3,1,False,2019-08-10T14:00:00Z,1,1,1,12,0,0,0,0,0,0,0,0,0,0,0,3,4.0,6.0,0.0,1.0,55,0,8298,0,0
441,18,7,2,True,2019-08-18T13:00:00Z,1,0,2,61,0,0,1,0,0,0,0,1,0,0,0,2,6.4,13.4,10.0,3.0,55,-973,8156,172,1145
441,27,9,2,True,2019-08-24T14:00:00Z,1,2,3,90,0,0,0,2,0,0,0,0,0,0,0,12,11.0,20.1,4.0,3.5,55,-603,7986,638,1241
441,33,6,2,False,2019-08-31T14:00:00Z,2,2,4,78,0,0,0,2,0,0,0,0,0,0,0,3,11.2,14.1,3.0,2.8,54,-780,7463,248,1028
441,47,16,0,True,2019-09-14T14:00:00Z,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-321,7389,489,810
441,55,8,0,False,2019-09-21T14:00:00Z,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-730,6707,77,807
441,68,10,0,True,2019-09-28T11:30:00Z,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,53,-664,6135,94,758
441,79,18,0,False,2019-10-05T14:00:00Z,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,53,-482,5709,90,572
441,88,1,1,True,2019-10-21T19:00:00Z,1,0,9,12,0,0,0,0,0,0,0,0,0,0,0,4,3.2,0.3,0.0,0.4,52,-322,5435,50,372
441,100,19,0,False,2019-10-26T14:00:00Z,1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,52,-144,5332,59,203
441,108,5,0,True,2019-11-02T15:00:00Z,3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,52,-244,5120,52,296
441,119,17,1,False,2019-11-09T15:00:00Z,1,1,12,1,0,0,0,0,0,0,0,0,0,0,0,2,1.0,0.0,0.0,0.1,52,-144,5025,72,216
441,128,12,0,True,2019-11-24T16:30:00Z,3,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,52,-87,5000,111,198
441,140,20,1,False,2019-12-01T14:00:00Z,1,1,14,1,0,0,0,0,0,0,0,0,0,0,0,2,1.0,0.0,0.0,0.1,52,-72,4972,99,171
441,145,13,0,True,2019-12-05T19:30:00Z,0,2,15,15,0,0,0,0,0,0,0,1,0,0,0,0,3.6,15.3,0.0,1.9,52,-36,4956,84,120
441,157,14,0,False,2019-12-08T14:00:00Z,1,2,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,51,-85,4895,67,152
441,168,2,0,True,2019-12-14T15:00:00Z,2,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,51,-36,4906,98,134
441,173,4,1,False,2019-12-21T15:00:00Z,0,1,18,52,0,0,0,0,0,0,0,0,0,0,0,4,2.2,5.9,0.0,0.8,51,-3,4976,190,193
441,188,18,0,True,2019-12-26T15:00:00Z,1,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,51,19,5023,156,137
441,195,11,0,False,2019-12-29T18:00:00Z,2,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,51,-72,4968,69,141
441,204,10,0,False,2020-01-02T20:00:00Z,2,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,51,-64,4954,103,167
441,218,19,0,True,2020-01-10T20:00:00Z,1,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,51,-50,4949,119,169
441,221,1,0,False,2020-01-18T15:00:00Z,1,1,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,51,-42,4953,130,172
441,236,11,0,True,2020-01-21T19:30:00Z,0,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,51,-27,4949,74,101
441,243,7,0,False,2020-02-01T15:00:00Z,0,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,51,-45,4940,110,155
441,258,3,0,True,2020-02-09T14:00:00Z,None,None,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,51,-20,4960,95,115
