element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
443,8,19,3,False,2019-08-10T11:30:00Z,0,5,1,90,0,0,1,0,0,0,0,0,0,0,0,15,12.2,3.1,0.0,1.5,55,0,72406,0,0
443,16,17,2,True,2019-08-17T16:30:00Z,2,2,2,77,0,0,0,2,0,0,0,0,0,0,0,16,23.4,24.2,7.0,5.5,55,11968,108416,28454,16486
443,22,3,1,False,2019-08-25T13:00:00Z,1,3,3,32,0,0,0,0,0,0,0,0,0,0,0,6,3.0,2.0,18.0,2.3,55,-8588,103766,12341,20929
443,37,4,3,True,2019-08-31T14:00:00Z,4,0,4,90,0,0,1,0,0,0,0,0,0,0,0,20,23.4,18.7,4.0,4.6,55,-13759,92523,6156,19915
443,46,14,8,False,2019-09-14T16:30:00Z,3,2,5,90,1,0,0,3,0,0,0,0,0,0,1,38,57.6,27.7,26.0,11.1,55,-8058,87313,5810,13868
443,57,18,3,True,2019-09-21T14:00:00Z,8,0,6,90,0,0,1,0,0,0,0,0,0,0,0,19,17.2,14.3,8.0,4.0,55,19019,111773,25017,5998
443,65,8,1,False,2019-09-28T16:30:00Z,1,3,7,90,0,0,0,1,0,0,0,1,0,0,0,16,16.2,24.9,0.0,4.1,55,1551,114364,15442,13891
443,75,20,1,True,2019-10-06T13:00:00Z,0,2,8,90,0,0,0,2,0,0,0,1,0,0,0,14,18.4,50.2,4.0,7.3,55,-2196,113681,9684,11880
443,84,7,3,False,2019-10-19T16:30:00Z,0,2,9,90,0,0,1,0,0,0,0,0,0,0,0,17,26.6,14.8,2.0,4.3,55,-6058,109085,5070,11128
443,95,2,0,True,2019-10-26T11:30:00Z,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,-14476,94963,1881,16357
443,107,16,0,True,2019-11-02T15:00:00Z,2,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-20998,73961,121,21119
443,114,10,1,False,2019-11-10T16:30:00Z,3,1,12,90,0,0,0,3,0,0,0,1,0,0,0,14,17.0,4.7,2.0,2.4,54,-6826,67570,96,6922
443,127,6,4,True,2019-11-23T17:30:00Z,2,1,13,51,0,1,0,1,0,0,0,0,0,0,0,24,29.8,12.2,0.0,4.2,54,-445,68093,2590,3035
443,136,13,1,False,2019-11-30T12:30:00Z,2,2,14,6,0,0,0,1,0,0,0,0,0,0,0,3,3.0,1.3,0.0,0.4,54,580,69114,2558,1978
443,142,5,9,False,2019-12-03T20:15:00Z,1,4,15,90,1,0,0,1,0,0,0,0,0,0,2,39,59.6,10.8,7.0,7.7,54,-774,68506,1123,1897
443,155,12,2,True,2019-12-07T17:30:00Z,1,2,16,85,0,0,0,2,0,0,0,0,0,0,0,18,16.6,28.7,11.0,5.6,54,6251,75683,7649,1398
443,161,1,2,False,2019-12-15T16:30:00Z,0,3,17,90,0,0,1,0,0,0,0,1,0,0,0,7,14.4,15.8,0.0,3.0,54,2174,78772,5702,3528
443,175,9,1,True,2019-12-21T17:30:00Z,3,1,18,11,0,0,0,0,0,0,0,0,0,0,0,9,1.8,1.9,0.0,0.4,54,2619,82104,6136,3517
443,190,20,2,False,2019-12-27T19:45:00Z,3,2,19,90,0,0,0,3,0,0,0,0,0,0,0,15,11.0,2.6,0.0,1.4,54,-598,81961,3472,4070
443,195,15,3,True,2019-12-29T18:00:00Z,2,0,20,90,0,0,1,0,0,0,0,0,0,0,0,20,25.2,29.8,8.0,6.3,54,275,82793,2935,2660
443,205,8,2,True,2020-01-01T17:30:00Z,2,1,21,90,0,0,0,1,0,0,0,0,0,0,0,14,13.0,3.8,0.0,1.7,54,-1237,82034,2826,4063
443,211,2,3,False,2020-01-12T16:30:00Z,1,6,22,70,0,0,1,0,0,0,0,0,0,0,0,14,11.6,16.8,3.0,3.1,54,-2009,80589,2399,4408
443,225,7,1,True,2020-01-18T15:00:00Z,2,2,23,1,0,0,0,1,0,0,0,0,0,0,0,3,0.6,0.7,0.0,0.1,54,-657,80435,2921,3578
443,236,15,2,False,2020-01-21T19:30:00Z,0,1,24,90,0,0,1,0,0,0,0,1,0,0,0,8,8.8,28.2,12.0,4.9,54,-2122,78494,1133,3255
443,248,17,1,False,2020-02-02T16:30:00Z,2,0,25,90,0,0,0,2,0,0,0,1,0,0,0,1,0.0,16.2,6.0,2.1,54,-1992,76885,1310,3302
443,256,19,10,True,2020-02-19T19:30:00Z,2,0,26,90,1,0,1,0,0,0,0,0,0,0,2,35,52.2,16.8,27.0,9.6,54,-198,77081,1624,1822
443,265,9,3,False,2020-02-22T17:30:00Z,0,1,27,90,0,0,1,0,0,0,0,0,0,0,0,15,11.8,47.4,3.0,6.2,54,3762,81399,5632,1870
