element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
451,3,16,1,True,2019-08-10T14:00:00Z,3,0,1,6,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,60,0,25916,0,0
451,11,1,1,False,2019-08-17T11:30:00Z,2,1,2,29,0,0,0,1,0,0,0,0,0,0,0,1,0.0,0.0,10.0,1.0,59,-5492,23227,931,6423
451,30,20,1,False,2019-08-25T15:30:00Z,1,1,3,12,0,0,0,1,0,0,0,0,0,0,0,4,2.2,0.1,0.0,0.2,59,-4713,19393,1097,5810
451,32,10,1,True,2019-08-31T16:30:00Z,0,3,4,17,0,0,0,1,0,0,0,0,0,0,0,0,4.0,0.5,17.0,2.2,58,-3158,17038,994,4152
451,43,4,1,False,2019-09-14T14:00:00Z,1,1,5,24,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,58,-1729,15906,820,2549
451,52,14,1,True,2019-09-21T14:00:00Z,2,0,6,11,0,0,0,0,0,0,0,0,0,0,0,2,1.0,0.8,0.0,0.2,57,-1129,14988,443,1572
451,61,2,4,False,2019-09-28T14:00:00Z,2,2,7,45,1,0,0,1,0,0,0,1,0,0,0,24,35.0,10.3,19.0,6.4,57,-891,14386,476,1367
451,73,8,1,True,2019-10-05T14:00:00Z,1,0,8,17,0,0,0,0,0,0,0,0,0,0,0,7,7.0,0.6,17.0,2.5,57,367,15104,1073,706
451,86,9,2,False,2019-10-19T14:00:00Z,2,1,9,82,0,0,0,2,0,0,0,0,0,0,0,3,0.2,1.8,5.0,0.7,57,-502,14740,500,1002
451,93,6,6,True,2019-10-26T16:30:00Z,2,4,10,90,1,0,0,4,0,0,0,0,0,0,0,26,39.4,5.3,42.0,8.7,57,73,14946,588,515
451,108,15,2,False,2019-11-02T15:00:00Z,3,0,11,77,0,0,0,3,0,0,0,0,0,0,0,-1,0.0,1.6,10.0,0.7,57,3153,18713,4012,859
451,111,19,1,True,2019-11-09T15:00:00Z,3,0,12,9,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.3,0.0,0.0,57,-323,18366,1016,1339
451,129,18,1,False,2019-11-23T15:00:00Z,0,3,13,15,0,0,0,0,0,0,0,0,0,0,0,-2,0.0,0.3,1.0,0.1,57,-963,17696,883,1846
451,131,7,1,True,2019-11-30T15:00:00Z,0,2,14,28,0,0,0,1,0,0,0,0,0,0,0,3,1.4,11.6,9.0,2.2,57,-617,17204,636,1253
451,142,11,1,True,2019-12-03T20:15:00Z,1,4,15,31,0,0,0,2,0,0,0,0,0,0,0,3,1.0,1.1,2.0,0.4,57,-645,16633,223,868
451,158,17,2,False,2019-12-07T15:00:00Z,5,0,16,90,0,0,0,5,0,0,0,0,0,0,0,-4,3.0,1.2,30.0,3.4,57,-677,16049,171,848
451,162,13,1,True,2019-12-14T15:00:00Z,1,0,17,5,0,0,0,0,0,0,0,0,0,0,0,3,2.0,1.5,0.0,0.4,57,-761,15412,255,1016
451,172,3,8,False,2019-12-21T15:00:00Z,0,1,18,15,1,0,0,0,0,0,0,0,0,0,3,32,35.0,0.0,17.0,5.2,57,-331,15205,183,514
451,185,8,2,False,2019-12-26T15:00:00Z,1,0,19,90,0,0,0,1,0,0,0,0,0,0,0,6,3.0,1.4,4.0,0.8,57,272,15688,586,314
451,193,12,1,True,2019-12-28T19:45:00Z,0,2,20,31,0,0,0,1,0,0,0,0,0,0,0,7,14.4,0.3,18.0,3.3,57,-189,15532,180,369
451,203,2,1,True,2020-01-01T12:30:00Z,1,2,21,45,0,0,0,0,0,0,0,0,0,0,0,-3,0.0,0.9,26.0,2.1,57,-127,15522,427,554
451,213,6,0,False,2020-01-11T15:00:00Z,3,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,57,-384,15274,489,873
451,223,9,2,True,2020-01-19T14:00:00Z,2,1,23,90,0,0,0,1,0,0,0,0,0,0,0,3,12.8,5.3,13.0,3.1,57,-711,14625,129,840
451,235,12,6,False,2020-01-22T20:15:00Z,0,2,24,90,1,0,1,0,0,0,0,0,0,0,0,24,38.6,3.3,17.0,5.9,57,142,14874,378,236
451,242,1,2,True,2020-02-02T14:00:00Z,0,0,25,90,0,0,1,0,0,0,0,0,0,0,0,0,9.2,3.6,38.0,5.1,57,1552,16749,2076,524
451,259,16,0,False,2020-02-15T12:30:00Z,None,None,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,57,1694,18609,2399,705
