element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
457,8,11,2,True,2019-08-10T11:30:00Z,0,5,1,90,0,0,0,5,0,0,0,0,0,0,0,15,15.0,7.8,17.0,4.0,75,0,244666,0,0
457,13,4,0,False,2019-08-17T14:00:00Z,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,75,-30054,228499,14731,44785
457,29,18,13,False,2019-08-24T14:00:00Z,1,3,3,90,2,0,0,1,0,0,0,0,0,0,3,54,68.0,2.3,110.0,18.0,74,-62931,166459,5572,68503
457,40,14,8,True,2019-08-31T14:00:00Z,2,0,4,90,1,0,1,0,0,0,0,0,0,0,2,27,41.8,6.6,90.0,13.8,74,152534,339233,181986,29452
457,41,2,2,False,2019-09-16T19:00:00Z,0,0,5,90,0,0,1,0,0,0,0,0,0,0,0,8,10.6,37.4,30.0,7.8,75,136451,484438,177995,41544
457,60,12,2,True,2019-09-22T13:00:00Z,2,0,6,90,0,0,1,0,0,0,0,0,0,0,0,6,8.4,4.7,8.0,2.1,75,-72784,404094,19365,92149
457,62,3,5,False,2019-09-28T14:00:00Z,2,2,7,90,0,1,0,2,0,0,0,0,0,0,0,15,26.8,44.1,78.0,14.9,74,-63545,344443,17352,80897
457,80,7,5,True,2019-10-05T16:30:00Z,1,2,8,90,1,0,0,2,0,0,0,1,0,0,0,21,33.8,3.9,54.0,9.2,74,3306,351938,29254,25948
457,85,8,2,False,2019-10-19T11:30:00Z,2,0,9,90,0,0,0,2,0,0,0,0,0,0,0,3,4.8,14.6,37.0,5.6,74,-6075,346369,28235,34310
457,100,15,2,True,2019-10-26T14:00:00Z,1,1,10,90,0,0,0,1,0,0,0,0,0,0,0,4,9.4,27.8,8.0,4.5,74,2660,350719,26970,24310
457,110,13,5,True,2019-11-02T15:00:00Z,2,3,11,90,0,1,0,3,0,0,0,0,0,0,0,21,12.4,16.7,69.0,9.8,74,-22642,328818,21421,44063
457,111,5,2,False,2019-11-09T15:00:00Z,3,0,12,90,0,0,0,3,0,0,0,0,0,0,0,2,5.0,3.7,9.0,1.8,73,-44799,282523,3968,48767
457,130,17,2,True,2019-11-23T12:30:00Z,2,3,13,90,0,0,0,3,0,0,0,0,0,0,0,-2,0.0,3.3,55.0,5.5,72,-50637,233091,3608,54245
457,132,6,1,False,2019-11-30T15:00:00Z,0,1,14,14,0,0,0,0,0,0,0,0,0,0,0,3,1.2,0.6,0.0,0.2,71,-28663,205925,2952,31615
457,146,20,2,False,2019-12-04T19:30:00Z,2,0,15,79,0,0,0,1,0,0,0,0,0,0,0,10,2.6,1.5,2.0,0.6,71,-11837,194911,2619,14456
457,160,1,1,True,2019-12-09T20:00:00Z,1,3,16,20,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.3,0.0,0.0,70,-12078,183224,2277,14355
457,169,16,9,False,2019-12-14T17:30:00Z,0,1,17,78,1,0,1,0,0,0,0,0,0,0,3,37,44.8,11.8,63.0,12.0,70,-11988,171573,1939,13927
457,184,7,2,False,2019-12-26T15:00:00Z,2,1,19,74,0,0,0,1,0,0,0,0,0,0,0,1,0.0,3.0,8.0,0.8,70,-974,168628,2620,3594
457,200,9,1,True,2019-12-28T17:30:00Z,1,2,20,54,0,0,0,1,0,0,0,0,0,0,0,2,0.0,12.7,55.0,6.7,70,-2816,165948,1166,3982
457,210,3,6,True,2020-01-01T17:30:00Z,4,0,21,90,1,0,1,0,0,0,0,0,0,0,0,24,32.0,4.3,29.0,6.5,70,-1301,165117,4278,5579
457,218,15,2,False,2020-01-10T20:00:00Z,1,0,22,90,0,0,0,1,0,0,0,0,0,0,0,-2,2.0,6.3,14.0,2.2,70,11341,177502,17883,6542
