element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
466,10,1,2,True,2019-08-11T13:00:00Z,0,1,1,90,0,0,0,1,0,0,0,0,0,0,0,15,6.0,2.5,24.0,3.3,60,0,136531,0,0
466,17,14,1,False,2019-08-17T14:00:00Z,3,1,2,66,0,0,0,2,0,0,0,1,0,0,0,0,2.0,12.3,12.0,2.6,60,9075,161680,25163,16088
466,28,17,8,False,2019-08-25T15:30:00Z,0,1,3,87,1,0,1,0,0,0,0,1,0,0,3,29,42.6,24.3,40.0,10.7,59,-60461,99148,1899,62360
466,38,18,2,True,2019-08-31T14:00:00Z,1,1,4,90,0,0,0,1,0,0,0,0,0,0,0,12,6.8,14.1,38.0,5.9,59,11128,117194,33119,21991
466,44,10,2,False,2019-09-14T11:30:00Z,3,1,5,90,0,0,0,3,0,0,0,0,0,0,0,7,10.6,24.4,6.0,4.1,59,-7517,110686,13170,20687
466,58,4,2,True,2019-09-21T16:30:00Z,0,0,6,90,0,0,1,0,0,0,0,0,0,0,0,2,4.6,23.8,35.0,6.3,59,2943,116037,16521,13578
466,66,9,2,False,2019-09-29T15:30:00Z,5,0,7,62,0,0,0,3,0,0,0,0,0,0,0,7,3.0,1.3,2.0,0.6,59,-14354,101291,5663,20017
466,76,12,1,True,2019-10-06T15:30:00Z,1,0,8,55,0,0,0,0,0,0,0,0,0,0,0,2,0.2,12.3,6.0,1.9,58,-10756,91048,2642,13398
466,83,6,2,False,2019-10-19T14:00:00Z,1,0,9,82,0,0,0,1,0,0,0,0,0,0,0,0,0.8,5.2,6.0,1.2,58,-8914,82774,1986,10900
466,96,20,2,True,2019-10-27T14:00:00Z,1,1,10,84,0,0,0,1,0,0,0,0,0,0,0,2,1.6,13.2,17.0,3.2,58,-171,83307,4343,4514
466,110,19,5,False,2019-11-02T15:00:00Z,2,3,11,88,0,1,0,1,0,0,0,0,0,0,0,18,22.0,14.2,5.0,4.1,57,-3129,80311,3954,7083
466,116,3,2,True,2019-11-09T15:00:00Z,2,1,12,82,0,0,0,1,0,0,0,0,0,0,0,-3,13.6,12.8,41.0,6.7,57,475,81175,4408,3933
466,122,2,2,False,2019-11-25T20:00:00Z,2,0,13,71,0,0,0,2,0,0,0,0,0,0,0,10,12.8,25.7,13.0,5.2,57,-1151,80414,4645,5796
466,136,11,2,True,2019-11-30T12:30:00Z,2,2,14,68,0,0,0,1,0,0,0,0,0,0,0,5,4.8,11.8,0.0,1.7,57,-4215,76209,1770,5985
466,145,15,1,False,2019-12-05T19:30:00Z,0,2,15,18,0,0,0,0,0,0,0,0,0,0,0,3,2.0,0.6,4.0,0.7,57,-1267,75227,2081,3348
466,156,16,1,True,2019-12-08T14:00:00Z,2,1,16,58,0,0,0,1,0,0,0,0,0,0,0,1,2.6,2.9,24.0,3.0,57,-1656,73746,2445,4101
466,162,5,1,False,2019-12-14T15:00:00Z,1,0,17,90,0,0,0,1,0,0,0,1,0,0,0,11,2.2,28.4,5.0,3.6,56,-4131,69638,1194,5325
466,176,7,2,True,2019-12-21T15:00:00Z,1,0,18,76,0,0,1,0,0,0,0,0,0,0,0,6,11.8,4.3,18.0,3.4,56,-1995,67818,1021,3016
466,187,12,5,False,2019-12-26T17:30:00Z,4,1,19,90,0,1,0,4,0,0,0,0,0,0,0,21,26.4,38.8,21.0,8.6,56,-1942,66092,578,2520
466,196,8,1,True,2019-12-28T15:00:00Z,1,2,20,73,0,0,0,2,0,0,0,1,0,0,0,9,12.8,25.0,36.0,7.4,56,-297,66005,981,1278
466,206,9,2,True,2020-01-01T15:00:00Z,0,3,21,90,0,0,0,3,0,0,0,0,0,0,0,-2,8.6,1.7,23.0,3.3,56,-3505,62461,163,3668
466,220,20,2,False,2020-01-11T15:00:00Z,1,1,22,78,0,0,0,1,0,0,0,0,0,0,0,6,1.2,5.6,0.0,0.7,55,-414,62277,1873,2287
466,226,6,2,True,2020-01-18T17:30:00Z,1,0,23,90,0,0,1,0,0,0,0,0,0,0,0,-5,10.4,5.0,8.0,2.3,55,-599,61742,1692,2291
466,233,8,2,False,2020-01-21T19:30:00Z,2,2,24,77,0,0,0,2,0,0,0,0,0,0,0,5,5.8,2.9,8.0,1.7,55,910,62951,2195,1285
466,247,14,2,True,2020-02-01T15:00:00Z,0,0,25,90,0,0,1,0,0,0,0,0,0,0,0,3,4.6,2.8,31.0,3.8,55,3813,67088,6449,2636
466,251,1,2,False,2020-02-16T16:30:00Z,4,0,26,90,0,0,0,4,0,0,0,0,0,0,0,8,13.2,15.8,24.0,5.3,55,-3125,63700,996,4121
466,264,7,1,False,2020-02-22T15:00:00Z,1,0,27,90,0,0,0,1,0,0,0,1,0,0,0,-3,11.4,14.7,11.0,3.7,55,-519,63390,2430,2949
