element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
470,6,17,1,False,2019-08-10T16:30:00Z,3,1,1,8,0,0,0,2,0,0,0,0,0,0,0,3,11.6,10.0,0.0,2.2,45,0,36123,0,0
470,12,3,9,True,2019-08-17T14:00:00Z,1,2,2,90,1,0,0,2,0,0,0,0,0,0,2,33,46.0,13.6,15.0,7.5,45,809,41964,4629,3820
470,21,8,3,True,2019-08-23T19:00:00Z,2,0,3,90,0,0,1,0,0,0,0,0,0,0,0,6,10.6,0.6,0.0,1.1,45,104650,169749,129253,24603
470,34,7,2,False,2019-08-31T14:00:00Z,1,0,4,70,0,0,1,0,0,0,0,1,0,0,0,7,7.2,1.4,1.0,1.0,46,118326,306401,157482,39156
470,41,19,1,True,2019-09-16T19:00:00Z,0,0,5,9,0,0,0,0,0,0,0,0,0,0,0,7,4.2,14.9,0.0,1.9,46,35603,341882,73667,38064
470,51,1,0,False,2019-09-22T15:30:00Z,3,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,46,-15263,324724,18176,33439
470,61,5,0,True,2019-09-28T14:00:00Z,2,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,46,-33025,291706,7483,40508
470,77,14,6,False,2019-10-05T14:00:00Z,1,5,8,12,1,0,0,1,0,0,0,0,0,0,0,20,32.6,0.6,7.0,4.0,45,-30690,262675,9448,40138
470,81,4,1,True,2019-10-19T14:00:00Z,2,1,9,14,0,0,0,0,0,0,0,0,0,0,0,2,2.0,1.9,9.0,1.3,45,13331,280786,31707,18376
470,95,11,2,False,2019-10-26T11:30:00Z,3,0,10,90,0,0,0,3,0,0,0,0,0,0,0,13,8.2,4.9,20.0,3.3,45,-8669,270871,8656,17325
470,102,10,3,True,2019-11-02T15:00:00Z,1,2,11,72,0,0,1,0,0,0,0,0,0,0,0,8,8.4,3.3,0.0,1.2,45,-2654,269520,17872,20526
470,120,20,2,False,2019-11-10T14:00:00Z,2,1,12,90,0,0,0,2,0,0,0,0,0,0,0,15,8.2,3.4,15.0,2.7,45,9002,279610,20498,11496
470,122,13,3,True,2019-11-25T20:00:00Z,2,0,13,90,0,0,1,0,0,0,0,0,0,0,0,11,10.6,3.8,41.0,5.5,45,10059,292018,26565,16506
470,135,12,2,False,2019-12-01T16:30:00Z,2,2,14,90,0,0,0,2,0,0,0,0,0,0,0,20,10.8,0.8,2.0,1.4,45,-2445,289495,16044,18489
470,147,6,1,False,2019-12-04T19:30:00Z,2,1,15,32,0,0,0,0,0,0,0,0,0,0,0,6,13.2,4.2,53.0,7.0,45,-6974,282663,7679,14653
470,151,9,2,True,2019-12-08T14:00:00Z,1,4,16,90,0,0,0,4,0,0,0,0,0,0,0,2,2.4,1.6,21.0,2.5,45,-11401,271381,5600,17001
470,168,15,1,False,2019-12-14T15:00:00Z,2,0,17,24,0,0,0,1,0,0,0,0,0,0,0,3,4.6,1.2,0.0,0.6,45,-5386,266698,9623,15009
470,171,16,2,True,2019-12-21T15:00:00Z,1,3,18,90,0,0,0,3,0,0,0,0,0,0,0,11,4.0,21.8,20.0,4.6,44,-11149,251847,5402,16551
470,181,14,2,True,2019-12-26T15:00:00Z,1,0,19,90,0,0,1,0,0,0,0,1,0,0,0,8,12.2,4.2,5.0,2.1,44,-2139,254650,9744,11883
470,199,18,2,False,2019-12-28T15:00:00Z,3,0,20,90,0,0,0,3,0,0,0,0,0,0,0,12,19.2,17.7,12.0,4.9,44,2510,258001,11179,8669
470,203,5,7,False,2020-01-01T12:30:00Z,1,2,21,90,0,1,0,1,0,0,0,0,0,0,2,27,36.2,26.7,41.0,10.4,44,-3430,254835,14638,18068
470,211,11,2,True,2020-01-12T16:30:00Z,1,6,22,64,0,0,0,5,0,0,0,0,0,0,0,7,5.8,2.1,2.0,1.0,44,9755,265865,28677,18922
470,222,4,4,False,2020-01-18T15:00:00Z,1,1,23,22,0,1,0,0,0,0,0,0,0,0,0,14,22.0,11.0,7.0,4.0,44,-1909,264192,15267,17176
470,231,18,6,True,2020-01-21T19:30:00Z,2,1,24,34,1,0,0,0,0,0,0,1,0,0,1,18,41.0,2.4,33.0,7.6,44,6984,273246,20753,13769
470,241,3,1,False,2020-02-01T15:00:00Z,2,1,25,90,0,0,0,2,0,0,0,1,0,0,0,10,20.8,24.6,2.0,4.7,44,22970,297073,40595,17625
470,252,17,0,True,2020-02-16T14:00:00Z,None,None,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,3465,299932,17393,13928
