element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
487,5,9,1,False,2019-08-11T13:00:00Z,0,0,1,14,0,0,0,0,0,0,0,0,0,0,0,-1,5.4,0.0,0.0,0.5,60,0,82601,0,0
487,20,12,1,True,2019-08-19T19:00:00Z,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,60,-13634,79505,4567,18201
487,30,5,0,True,2019-08-25T15:30:00Z,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,59,-14603,67285,3513,18116
487,35,8,2,False,2019-09-01T13:00:00Z,3,2,4,67,0,0,0,2,0,0,0,0,0,0,0,2,3.2,15.7,38.0,5.7,58,-14322,54350,1488,15810
487,50,6,5,True,2019-09-14T14:00:00Z,2,5,5,45,1,0,0,2,0,0,0,0,0,0,0,25,34.0,1.3,62.0,9.7,58,-5704,50187,2394,8098
487,54,7,1,False,2019-09-22T13:00:00Z,1,1,6,14,0,0,0,0,0,0,0,0,0,0,0,3,0.2,0.1,0.0,0.0,58,-708,50387,3180,3888
487,70,18,1,True,2019-09-28T14:00:00Z,2,0,7,10,0,0,0,0,0,0,0,0,0,0,0,2,0.0,3.3,0.0,0.3,57,-2274,48628,2116,4390
487,75,11,2,False,2019-10-06T13:00:00Z,0,2,8,67,0,0,1,0,0,0,0,0,0,0,0,-3,0.0,1.5,11.0,1.2,57,-2499,46443,1070,3569
487,90,16,2,True,2019-10-19T14:00:00Z,1,1,9,61,0,0,0,1,0,0,0,0,0,0,0,5,0.2,11.3,4.0,1.6,57,-328,46674,2359,2687
487,96,13,0,False,2019-10-27T14:00:00Z,1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,57,-445,46427,1079,1524
487,101,1,0,False,2019-11-02T15:00:00Z,1,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,57,-1860,44761,896,2756
487,120,2,1,True,2019-11-10T14:00:00Z,2,1,12,1,0,0,0,1,0,0,0,0,0,0,0,3,0.2,0.3,0.0,0.1,56,-1710,43121,362,2072
487,123,3,0,False,2019-11-23T15:00:00Z,1,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,56,-1355,41958,583,1938
487,140,15,0,True,2019-12-01T14:00:00Z,1,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,56,-911,41186,401,1312
487,146,19,5,True,2019-12-04T19:30:00Z,2,0,15,6,1,0,0,0,0,0,0,0,0,0,0,26,36.0,0.3,17.0,5.3,56,-645,40617,216,861
487,153,4,1,False,2019-12-08T16:30:00Z,2,2,16,5,0,0,0,0,0,0,0,0,0,0,0,2,3.0,0.3,19.0,2.2,56,-68,40684,618,686
487,170,17,0,True,2019-12-15T14:00:00Z,1,2,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,56,-816,39942,346,1162
487,177,14,1,False,2019-12-21T15:00:00Z,1,2,18,1,0,0,0,0,0,0,0,0,0,0,0,3,3.0,1.5,4.0,0.9,56,-616,39354,221,837
487,190,11,0,True,2019-12-27T19:45:00Z,3,2,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,56,-428,39047,114,542
487,194,10,0,False,2019-12-29T16:30:00Z,1,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,-330,38772,158,488
487,209,18,0,False,2020-01-01T15:00:00Z,2,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,-795,38013,124,919
487,220,13,0,True,2020-01-11T15:00:00Z,1,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,-414,37721,351,765
487,228,16,0,False,2020-01-18T15:00:00Z,2,3,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,-1409,36309,22,1431
487,237,10,0,True,2020-01-23T20:00:00Z,1,2,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,-518,35826,15,533
487,246,12,0,False,2020-02-01T17:30:00Z,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,-636,35209,21,657
487,260,9,0,True,2020-02-14T20:00:00Z,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,-297,34925,18,315
487,270,14,0,True,2020-02-23T14:00:00Z,None,None,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,-291,34650,9,300
