element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
492,2,15,0,True,2019-08-10T14:00:00Z,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,60,0,4272,0,0
492,12,2,0,False,2019-08-17T14:00:00Z,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,60,-1404,3378,120,1524
492,22,11,0,True,2019-08-25T13:00:00Z,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,59,-1049,2384,23,1072
492,36,9,0,False,2019-08-31T14:00:00Z,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,59,-496,1914,16,512
492,42,8,0,True,2019-09-15T13:00:00Z,3,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,58,-268,1667,14,282
492,59,16,0,False,2019-09-20T19:00:00Z,1,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,58,-97,1581,11,108
492,62,19,1,True,2019-09-28T14:00:00Z,2,2,7,13,0,0,0,0,0,0,0,0,0,0,0,4,4.8,0.3,0.0,0.5,58,-50,1581,37,87
492,71,1,1,False,2019-10-06T13:00:00Z,1,0,8,11,0,0,0,0,0,0,0,0,0,0,0,2,0.4,0.0,7.0,0.7,58,-1,1695,74,75
492,82,14,1,True,2019-10-19T14:00:00Z,0,0,9,21,0,0,0,0,0,0,0,0,0,0,0,1,2.2,0.6,26.0,2.9,58,13,1807,73,60
492,99,18,3,False,2019-10-26T14:00:00Z,0,0,10,60,0,0,1,0,0,0,0,0,0,0,0,1,7.4,13.1,21.0,4.2,58,7,1888,49,42
492,103,12,0,True,2019-11-02T12:30:00Z,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,58,22,1998,90,68
492,116,13,1,False,2019-11-09T15:00:00Z,2,1,12,12,0,0,0,0,0,0,0,0,0,0,0,2,1.4,0.6,4.0,0.6,58,-12,2069,60,72
492,123,20,1,True,2019-11-23T15:00:00Z,1,2,13,45,0,0,0,0,0,0,0,0,0,0,0,7,8.0,15.0,4.0,2.7,58,-13,2184,77,90
492,139,17,5,False,2019-11-30T15:00:00Z,3,2,14,90,0,1,0,3,0,0,0,0,0,0,0,24,18.2,3.4,30.0,5.2,58,-33,2205,41,74
492,148,7,3,False,2019-12-03T19:30:00Z,1,0,15,63,0,0,1,0,0,0,0,0,0,0,0,8,0.8,5.6,6.0,1.2,58,48,2300,88,40
492,152,10,2,True,2019-12-07T15:00:00Z,0,3,16,90,0,0,0,3,0,0,0,0,0,0,0,6,2.2,1.2,22.0,2.5,58,12,2366,79,67
492,163,6,0,False,2019-12-14T15:00:00Z,0,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,58,-8,2447,87,95
492,172,5,0,True,2019-12-21T15:00:00Z,0,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,58,-183,2274,10,193
492,182,1,0,True,2019-12-26T15:00:00Z,1,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,58,-43,2236,33,76
492,192,4,0,False,2019-12-28T12:30:00Z,2,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,58,-42,2192,6,48
492,210,19,0,False,2020-01-01T17:30:00Z,4,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,58,-48,2149,14,62
492,212,18,0,True,2020-01-12T14:00:00Z,0,3,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,58,-55,2088,10,65
492,227,14,0,False,2020-01-18T15:00:00Z,1,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,58,-40,2057,10,50
492,232,4,0,True,2020-01-21T19:30:00Z,3,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,58,-7,2048,12,19
492,241,2,0,True,2020-02-01T15:00:00Z,2,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,58,-32,2017,6,38
492,258,15,0,False,2020-02-09T14:00:00Z,2,1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,58,-2,2016,11,13
492,262,5,0,False,2020-02-22T15:00:00Z,3,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,58,-14,2005,10,24
