element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
498,10,1,1,True,2019-08-11T13:00:00Z,0,1,1,36,0,0,0,1,0,0,0,0,0,0,0,6,5.4,11.2,2.0,1.9,45,0,10377,0,0
498,17,14,0,False,2019-08-17T14:00:00Z,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-649,11814,459,1108
498,28,17,0,False,2019-08-25T15:30:00Z,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-1557,10647,134,1691
498,38,18,2,True,2019-08-31T14:00:00Z,1,1,4,90,0,0,0,1,0,0,0,0,0,0,0,17,10.6,3.3,10.0,2.4,45,-1298,9646,146,1444
498,44,10,7,False,2019-09-14T11:30:00Z,3,1,5,90,1,0,0,3,0,0,0,0,0,0,0,27,41.8,12.3,17.0,7.1,45,-438,9654,319,757
498,58,4,6,True,2019-09-21T16:30:00Z,0,0,6,81,0,0,1,0,0,0,0,0,0,0,0,18,1.6,1.9,18.0,2.2,45,9101,20835,10756,1655
498,66,9,0,False,2019-09-29T15:30:00Z,5,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-156,19970,2199,2355
498,76,12,12,True,2019-10-06T15:30:00Z,1,0,8,90,0,1,1,0,0,0,0,0,0,0,3,38,35.8,30.6,24.0,9.0,45,-2139,17998,742,2881
498,83,6,2,False,2019-10-19T14:00:00Z,1,0,9,90,0,0,0,1,0,0,0,0,0,0,0,9,8.2,1.9,6.0,1.6,45,21504,45212,25262,3758
498,96,20,2,True,2019-10-27T14:00:00Z,1,1,10,90,0,0,0,1,0,0,0,0,0,0,0,14,29.4,15.8,20.0,6.5,45,15396,60817,18380,2984
498,110,19,8,False,2019-11-02T15:00:00Z,2,3,11,86,0,1,0,1,0,0,0,0,0,0,3,35,35.6,41.1,2.0,7.9,45,5892,66986,10507,4615
498,116,3,2,True,2019-11-09T15:00:00Z,2,1,12,90,0,0,0,1,0,0,0,0,0,0,0,8,28.4,1.1,49.0,7.9,45,57049,132812,61161,4112
498,122,2,1,False,2019-11-25T20:00:00Z,2,0,13,90,0,0,0,2,0,0,0,0,0,0,0,10,19.8,1.5,0.0,2.1,46,19182,148348,29256,10074
498,136,11,7,True,2019-11-30T12:30:00Z,2,2,14,90,1,0,0,2,0,0,0,0,0,0,0,22,45.6,1.3,17.0,6.4,46,-8133,138615,6595,14728
498,145,15,6,False,2019-12-05T19:30:00Z,0,2,15,90,0,0,1,0,0,0,0,0,0,0,0,20,6.2,5.3,2.0,1.4,46,23121,164259,25806,2685
498,156,16,2,True,2019-12-08T14:00:00Z,2,1,16,90,0,0,0,1,0,0,0,0,0,0,0,10,18.6,3.2,2.0,2.4,46,61665,230894,65060,3395
498,162,5,2,False,2019-12-14T15:00:00Z,1,0,17,70,0,0,0,1,0,0,0,0,0,0,0,9,3.0,2.0,0.0,0.5,47,12885,242844,30584,17699
498,176,7,0,True,2019-12-21T15:00:00Z,1,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,47,34176,299048,43116,8940
498,187,12,0,False,2019-12-26T17:30:00Z,4,1,19,90,0,0,0,4,0,0,0,0,0,0,0,6,14.6,1.7,0.0,1.6,47,-41247,235886,2496,43743
498,196,8,1,True,2019-12-28T15:00:00Z,1,2,20,84,0,0,0,2,0,0,0,0,0,0,0,15,17.0,39.3,29.0,8.5,47,-8488,230511,9900,18388
498,206,9,0,True,2020-01-01T15:00:00Z,0,3,21,44,0,0,0,2,0,0,0,0,0,0,0,4,3.6,0.9,0.0,0.5,46,-19197,211660,11007,30204
498,220,20,2,False,2020-01-11T15:00:00Z,1,1,22,90,0,0,0,1,0,0,0,0,0,0,0,12,19.0,21.6,0.0,4.1,46,-42112,169477,2777,44889
