element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
4,10,13,12,False,2019-08-11T13:00:00Z,0,1,1,90,0,1,1,0,0,0,0,0,0,0,3,38,38.4,12.3,0.0,5.1,50,0,57131,0,0
4,11,5,2,True,2019-08-17T11:30:00Z,2,1,2,90,0,0,0,1,0,0,0,0,0,0,0,13,15.4,19.8,7.0,4.2,50,144845,300326,162756,17911
4,24,10,1,False,2019-08-24T16:30:00Z,3,1,3,90,0,0,0,3,0,0,0,0,0,0,0,11,23.4,9.6,0.0,3.3,50,28446,343248,90941,62495
4,31,17,1,True,2019-09-01T15:30:00Z,2,2,4,90,0,0,0,2,0,0,0,0,0,0,0,19,29.4,41.7,12.0,8.3,51,31961,389576,81984,50023
4,49,18,4,False,2019-09-15T15:30:00Z,2,2,5,90,0,1,0,2,0,0,0,0,0,0,0,23,29.8,12.2,4.0,4.6,51,53075,453771,97122,44047
4,51,2,-3,True,2019-09-22T15:30:00Z,3,2,6,40,0,0,0,2,0,0,0,0,1,0,0,-12,0.0,12.6,8.0,1.6,51,64791,528279,88126,23335
4,67,12,0,False,2019-09-30T19:00:00Z,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,51,-117769,400025,9791,127560
4,71,3,0,True,2019-10-06T13:00:00Z,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-36045,368825,6617,42662
4,88,15,0,False,2019-10-21T19:00:00Z,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-39815,330367,3012,42827
4,91,7,0,True,2019-10-27T16:30:00Z,2,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-34413,297254,850,35263
4,101,20,0,True,2019-11-02T15:00:00Z,1,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,-33655,263873,1268,34923
4,113,9,0,False,2019-11-09T17:30:00Z,2,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,-25155,238898,515,25670
4,121,16,0,True,2019-11-23T15:00:00Z,2,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,47,-20146,219607,944,21090
4,137,14,0,False,2019-12-01T14:00:00Z,2,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,47,-12813,207441,353,13166
4,141,4,0,True,2019-12-05T20:15:00Z,1,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,47,-7794,200192,163,7957
4,160,19,2,False,2019-12-09T20:00:00Z,1,3,16,90,0,0,0,1,0,0,0,0,0,0,0,14,18.6,1.8,2.0,2.2,46,-8317,192015,192,8509
4,161,11,1,True,2019-12-15T16:30:00Z,0,3,17,90,0,0,0,3,0,0,0,0,0,0,0,18,18.0,17.9,0.0,3.6,46,-5887,186336,920,6807
4,174,8,6,False,2019-12-21T12:30:00Z,0,0,18,90,0,0,1,0,0,0,0,0,0,0,0,26,9.8,15.6,0.0,2.5,46,-2735,183842,1729,4464
4,182,3,1,False,2019-12-26T15:00:00Z,1,1,19,90,0,0,0,1,0,0,0,1,0,0,0,9,13.0,3.2,0.0,1.6,46,995,185579,3097,2102
4,191,6,0,True,2019-12-29T14:00:00Z,1,2,20,90,0,0,0,2,0,0,0,1,0,0,0,12,15.4,1.3,2.0,1.9,46,-1384,184198,1502,2886
4,201,12,6,True,2020-01-01T20:00:00Z,2,0,21,90,0,0,1,0,0,0,0,0,0,0,0,27,20.8,2.3,2.0,2.5,46,-1803,182736,3744,5547
4,214,7,1,False,2020-01-11T12:30:00Z,1,1,22,90,0,0,0,1,0,0,0,1,0,0,0,8,11.0,1.3,0.0,1.2,46,12571,196200,18148,5577
4,221,15,2,True,2020-01-18T15:00:00Z,1,1,23,90,0,0,0,1,0,0,0,0,0,0,0,10,18.8,3.8,0.0,2.3,46,3390,200122,9678,6288
4,238,6,0,False,2020-01-21T20:15:00Z,2,2,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,46,-3647,195567,2885,6532
4,242,5,0,False,2020-02-02T14:00:00Z,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,46,-6757,189613,2023,8780
4,251,13,0,True,2020-02-16T16:30:00Z,None,None,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,46,-6172,183703,822,6994
