element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
503,4,8,0,True,2019-08-10T14:00:00Z,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,116208,0,0
503,18,15,0,False,2019-08-18T13:00:00Z,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-11005,120524,4798,15803
503,25,12,1,False,2019-08-24T14:00:00Z,1,2,3,90,0,0,0,1,0,0,0,1,0,0,0,5,13.6,0.0,18.0,3.2,45,-18520,103938,2376,20896
503,34,2,7,True,2019-08-31T14:00:00Z,1,0,4,90,0,0,1,0,0,0,0,0,0,0,1,27,28.4,1.3,24.0,5.4,45,776,108942,10054,9278
503,48,17,0,False,2019-09-14T14:00:00Z,4,0,5,90,0,0,0,4,0,0,0,0,0,0,0,14,16.8,0.0,17.0,3.4,45,10823,124527,18878,8055
503,54,20,2,True,2019-09-22T13:00:00Z,1,1,6,90,0,0,0,1,0,0,0,0,0,0,0,16,25.2,10.6,7.0,4.3,45,1771,127340,9178,7407
503,64,14,6,True,2019-09-28T14:00:00Z,2,0,7,90,0,0,1,0,0,0,0,0,0,0,0,26,17.8,0.8,22.0,4.1,45,-2842,125245,4499,7341
503,80,19,2,False,2019-10-05T16:30:00Z,1,2,8,90,0,0,0,1,0,0,0,0,0,0,0,17,16.6,10.8,36.0,6.3,45,135,126477,4316,4181
503,84,11,1,True,2019-10-19T16:30:00Z,0,2,9,90,0,0,0,2,0,0,0,0,0,0,0,16,19.6,1.0,0.0,2.1,45,-2417,124923,3559,5976
503,91,1,1,False,2019-10-27T16:30:00Z,2,2,10,90,0,0,0,2,0,0,0,0,0,0,0,10,14.2,0.5,20.0,3.5,45,-914,124710,2554,3468
503,105,9,1,True,2019-11-03T14:00:00Z,0,2,11,90,0,0,0,2,0,0,0,0,0,0,0,12,15.0,0.5,4.0,2.0,45,-665,124874,4056,4721
503,112,6,1,False,2019-11-09T12:30:00Z,2,0,12,90,0,0,0,2,0,0,0,0,0,0,0,13,22.2,0.3,0.0,2.3,45,-3352,121598,1878,5230
503,125,10,1,True,2019-11-23T15:00:00Z,1,2,13,90,0,0,0,2,0,0,0,0,0,0,0,16,15.0,0.0,0.0,1.5,45,-1600,120962,4303,5903
503,131,5,0,False,2019-11-30T15:00:00Z,0,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,4027,125933,8071,4044
503,148,3,0,True,2019-12-03T19:30:00Z,1,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-9951,115629,329,10280
503,159,18,8,False,2019-12-07T15:00:00Z,0,0,16,90,0,0,1,0,0,0,0,0,0,0,2,26,25.8,0.0,0.0,2.6,45,-9084,106728,351,9435
503,164,4,0,True,2019-12-16T19:45:00Z,1,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,15399,124057,17754,2355
503,176,13,0,False,2019-12-21T15:00:00Z,1,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-13774,107524,2660,16434
503,184,19,0,True,2019-12-26T15:00:00Z,2,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-12005,97632,71,12076
503,198,16,0,False,2019-12-28T15:00:00Z,1,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-6992,90885,42,7034
503,207,14,0,False,2020-01-01T17:30:00Z,1,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-8193,82809,70,8263
503,214,1,2,True,2020-01-11T12:30:00Z,1,1,22,90,0,0,0,1,0,0,0,0,0,0,0,12,9.8,0.3,4.0,1.4,44,-3025,80053,873,3898
503,225,11,4,False,2020-01-18T15:00:00Z,2,2,23,90,0,1,0,2,0,0,0,0,0,0,0,26,48.2,10.5,10.0,6.9,44,93,80460,1947,1854
503,239,16,1,True,2020-01-21T19:30:00Z,0,2,24,90,0,0,0,2,0,0,0,0,0,0,0,10,17.2,0.1,0.0,1.7,44,3813,85136,5114,1301
503,243,15,2,True,2020-02-01T15:00:00Z,0,1,25,90,0,0,0,1,0,0,0,0,0,0,0,12,19.4,0.5,26.0,4.6,44,1794,86840,4171,2377
503,255,8,1,False,2020-02-08T12:30:00Z,3,1,26,90,0,0,0,3,0,0,0,0,0,0,0,8,3.4,0.3,6.0,1.0,44,1320,88439,3197,1877
